column,source,meaning,available_at,transform,role,stage,future_risk,justification,evidence,block
score_id,derived,Deterministic scoring-event identifier,At score construction,Stage-specific deterministic format,identifier,T0|T1|T2|CANDIDATE,LOW,Stable join key; not a predictive signal.,P4 ABT_CONTRACT,D_AUDIT_POLICY
lead_id,leads,Lead identifier,leads.created_at or referenced inquiry event,Raw key,identifier,T0|T1|T2|CANDIDATE,LOW,Entity key only.,P1 temporal ontology,D_AUDIT_POLICY
stage,derived,Scoring stage,At score construction,Constant T0/T1/T2,policy_guardrail,T0|T1|T2|CANDIDATE,LOW,Makes observability contract explicit.,P4 ABT_CONTRACT,D_AUDIT_POLICY
score_time,leads|inquiries,Historical decision timestamp,T0: leads.created_at; T1/T2: current inquiry_at,Canonical scoring anchor,policy_guardrail,T0|T1|T2|CANDIDATE,LOW,All temporal joins are bounded by score_time.,P4 ABT_CONTRACT,D_AUDIT_POLICY
target_contract_id,target contract,Frozen target version identifier,Defined before modeling,Constant by stage,policy_guardrail,T0|T1|T2,LOW,Prevents silent target drift.,P2 TARGET_CONTRACT,D_AUDIT_POLICY
target_mature_at,derived from score_time,Conservative label maturity boundary,score_time plus frozen maturity/finality window,Date arithmetic,policy_guardrail,T0|T1|T2,LOW,Used only to distinguish mature from censored rows.,P2 TARGET_CONTRACT,D_AUDIT_POLICY
target_status,inquiries outcome fields + maturity policy,Mutually exclusive label status,Only after label maturity; never at scoring,Label-only derivation,target,T0|T1|T2,CRITICAL_OUTCOME,Outcome is isolated from predictors; audit retains ambiguous/censored rows.,P2 TARGET_CONTRACT,D_AUDIT_POLICY
target_value,target_status,Binary target for mature valid rows,Only after label maturity; never at scoring,POSITIVE=1 NEGATIVE=0 else null,target,T0|T1|T2,CRITICAL_OUTCOME,Never used as score-time feature.,P2 TARGET_CONTRACT,D_AUDIT_POLICY
audit_label_horizon_days,target contract,T0 initiation-window length,Contract time,Constant 30,audit_only,T0,LOW,Documents sensitivity-target mechanics.,P4 ABT_CONTRACT,D_AUDIT_POLICY
user_type,leads,Lead/customer type,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
company_size,leads,Company size,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
industry,leads,Lead industry,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
search_sector,leads,Requested real-estate sector,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
search_modality,leads,Rent/sale/both need,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
target_area_sqm,leads,Target area,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
