model,scope,metric,point_delta,bootstrap_mean_delta,ci95_low,ci95_high,probability_delta_gt_0,n_boot
pooled_nn_calibrated,MACRO,average_precision,-0.004408652913750921,-0.004410717688934973,-0.014060406789529748,0.005453694539632395,0.20142857142857143,700
pooled_nn_calibrated,MACRO,roc_auc,-0.0014834042300430061,-0.0017528860904218527,-0.010176889657651123,0.006335290943326812,0.34285714285714286,700
pooled_nn_calibrated,T0_cold,average_precision,0.006779954987862324,0.0065101404499847935,-0.007616277538729556,0.02071923425588171,0.8014285714285714,700
pooled_nn_calibrated,T0_cold,roc_auc,0.008046118549819181,0.0078021839116545625,-0.003260289969695684,0.018706937802503435,0.9142857142857143,700
pooled_nn_calibrated,T1_first_inquiry,average_precision,0.00344061973875448,0.004090700179133326,-0.015964975645629317,0.024433308759791206,0.6485714285714286,700
pooled_nn_calibrated,T1_first_inquiry,roc_auc,0.0023925696728405166,0.002516480157082281,-0.01090375057719469,0.01539478421743252,0.6457142857142857,700
pooled_nn_calibrated,T2_engaged,average_precision,-0.023446533467869513,-0.02383299369592305,-0.03909545059089653,-0.00719632047515256,0.0014285714285714286,700
pooled_nn_calibrated,T2_engaged,roc_auc,-0.01488890091278916,-0.015577322340002402,-0.03054648871615915,-0.00013733885590770583,0.022857142857142857,700
separate_logistic,MACRO,average_precision,-0.035153850990367386,-0.035999214328169764,-0.05936911769359497,-0.012954845592989817,0.0,700
separate_logistic,MACRO,roc_auc,-0.05037250483755551,-0.0512008621756613,-0.07983343852383598,-0.02557318031077084,0.0,700
separate_logistic,T0_cold,average_precision,-0.04971021363077899,-0.051358111234317605,-0.08959305833546673,-0.017877257946482705,0.0014285714285714286,700
separate_logistic,T0_cold,roc_auc,-0.07591694858866188,-0.07764044873686846,-0.12456552896866194,-0.033655762765429906,0.0,700
separate_logistic,T1_first_inquiry,average_precision,-0.012860137445592723,-0.013097231633263725,-0.044502110693499755,0.015485905121882915,0.19,700
separate_logistic,T1_first_inquiry,roc_auc,-0.026675285615371358,-0.026755275033489637,-0.06326312714471412,0.007463861176165406,0.06571428571428571,700
separate_logistic,T2_engaged,average_precision,-0.0428912018947305,-0.043542300116927966,-0.0675438817445694,-0.019671849422660165,0.0,700
separate_logistic,T2_engaged,roc_auc,-0.04852528030863368,-0.049206862756625794,-0.0731661885396908,-0.022401917214398603,0.0,700
specialist_random_forest_calibrated,MACRO,average_precision,0.020022357540138425,0.019551358177427227,0.007813228462013282,0.032122446379178445,1.0,700
specialist_random_forest_calibrated,MACRO,roc_auc,0.021323223196754837,0.021204754300701453,0.009110593836379905,0.03315372687160162,0.9985714285714286,700
specialist_random_forest_calibrated,T0_cold,average_precision,-0.0013472516260136236,-0.002224803740245297,-0.01984753501340146,0.01572041813939349,0.38857142857142857,700
specialist_random_forest_calibrated,T0_cold,roc_auc,-0.006675394366744913,-0.007118133784746109,-0.0235258433136316,0.009538658129455134,0.21,700
specialist_random_forest_calibrated,T1_first_inquiry,average_precision,0.03369371449284875,0.03343322587619196,0.010580458566330107,0.056058558096586705,0.9971428571428571,700
specialist_random_forest_calibrated,T1_first_inquiry,roc_auc,0.042665418902544605,0.04322827550036512,0.01809949572518557,0.06910078263617936,0.9971428571428571,700
specialist_random_forest_calibrated,T2_engaged,average_precision,0.027720609753580094,0.02744565239633501,0.0058873827222289095,0.050348719895473855,0.9971428571428571,700
specialist_random_forest_calibrated,T2_engaged,roc_auc,0.02797964505446482,0.02750412118648536,0.007325639805208323,0.049056339756928705,0.9971428571428571,700
specialist_extra_trees_calibrated,MACRO,average_precision,-0.0031101317775585335,-0.0035917067734502765,-0.014892471398718753,0.00627988168191408,0.2785714285714286,700
specialist_extra_trees_calibrated,MACRO,roc_auc,-0.006416622754865542,-0.0065740136771939486,-0.016383087176311793,0.0037515328765243714,0.10714285714285714,700
specialist_extra_trees_calibrated,T0_cold,average_precision,0.004934095328498422,0.004064833485148794,-0.026588832766328587,0.029493655676848897,0.6185714285714285,700
specialist_extra_trees_calibrated,T0_cold,roc_auc,-0.0010466759128440195,-0.0017143474058769397,-0.02505675754669295,0.019932154098911626,0.44285714285714284,700
specialist_extra_trees_calibrated,T1_first_inquiry,average_precision,0.002138278999392451,0.00164131815885775,-0.011623792965989786,0.013920503594788683,0.62,700
specialist_extra_trees_calibrated,T1_first_inquiry,roc_auc,0.0033489484161329797,0.0032285827669301156,-0.012388092766769113,0.021243151559581366,0.6485714285714286,700
specialist_extra_trees_calibrated,T2_engaged,average_precision,-0.01640276966056653,-0.01648127196435738,-0.03451505721930188,0.0004218046889348878,0.027142857142857142,700
specialist_extra_trees_calibrated,T2_engaged,roc_auc,-0.02155214076788592,-0.021236276392635013,-0.04011232543555934,-0.0029692449801603255,0.008571428571428572,700
specialist_lightgbm_calibrated,MACRO,average_precision,0.009687107820796792,0.00878061229250156,-0.007157887984287195,0.024868369561215922,0.8628571428571429,700
specialist_lightgbm_calibrated,MACRO,roc_auc,0.009069787302950383,0.008323004872034606,-0.0067453452626817815,0.025020878211650388,0.8314285714285714,700
specialist_lightgbm_calibrated,T0_cold,average_precision,-0.0068289820808857815,-0.008403836661046927,-0.04173562142955692,0.020207121737232398,0.34,700
specialist_lightgbm_calibrated,T0_cold,roc_auc,-0.013604086464719778,-0.014908738631525606,-0.04931903278108376,0.01567509406609592,0.17142857142857143,700
specialist_lightgbm_calibrated,T1_first_inquiry,average_precision,0.019785389971926692,0.0193510234025459,-0.00602778829714178,0.045123628896434384,0.9314285714285714,700
specialist_lightgbm_calibrated,T1_first_inquiry,roc_auc,0.021930175696728504,0.02156723093481475,-0.0037846363593698057,0.04550416801658482,0.9457142857142857,700
specialist_lightgbm_calibrated,T2_engaged,average_precision,0.016104915571349576,0.015394650136005697,-0.00902287342582844,0.043824222667585476,0.8742857142857143,700
specialist_lightgbm_calibrated,T2_engaged,roc_auc,0.018883272676842422,0.018310522312814683,-0.0048981231903094165,0.043955321949679146,0.9357142857142857,700
specialist_catboost_calibrated,MACRO,average_precision,0.02213414048379536,0.021164407852464366,0.0067804280886861,0.03609590160209374,1.0,700
specialist_catboost_calibrated,MACRO,roc_auc,0.03223875115860042,0.0319643329124266,0.019694203727597608,0.04606365521838738,1.0,700
specialist_catboost_calibrated,T0_cold,average_precision,-0.00716890843681478,-0.0094941558341678,-0.03888445455622043,0.013038624646289923,0.24285714285714285,700
specialist_catboost_calibrated,T0_cold,roc_auc,-0.004645231953751883,-0.005722796641701152,-0.031708148368688176,0.018073175027253315,0.33,700
specialist_catboost_calibrated,T1_first_inquiry,average_precision,0.04041721359183448,0.04047937358803291,0.012850035323057214,0.0687336271602098,0.9985714285714286,700
specialist_catboost_calibrated,T1_first_inquiry,roc_auc,0.05959137528128777,0.060199478985603044,0.03422585052532778,0.08584826931029638,1.0,700
specialist_catboost_calibrated,T2_engaged,average_precision,0.03315411629636633,0.03250800580352797,0.0088051098170258,0.059381504364517994,0.9985714285714286,700
specialist_catboost_calibrated,T2_engaged,roc_auc,0.04177011014826526,0.0414163163933779,0.019153762216503344,0.06712162257329758,1.0,700
pooled_catboost_calibrated,MACRO,average_precision,0.01668607067436656,0.016455151605114775,0.001586772525248091,0.03140970062343548,0.9828571428571429,700
pooled_catboost_calibrated,MACRO,roc_auc,0.02233356848678747,0.021882671602328187,0.007698204047957688,0.03709361665637995,0.9971428571428571,700
pooled_catboost_calibrated,T0_cold,average_precision,0.00021130424692811234,-0.000860216182504234,-0.033533738405086826,0.028934302225458116,0.4757142857142857,700
pooled_catboost_calibrated,T0_cold,roc_auc,-0.005436449813564281,-0.0065727776655436455,-0.03626257394647056,0.018666918553266233,0.3242857142857143,700
pooled_catboost_calibrated,T1_first_inquiry,average_precision,0.027024800068603416,0.0274934742559982,0.003800395592694066,0.05241178494784721,0.9928571428571429,700
pooled_catboost_calibrated,T1_first_inquiry,roc_auc,0.03433821620218103,0.03472815246983693,0.009460767835443981,0.056587693431234085,0.9942857142857143,700
pooled_catboost_calibrated,T2_engaged,average_precision,0.022822107707568207,0.022732196741850355,-0.003040506611894926,0.05153236256619102,0.9571428571428572,700
pooled_catboost_calibrated,T2_engaged,roc_auc,0.03809893907174544,0.037492640002691285,0.014660156424300793,0.06328047292021537,0.9971428571428571,700
validation_selected_hybrid,MACRO,average_precision,0.018039373157486438,0.017494694874196703,0.0018281059264867244,0.03387307014656572,0.9828571428571429,700
validation_selected_hybrid,MACRO,roc_auc,0.023601682625884246,0.023184943375179578,0.008029213674992689,0.04032446783252684,0.9971428571428571,700
validation_selected_hybrid,T0_cold,average_precision,-0.008292490491933147,-0.009837482458938118,-0.04341134358787093,0.017938858346843663,0.29285714285714287,700
validation_selected_hybrid,T0_cold,roc_auc,-0.017919329263287098,-0.01915640993719109,-0.05444527322169247,0.011598982587101325,0.11142857142857143,700
validation_selected_hybrid,T1_first_inquiry,average_precision,0.0300034005040003,0.02985054472605037,0.0023028540459587993,0.05728147477926704,0.9828571428571429,700
validation_selected_hybrid,T1_first_inquiry,roc_auc,0.03869222779989623,0.03894885887416989,0.011767232512097436,0.06570950011615245,0.9942857142857143,700
validation_selected_hybrid,T2_engaged,average_precision,0.03240720946039222,0.03247102235547786,0.008264461017932576,0.06144351364295235,0.9928571428571429,700
