model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
multihead_calibrated,T0_cold,1936.0,0.4452479338842975,0.5395500913816123,0.4706061499545632,0.24667625263767215,0.686478315663732,1.0535077857775015,0.21693735498839908
multihead_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.523079128440367,0.4654514756443322,0.24834427938603387,0.6898867955923292,1.0392745672940509,0.20412844036697247
multihead_calibrated,T2_engaged,4112.0,0.3424124513618677,0.5867509518726466,0.4134244539310298,0.22089790636514703,0.6330990508569546,1.3042806707855252,0.25426136363636365
multihead_calibrated,MACRO,7980.0,0.4130020469799156,0.5497933905648752,0.4498273598433084,0.23863947946295103,0.6698213873710053,1.1323543412856925,0.22510905299724507
pooled_nn_calibrated,T0_cold,1936.0,0.4452479338842975,0.5475962099314314,0.4773861049424255,0.24581559344935278,0.6847334906318013,1.1113928289520894,0.228538283062645
pooled_nn_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5254716981132075,0.4688920953830867,0.2477036922857827,0.6885751738739252,1.0392745672940509,0.20871559633027523
pooled_nn_calibrated,T2_engaged,4112.0,0.3424124513618677,0.5718620509598574,0.38997792046316027,0.22238307830442502,0.6361604954463864,1.2333958517210943,0.2294034090909091
pooled_nn_calibrated,MACRO,7980.0,0.4130020469799156,0.5483099863348322,0.4454187069295575,0.23863412134652018,0.669823053317371,1.1280210826557449,0.22221909616127644
separate_logistic,T0_cold,1936.0,0.4452479338842975,0.46363314279295037,0.4208959363237842,0.2838057718798691,0.7776856575505002,0.9261606907934078,0.17865429234338748
separate_logistic,T1_first_inquiry,1932.0,0.45134575569358176,0.4964038428249956,0.4525913381987395,0.26927966259230385,0.7412726533957102,0.9707509694504871,0.20756880733944955
separate_logistic,T2_engaged,4112.0,0.3424124513618677,0.5382256715640129,0.3705332520362993,0.23282559895274982,0.6651241405031028,1.0845377316857898,0.22585227272727273
separate_logistic,MACRO,7980.0,0.4130020469799156,0.4994208857273197,0.414673508852941,0.26197034447497425,0.7280274838164379,0.9938164639765615,0.20402512413670326
specialist_random_forest_calibrated,T0_cold,1936.0,0.4452479338842975,0.5328746970148673,0.46925889832854956,0.24626520881545064,0.685599067157202,1.0187767598727486,0.20185614849187936
specialist_random_forest_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5657445473429116,0.49914519013718095,0.24517178764131342,0.6833770890001641,1.1649011633405846,0.23509174311926606
specialist_random_forest_calibrated,T2_engaged,4112.0,0.3424124513618677,0.6147305969271114,0.4411450636846099,0.21745214292127457,0.6258110328154936,1.502758164165931,0.27769886363636365
specialist_random_forest_calibrated,MACRO,7980.0,0.4130020469799156,0.57111661376163,0.46984971738344683,0.23629637979267956,0.6649290629909532,1.2288120291264215,0.23821558508250304
specialist_extra_trees_calibrated,T0_cold,1936.0,0.4452479338842975,0.5385034154687682,0.4755402452830616,0.246255492335897,0.6856348223248421,1.1345468462219246,0.21925754060324826
specialist_extra_trees_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5264280768565,0.46758975464372465,0.24818976955171382,0.6895479513136595,0.9935921687316751,0.20642201834862386
specialist_extra_trees_calibrated,T2_engaged,4112.0,0.3424124513618677,0.5651988111047607,0.39702168427046325,0.22338494038670592,0.6389617502565483,1.2759267431597527,0.24005681818181818
specialist_extra_trees_calibrated,MACRO,7980.0,0.4130020469799156,0.5433767678100097,0.44671722806574987,0.23927673409143893,0.6713815079650166,1.1346885860377842,0.22191212571123012
specialist_lightgbm_calibrated,T0_cold,1936.0,0.4452479338842975,0.5259460049168925,0.4637771678736774,0.247652414461543,0.6885354238157037,1.0419307771425839,0.20533642691415313
specialist_lightgbm_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5450093041370955,0.4852368656162589,0.24874179644223193,0.6910590151249084,1.2334247611841485,0.22018348623853212
specialist_lightgbm_calibrated,T2_engaged,4112.0,0.3424124513618677,0.605634224549489,0.42952936950237935,0.21962990922025163,0.6302171870904252,1.3822539717563989,0.2677556818181818
specialist_lightgbm_calibrated,MACRO,7980.0,0.4130020469799156,0.5588631778678256,0.4595144676641052,0.23867470670800886,0.6699372086770125,1.2192031700277104,0.23109186499028903
specialist_catboost_calibrated,T0_cold,1936.0,0.4452479338842975,0.5349048594278604,0.4634372415177484,0.24657848496504228,0.6862967093423149,1.0419307771425839,0.2099767981438515
specialist_catboost_calibrated,T1_first_inquiry,1932.0,0.45134575569358176,0.5826705037216547,0.5058686892361667,0.24218095704891793,0.6769177431937714,1.1420599640593965,0.2305045871559633
