feature,importance,family
days_from_lead_creation,0.0644289010441014,current_inquiry
days_since_first_inquiry,0.05679866223510696,interaction_history
availability_snapshot_age_days,0.041975895815303435,availability_asof
hist_prior_median_response_hours,0.023433120916936438,interaction_history
target_area_sqm,0.023260622731722407,lead_intake
hist_prior_message_length_mean,0.023170199223589063,interaction_history
hist_prior_urgency_mean,0.02039656148501248,interaction_history
message_length,0.020383594661262702,current_inquiry
spot_lat,0.020150449080560188,spot_static
spot_lon,0.019972930237892376,spot_static
min_budget_mxn_rent_monthly,0.019406804717888533,lead_intake
urgency_days,0.019338456553720174,current_inquiry
spot_price_sqm_mxn_rent,0.018929029519573093,spot_static
requested_area_sqm,0.018261079804476266,current_inquiry
requested_budget_mxn_rent_monthly,0.018252035615256967,current_inquiry
prior_inquiries,0.0182057005541072,lead_intake
max_budget_mxn_rent_monthly,0.018016633833694593,lead_intake
spot_area_sqm,0.01789388274348506,spot_static
spot_maintenance_cost_mxn,0.01767688133238054,spot_static
spot_price_total_mxn_rent,0.017340042376711894,spot_static
spot_price_total_mxn_sale,0.01604700134191091,spot_static
spot_price_sqm_mxn_sale,0.015987883153729957,spot_static
spot_vertical_height_m,0.015834511763184702,spot_static
rent_budget_to_price_ratio,0.015823110604781195,lead_spot_match
spot_parking_spaces,0.01546046499317466,spot_static
score_month,0.015109014781938873,current_inquiry
max_budget_mxn_sale_total,0.01493656278552459,lead_intake
requested_to_spot_area_ratio,0.014788918662579609,lead_spot_match
min_budget_mxn_sale_total,0.0146662214822339,lead_intake
requested_budget_mxn_sale_total,0.013929641504009216,current_inquiry
prior_searches,0.013844153116199256,lead_intake
spot_luminaires,0.012867766228803978,spot_static
score_hour,0.011600366122241676,current_inquiry
spot_elevators,0.01155657318981228,spot_static
hist_prior_accept_rate,0.011022593902245777,interaction_history
sale_budget_to_price_ratio,0.010849055521449451,lead_spot_match
preferred_state,0.0106866024847829,lead_intake
availability_competing_inquiries_30d,0.010268639561719143,availability_asof
preferred_municipality,0.010188800276912139,lead_intake
industry,0.009958918449302075,lead_intake
source,0.009554210781049637,lead_intake
hist_prior_realized_responses,0.009448787059708794,interaction_history
preferred_corridor,0.009429071233576773,lead_intake
user_type,0.009352397932592751,lead_intake
availability_days_until_available,0.00927965600751499,availability_asof
spot_floor_level,0.00913259220386792,spot_static
company_size,0.009005933933207219,lead_intake
hist_prior_accepted_responses,0.008559515874515238,interaction_history
hist_prior_unique_spots,0.007934827962605962,interaction_history
search_sector,0.007732278692865382,lead_intake
spot_building_status,0.0076500380689580655,spot_static
spot_amenities_count,0.007636377025281984,spot_static
spot_security_type,0.007579208484317117,spot_static
channel,0.007534845837027274,current_inquiry
hist_prior_asked_visit_rate,0.0074852765279743464,interaction_history
spot_floor_material,0.007452183655507892,spot_static
hist_prior_inquiries,0.007450145892984687,interaction_history
score_weekday,0.00715465565917339,current_inquiry
inquiry_number,0.007110735322282598,current_inquiry
spot_region,0.006483333940775418,spot_static
spot_corridor,0.006302528807931342,spot_static
spot_settlement,0.0062383492745565275,spot_static
spot_municipality,0.0061414147061872836,spot_static
spot_sector_name,0.006108725006630515,spot_static
spot_state,0.005915576913100974,spot_static
search_modality,0.005159439861791562,lead_intake
spot_charging_ports,0.005101675408004186,spot_static
spot_modality,0.004996794755270229,spot_static
spot_natural_light,0.004619602980355556,spot_static
availability_is_available,0.0045902413642060404,availability_asof
spot_type_name,0.004531026411736432,spot_static
asked_visit,0.004087313712295516,current_inquiry
same_sector,0.004073467397057018,lead_spot_match
same_preferred_municipality,0.002669227111667604,lead_spot_match
same_preferred_corridor,0.002133714072106219,lead_spot_match
has_converted_before,0.0009678679658807938,lead_intake
has_availability_context,0.0006786777461167474,context_flags
has_inquiry_context,0.0,context_flags
compatible_modality,0.0,lead_spot_match
has_spot_context,0.0,context_flags
