feature,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,family
days_from_lead_creation,0.03817209683263274,0.010160238284833712,0.043069877883310605,0.006311247693212653,current_inquiry
days_since_first_inquiry,0.01367069835100041,0.007787992998884493,0.009727660399302108,0.006594273462588956,interaction_history
hist_prior_accept_rate,0.002623874978461882,0.003033807898191209,0.002375460360534931,0.0015982287065308871,interaction_history
spot_elevators,0.002267880151660795,0.000357708572981642,0.0014566776507074276,0.0007324715062027527,spot_static
spot_price_sqm_mxn_sale,0.001819751287341198,0.0009696348366186513,0.0017023647993796409,0.0007902432617445695,spot_static
search_sector,0.001768644844057765,0.0012965122502826428,0.000918782709827437,0.0008749809556176621,lead_intake
spot_price_total_mxn_rent,0.0017187561786807582,0.0020781521924050526,0.0005616398526845812,0.0007633435242536586,spot_static
inquiry_number,0.00171488000370561,0.0010505148030485246,0.0010152161271563599,0.0011607587873827113,current_inquiry
spot_charging_ports,0.001469215947963054,0.0009498938130631852,0.0015870323706144163,0.00025182368315845833,spot_static
availability_days_until_available,0.0014515433086650376,0.0004662916198444424,0.0006638883504554771,0.0008474889571056681,availability_asof
hist_prior_realized_responses,0.0014371166942943382,0.0008018836614917254,0.0005592169025004478,0.0013686434699274326,interaction_history
requested_to_spot_area_ratio,0.0013688396421432047,0.0013228312388117581,0.0017406474122891647,0.00021375309918961275,lead_spot_match
hist_prior_unique_spots,0.0013123244482439178,0.0007856646909334822,0.0013156619499902656,0.00046595354272327595,interaction_history
prior_inquiries,0.0012403361697670423,0.001506289955399377,0.00034502810622210055,0.0020241501888659643,lead_intake
spot_natural_light,0.0010431325638407206,0.0003704371930089833,0.0003716805582476779,0.0001852059758192642,spot_static
spot_luminaires,0.001023544987905911,0.0013251236679975944,0.0016267687536344112,0.0012901755846000673,spot_static
spot_lat,0.0008247487493087124,0.002282435836022792,0.000244717968598529,0.001018078863148032,spot_static
user_type,0.0007631546433747971,0.00046818864719541995,0.0003072300833494079,0.0006215289925384411,lead_intake
spot_modality,0.0005903457192243611,0.0005044213984162958,0.00015943012211661056,0.00025757681310018573,spot_static
target_area_sqm,0.0004954607220597707,0.0019398346730305602,9.69180073595588e-07,0.0010888723031271046,lead_intake
spot_building_status,0.0004749081166098179,0.00036239708768682604,-0.000551463461911239,0.0006290031878183375,spot_static
spot_maintenance_cost_mxn,0.00038989960566833127,0.0017039554541067006,-0.0013030626090327901,0.0011634897291827413,spot_static
spot_sector_name,0.00035583291170604436,0.0006122035424732369,0.00018269044388441458,0.0005095994770054378,spot_static
rent_budget_to_price_ratio,0.00028066357775013984,0.0006897497415535954,0.00039494088001543746,0.0008917197358560284,lead_spot_match
hist_prior_message_length_mean,0.00027746648613304894,0.00152157376929998,0.0003726497383213623,0.0014089048017610565,interaction_history
channel,0.00019214862235532592,0.0006241278607188888,-0.0008814692769917532,0.0006486414587406797,current_inquiry
has_converted_before,0.00016083360839631579,0.00029564486335671237,0.00017735995347931688,0.0001125616185348961,lead_intake
availability_is_available,0.000115024693055088,0.00020949743887478314,-5.766621438267894e-05,0.00020776285683104677,availability_asof
hist_prior_inquiries,6.819705718208446e-05,0.001471127963436587,0.00037894940880009995,0.0007829515241522305,interaction_history
spot_parking_spaces,5.007828110672463e-05,0.0009748172886167655,0.000695386702849321,0.000549374234243801,spot_static
compatible_modality,0.0,0.0,0.0,0.0,lead_spot_match
has_spot_context,0.0,0.0,0.0,0.0,context_flags
has_availability_context,0.0,0.0,0.0,0.0,context_flags
has_inquiry_context,0.0,0.0,0.0,0.0,context_flags
spot_type_name,-7.863336253866039e-06,0.0005575095384550411,-0.00029026943206054143,9.565898156516625e-05,spot_static
industry,-2.5044001171936615e-05,0.001536803290952823,0.0004245008722619792,0.001504880686084297,lead_intake
score_month,-6.660780570266756e-05,0.0010722101252600847,-0.0005819926342314652,0.0007242886691352252,current_inquiry
spot_municipality,-6.683870836390326e-05,0.0007329395798152123,0.0002301802674936404,0.000515169010562463,spot_static
score_weekday,-7.598026750204046e-05,0.0006945495354904787,-0.00048071331653429803,0.00054385004635667,current_inquiry
requested_budget_mxn_rent_monthly,-0.0001065096611465366,0.0012062843161379884,-0.00023454157782520912,0.0005068902123867348,current_inquiry
sale_budget_to_price_ratio,-0.0001235062810961418,0.0012651142271719541,-0.0002132196162047073,0.0006894389688755553,lead_spot_match
spot_region,-0.00013233133927863515,0.0007807028911102515,-0.00042256251211483244,0.0007465981995811704,spot_static
spot_area_sqm,-0.00023522872676899896,0.0008631454803139649,-0.00042450087226211244,0.0002436986865926236,spot_static
hist_prior_accepted_responses,-0.00037823429014196555,0.0041298538884174275,0.0037977321186275725,0.0021335838131532393,interaction_history
spot_state,-0.00040445690812667133,0.0009070785162056326,-0.00044582283388256984,0.0006405553543880047,spot_static
availability_competing_inquiries_30d,-0.0004829237235177697,0.0015606221352436715,0.0008775925566969711,0.0007070436834065385,availability_asof
spot_price_sqm_mxn_rent,-0.0005720734587370879,0.0009493293945127923,0.0008567551851133449,0.0012968857553061815,spot_static
spot_price_total_mxn_sale,-0.0005722767767561976,0.0021341877599008897,-0.00012260127931773557,0.0008779903601785023,spot_static
company_size,-0.0005878148189951915,0.0004208396725273694,-0.0006386896685405041,0.000332988645166916,lead_intake
min_budget_mxn_sale_total,-0.0006044844256597015,0.0010704503222336422,0.0009216902500483792,0.0017739045288695013,lead_intake
spot_settlement,-0.0006307667565816022,0.0008129326100794651,-0.0007327001356852269,0.00017349575356489112,spot_static
urgency_days,-0.0006322214281375471,0.0010171533642575744,0.0015201589455319908,0.0006870240960024092,current_inquiry
