broker_id,broker_profile
1,B1
2,B3
3,B5
4,B4
5,B4
6,B2
7,B1
8,B6
9,B5
10,B2
11,B7
12,B5
13,B2
14,B1
15,B3
16,B4
17,B3
18,B7
19,B1
20,B1
21,B1
22,B6
23,B3
24,B5
25,B4
26,B1
27,B1
28,B3
29,B5
30,B5
31,B3
32,B2
33,B4
34,B4
35,B6
36,B2
37,B4
38,B1
39,B1
40,B5
41,B3
42,B5
43,B1
44,B6
45,B5
46,B5
47,B1
48,B3
49,B1
50,B5
51,B5
52,B5
53,B3
54,B2
55,B5
56,B4
57,B6
58,B7
59,B1
60,B2
61,B2
62,B1
63,B2
64,B1
65,B5
66,B5
67,B2
68,B6
69,B5
70,B1
71,B3
72,B3
73,B3
74,B7
75,B5
76,B1
77,B1
78,B2
79,B2
80,B6
81,B4
82,B2
83,B1
84,B3
85,B2
86,B2
87,B3
88,B2
89,B2
90,B5
91,B2
92,B6
93,B1
94,B5
95,B7
96,B2
97,B5
98,B2
99,B4
100,B3
101,B1
102,B4
103,B6
104,B7
105,B4
106,B1
107,B3
108,B5
109,B6
110,B4
111,B4
112,B6
113,B3
114,B4
115,B5
116,B1
117,B1
118,B4
119,B1
120,B1
121,B7
122,B7
123,B6
124,B7
125,B2
126,B5
127,B6
128,B7
129,B4
130,B7
131,B4
132,B3
133,B6
134,B3
135,B7
136,B5
137,B7
138,B4
139,B2
140,B4
141,B5
142,B4
143,B5
144,B2
145,B4
146,B5
147,B2
148,B3
149,B5
150,B1
151,B6
152,B2
153,B2
154,B1
155,B3
156,B7
157,B2
158,B2
159,B1
160,B4
161,B4
162,B3
163,B4
164,B2
165,B4
166,B2
167,B3
168,B1
169,B2
170,B3
171,B1
172,B3
173,B1
174,B1
175,B1
176,B2
177,B2
178,B1
179,B5
180,B3
181,B4
182,B4
183,B4
184,B4
185,B6
186,B5
187,B1
188,B1
189,B1
190,B5
191,B1
192,B4
193,B5
194,B4
195,B3
196,B1
197,B6
198,B1
199,B1
200,B1
201,B7
202,B5
203,B7
204,B4
205,B6
206,B7
207,B5
208,B7
209,B3
210,B3
211,B3
212,B2
213,B1
214,B1
215,B2
216,B2
217,B4
218,B1
219,B1
220,B3
221,B5
222,B6
223,B6
224,B6
225,B2
226,B3
227,B3
228,B2
229,B2
230,B3
231,B5
232,B3
233,B4
234,B6
235,B1
236,B4
237,B1
238,B3
239,B1
240,B1
241,B6
242,B5
243,B2
244,B1
245,B6
246,B3
247,B3
248,B1
249,B1
250,B1
251,B3
252,B2
253,B3
254,B3
255,B1
256,B4
257,B4
258,B1
259,B3
260,B3
261,B4
262,B1
263,B2
264,B7
265,B6
266,B4
267,B6
268,B2
269,B2
270,B2
271,B7
272,B2
273,B3
274,B1
275,B1
276,B1
277,B4
278,B4
279,B3
280,B1
281,B2
282,B1
283,B3
284,B4
285,B3
286,B2
287,B4
288,B7
289,B3
290,B1
291,B6
292,B6
293,B1
294,B4
295,B6
296,B6
297,B4
298,B6
299,B2
300,B2
