lead_id,lead_profile,persona_profile,need_profile
1,L3,P3,N2
2,L1,P3,N3
3,L1,P7,N1
4,L1,P3,N1
5,L1,P2,N2
6,L1,P2,N1
7,L2,P1,N2
8,L5,P5,N2
9,L3,P2,N2
10,L1,P2,N1
11,L6,P1,N1
12,L1,P1,N3
13,L1,P6,N3
14,L1,P1,N3
15,L2,P1,N1
16,L2,P2,N1
17,L2,P2,N1
18,L4,P4,N1
19,L1,P1,N2
20,L1,P7,N2
21,L5,P5,N3
22,L2,P3,N3
23,L2,P7,N3
24,L1,P3,N1
25,L1,P2,N3
26,L1,P2,N1
27,L5,P7,N1
28,L2,P7,N1
29,L4,P4,N2
30,L1,P5,N1
31,L1,P7,N1
32,L6,P1,N2
33,L5,P2,N2
34,L1,P3,N1
35,L1,P1,N2
36,L1,P2,N1
37,L1,P3,N1
38,L1,P6,N1
39,L3,P1,N1
40,L6,P1,N1
41,L6,P1,N3
42,L4,P4,N1
43,L1,P2,N3
44,L4,P4,N1
45,L1,P1,N1
46,L1,P3,N2
47,L1,P1,N3
48,L4,P4,N1
49,L1,P6,N1
50,L1,P2,N2
51,L2,P3,N1
52,L1,P3,N2
53,L2,P2,N3
54,L6,P1,N1
55,L4,P4,N3
56,L4,P4,N1
57,L1,P1,N3
58,L5,P7,N3
59,L2,P1,N2
60,L3,P1,N3
61,L1,P6,N3
62,L1,P3,N1
63,L6,P1,N1
64,L3,P4,N1
65,L5,P2,N1
66,L1,P2,N2
67,L3,P3,N1
68,L1,P1,N2
69,L2,P6,N1
70,L3,P1,N1
71,L1,P1,N1
72,L1,P3,N3
73,L2,P1,N1
74,L1,P2,N3
75,L1,P3,N1
76,L1,P2,N3
77,L1,P3,N1
78,L1,P5,N2
79,L5,P6,N1
80,L2,P2,N1
81,L3,P3,N2
82,L2,P1,N2
83,L6,P2,N2
84,L6,P5,N1
85,L3,P5,N3
86,L1,P7,N2
87,L2,P1,N3
88,L2,P3,N1
89,L1,P5,N1
90,L1,P5,N1
91,L4,P4,N2
92,L5,P5,N2
93,L1,P3,N1
94,L1,P1,N1
95,L1,P2,N1
96,L1,P7,N1
97,L1,P2,N3
98,L1,P3,N1
99,L1,P3,N1
100,L5,P7,N1
101,L2,P2,N1
102,L5,P3,N3
103,L5,P1,N1
104,L1,P1,N3
105,L1,P5,N2
106,L3,P2,N2
107,L2,P7,N1
108,L1,P3,N2
109,L5,P3,N2
110,L1,P3,N1
111,L4,P4,N3
112,L1,P3,N1
113,L1,P2,N1
114,L2,P2,N1
115,L1,P1,N2
116,L1,P1,N1
117,L2,P5,N1
118,L2,P2,N1
119,L4,P4,N1
120,L1,P1,N1
121,L1,P1,N3
122,L1,P7,N1
123,L1,P6,N3
124,L1,P6,N2
125,L4,P5,N2
126,L2,P1,N3
127,L4,P4,N1
128,L1,P3,N2
129,L4,P4,N1
130,L5,P2,N1
131,L2,P5,N1
132,L3,P5,N2
133,L3,P4,N3
134,L6,P2,N1
135,L1,P6,N2
136,L3,P2,N1
137,L2,P7,N1
138,L4,P4,N1
139,L1,P7,N2
140,L5,P7,N1
141,L4,P4,N1
142,L1,P3,N1
143,L4,P4,N2
144,L1,P5,N3
145,L4,P4,N3
146,L1,P3,N2
147,L6,P1,N2
148,L2,P3,N1
149,L1,P5,N1
150,L1,P1,N3
151,L2,P1,N1
152,L2,P1,N1
153,L1,P3,N3
154,L6,P4,N3
155,L4,P4,N2
156,L2,P1,N3
157,L2,P1,N1
158,L4,P4,N2
159,L1,P1,N3
160,L1,P7,N3
161,L3,P6,N1
162,L1,P7,N1
163,L1,P6,N1
