spot_id,broker_id,spot_profile
1,238,S2
2,23,S1
3,20,S4
4,119,S1
5,160,S4
6,205,S5
7,48,S3
8,19,S7
9,54,S2
10,27,S1
11,49,S1
12,92,S7
13,53,S1
14,148,S1
15,2,S1
16,249,S7
17,98,S1
18,224,S3
19,208,S3
20,148,S4
21,120,S1
22,298,S7
23,128,S7
24,25,S1
25,104,S3
26,287,S6
27,232,S1
28,34,S3
29,128,S1
30,162,S4
31,27,S4
32,236,S5
33,155,S1
34,178,S6
35,64,S2
36,190,S2
37,55,S1
38,208,S2
39,134,S6
40,194,S4
41,131,S5
42,146,S1
43,294,S7
44,96,S6
45,230,S2
46,249,S4
47,89,S3
48,172,S1
49,294,S2
50,259,S1
51,115,S7
52,209,S4
53,142,S1
54,251,S7
55,246,S5
56,219,S2
57,73,S7
58,200,S3
59,192,S1
60,13,S7
61,54,S5
62,259,S1
63,295,S4
64,184,S6
65,263,S5
66,269,S2
67,40,S3
68,272,S5
69,210,S6
70,148,S5
71,193,S3
72,14,S2
73,242,S1
74,40,S1
75,164,S5
76,52,S6
77,140,S2
78,9,S1
79,166,S1
80,73,S7
81,176,S1
82,102,S1
83,129,S7
84,253,S7
85,278,S1
86,295,S6
87,14,S2
88,234,S1
89,19,S1
90,4,S4
91,259,S4
92,45,S1
93,256,S1
94,156,S2
95,300,S4
96,264,S1
97,204,S5
98,25,S1
99,184,S1
100,2,S1
101,91,S2
102,154,S6
103,211,S1
104,169,S1
105,212,S5
106,106,S2
107,23,S1
108,295,S2
109,169,S6
110,6,S4
111,147,S1
112,106,S3
113,186,S3
114,88,S2
115,40,S1
116,122,S4
117,33,S2
118,95,S1
119,74,S1
120,278,S4
121,6,S6
122,46,S1
123,205,S1
124,166,S3
125,151,S3
126,234,S3
127,103,S1
128,287,S5
129,244,S6
130,49,S4
131,60,S3
132,137,S4
133,271,S7
134,272,S1
135,186,S1
136,173,S6
137,22,S1
138,95,S2
139,251,S4
140,177,S1
141,185,S3
142,169,S6
143,32,S6
144,89,S3
145,294,S4
146,80,S1
147,179,S4
148,126,S3
149,219,S1
150,251,S1
151,28,S1
152,41,S2
153,260,S7
154,82,S4
155,240,S6
156,41,S1
157,149,S1
158,82,S6
159,82,S2
160,90,S3
161,268,S2
162,161,S5
163,96,S2
164,97,S1
165,113,S2
166,151,S4
167,64,S4
168,126,S7
169,196,S5
170,252,S6
171,90,S1
172,167,S1
173,74,S1
174,241,S1
175,241,S3
176,38,S7
177,41,S2
178,171,S1
179,243,S2
180,82,S6
181,46,S2
182,216,S2
183,223,S4
184,242,S7
185,268,S4
186,296,S1
187,144,S3
188,266,S6
189,237,S6
190,145,S3
191,213,S4
192,32,S5
193,174,S2
194,151,S3
195,285,S5
196,225,S3
197,122,S1
198,256,S6
199,182,S5
200,148,S3
201,93,S1
202,2,S1
203,22,S7
204,94,S1
205,11,S2
206,215,S2
207,126,S3
208,95,S4
209,203,S6
210,177,S1
211,209,S3
212,23,S5
213,185,S1
214,88,S6
215,78,S6
216,274,S7
217,66,S1
218,48,S1
219,190,S4
220,46,S3
221,111,S3
222,227,S3
223,282,S4
224,295,S4
225,56,S2
226,115,S4
227,9,S3
228,69,S4
229,170,S1
230,200,S5
231,222,S5
232,297,S3
233,206,S1
234,85,S3
235,297,S6
236,35,S6
237,42,S1
238,285,S1
239,125,S3
240,4,S5
241,127,S1
242,195,S3
243,114,S6
244,202,S1
245,100,S6
246,132,S3
247,279,S4
248,217,S1
249,154,S3
250,227,S1
251,78,S7
252,67,S3
253,162,S7
254,210,S1
255,162,S5
256,71,S2
257,262,S1
258,224,S1
259,34,S7
260,73,S1
261,120,S1
262,150,S4
263,172,S4
264,211,S5
265,266,S2
266,177,S7
267,10,S3
268,160,S6
269,179,S4
270,48,S2
271,160,S2
272,129,S3
273,15,S2
274,138,S4
275,37,S1
