persona_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
P3,B5,94,0.2765957446808511,0.2560316222254538,0.6170212765957447,1.232663972249626,0.15672808073237948,0.0993035414930743,0.19629891934748106,0.37443581925041597
P2,B7,54,0.2962962962962963,0.258598269980966,0.7222222222222222,1.2450210951322414,0.1865349045956567,0.07206336538530933,0.19137265695067046,0.42827825173788586
P7,B3,68,0.25,0.23433553127972967,0.6764705882352942,1.1282081655215983,0.16476937744786113,0.06956615383186854,0.16234881695499528,0.3643877813390294
P2,B1,227,0.2511013215859031,0.24460013999329888,0.6475770925110133,1.1776271132299976,0.18980728218728143,0.05479285780601745,0.19914866124992386,0.31133818340892444
P2,B5,126,0.2698412698412698,0.2548688998687398,0.5873015873015873,1.2270660467028025,0.20066638269306444,0.05420251717567534,0.19999734616485682,0.35330452318980304
P6,B3,48,0.22916666666666666,0.21941178838875916,0.7083333333333334,1.0563578212831943,0.16880110574986285,0.050610682638896315,0.13307691028989044,0.36539535908451154
P1,B6,116,0.1896551724137931,0.19428357293724874,0.6896551724137931,0.9353780547810397,0.14894167507931383,0.04534189785793491,0.1287128868844165,0.27049406629377865
P1,B2,158,0.25949367088607594,0.24903150191015558,0.6708860759493671,1.1989619004544376,0.20375062583984002,0.04528087607031556,0.1974251316999004,0.332979906312576
P7,B2,45,0.28888888888888886,0.25068514562600946,0.7555555555555555,1.2069233663614698,0.2110998139607443,0.03958533166526518,0.1772991803190016,0.43368817472260224
P3,B3,144,0.2152777777777778,0.21363172488158047,0.6111111111111112,1.0285297116899972,0.17627466664566438,0.03735705823591609,0.1560098758775106,0.28934244714929647
P1,B1,248,0.23387096774193547,0.23023693534100975,0.6854838709677419,1.1084754797441365,0.1958277283086874,0.034409207032322364,0.185493629127094,0.29036738827432024
P5,B1,82,0.23170731707317074,0.22383801129680989,0.7317073170731707,1.0776678667552169,0.1907296580168262,0.03310835327998368,0.15365345107261638,0.33377455586108484
P7,B6,41,0.21951219512195122,0.21368194294087414,0.6341463414634146,1.0287714864829292,0.18199989863697563,0.03168204430389851,0.12003040155386346,0.36705302098235293
P7,B5,41,0.14634146341463414,0.1766449059038371,0.5853658536585366,0.8504567111532285,0.15052395839093047,0.02612094751290664,0.0688415452945541,0.2844375526858926
P5,B3,61,0.2786885245901639,0.25057660770505746,0.7704918032786885,1.2064008106567585,0.22524056315137225,0.02533604455368521,0.18188396512091543,0.40171668631273205
P6,B6,33,0.24242424242424243,0.223400512030285,0.696969696969697,1.07556152700295,0.19846831470472304,0.024932197325561956,0.12831561346647294,0.4102494868549029
P4,B2,73,0.2054794520547945,0.20626758741779475,0.726027397260274,0.9930750797214937,0.1821538184750837,0.024113768942711056,0.1286685959377339,0.3117386834525963
P3,B7,60,0.21666666666666667,0.21308237378210804,0.7666666666666667,1.0258848614072493,0.19017624659063806,0.022906127191469977,0.13122921046407016,0.3362026834734252
P1,B7,62,0.20967741935483872,0.20890428802167457,0.6935483870967742,1.0057694719678916,0.18833131025449887,0.020572977767175704,0.12683870286313342,0.3263945113965444
P2,B3,183,0.19672131147540983,0.19869164743592288,0.6338797814207651,0.9566007247554666,0.17987559691911856,0.018816050516804322,0.14561645311924143,0.26029743329577537
P4,B5,57,0.15789473684210525,0.1784354368887712,0.7543859649122807,0.859077220671312,0.16069389435072387,0.017741542538047328,0.08535699749316844,0.2736342190428858
P3,B4,128,0.21875,0.21612046058458811,0.609375,1.040511727078891,0.20173097995616468,0.014389480628423434,0.1559042491230976,0.29798587356958817
P4,B6,44,0.2727272727272727,0.24176473069298576,0.5227272727272727,1.1639760381764643,0.22884095252761705,0.012923778165368716,0.16346223395491324,0.41849154685509304
P1,B5,138,0.1956521739130435,0.19836088414725173,0.6014492753623188,0.9550082652547854,0.18739328948592854,0.010967594661323188,0.13809096832293066,0.2696991299275121
P2,B2,134,0.23134328358208955,0.22590941021960234,0.6716417910447762,1.0876406146606867,0.21733737231482997,0.008572037904772373,0.16803556563317654,0.3096257499638566
