spot_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
S5,B2,64,0.34375,0.2914253594058731,0.765625,1.4030670821715596,0.2072986908243109,0.0841266685815622,0.2392297503546903,0.46596588182379606
S3,B3,104,0.22115384615384615,0.21741831512646392,0.6826923076923077,1.046760246387112,0.1577859821732235,0.05963233295324041,0.15212835010666392,0.3100458016121533
S4,B5,103,0.17475728155339806,0.18397368795951613,0.5922330097087378,0.8857411245470946,0.12500426559448982,0.05896942236502631,0.1134980543398106,0.2594053840212773
S7,B4,66,0.24242424242424243,0.2293229941340642,0.6515151515151515,1.104075310777648,0.17218755736578484,0.05713543676827937,0.15509054458269061,0.35809357491056265
S1,B5,175,0.2742857142857143,0.26189877850330606,0.5885714285714285,1.2609113898943818,0.20567428176281982,0.05622449674048624,0.21356542670728643,0.3447028956517173
S7,B1,107,0.24299065420560748,0.2333893699198014,0.7009345794392523,1.1236528726629242,0.1813778217634242,0.05201154815637718,0.17155744423820674,0.3322389643304172
S1,B6,151,0.23178807947019867,0.22674469831523983,0.6688741721854304,1.0916621083066342,0.18601184709870766,0.04073285121653217,0.1716442991236911,0.30524046569403224
S3,B1,155,0.24516129032258063,0.23747814040108106,0.6258064516129033,1.1433382537860148,0.1984140350542822,0.039064105346798855,0.18414115495091427,0.3185080251127466
S4,B7,33,0.18181818181818182,0.19600325175631242,0.6363636363636364,0.9436574466220755,0.15782597262784615,0.038177279128466274,0.08610651225698263,0.3438856704929522
S1,B7,77,0.23376623376623376,0.22485672972829748,0.7012987012987013,1.08257248555756,0.18749982877656018,0.0373569009517373,0.1532949838383708,0.33954038804937015
S4,B3,112,0.22321428571428573,0.21913314064612371,0.5982142857142857,1.0550162720233418,0.18208640134896759,0.03704673929715613,0.15601066350684978,0.3087757344710787
S1,B3,252,0.19047619047619047,0.19283642937743425,0.6309523809523809,0.9284107836551099,0.15598673123100862,0.036849698146425636,0.14678213360642708,0.24346558216770817
S6,B3,49,0.2857142857142857,0.25065435256416635,0.6938775510204082,1.2067751131980546,0.2143951832999176,0.03625916926424874,0.1784943493972417,0.4240914920610033
S5,B6,33,0.15151515151515152,0.18230462161932612,0.48484848484848486,0.8777054064316383,0.1461525832370136,0.03615203838231251,0.06650359257960958,0.3092021313846048
S6,B1,109,0.24770642201834864,0.23696803609537453,0.6055045871559633,1.1408823571500122,0.20531620022953984,0.0316518358658347,0.17618414860824202,0.3364069525459422
S4,B6,77,0.23376623376623376,0.22485672972829748,0.6363636363636364,1.08257248555756,0.20326823696396673,0.021588492764330752,0.1532949838383708,0.33954038804937015
S4,B2,105,0.26666666666666666,0.250401637091109,0.6285714285714286,1.2055584148224394,0.2317954602581878,0.018606176832921206,0.19141558416037008,0.35838890235948995
S7,B5,46,0.17391304347826086,0.18963066718849772,0.6739130434782609,0.9129766450141318,0.17219367667730506,0.017436990511192657,0.09085683568889254,0.3072363234392253
S1,B1,319,0.2006269592476489,0.20141570300337272,0.7053291536050157,0.9697156873808435,0.18548781192477085,0.015927891078601875,0.16035945471557433,0.2480191433337477
S6,B5,51,0.19607843137254902,0.2011894217385803,0.7058823529411765,0.9686262564727383,0.1877889638459541,0.0134004578926262,0.11015224836299273,0.32458342674495444
S6,B2,72,0.2361111111111111,0.22596640516259647,0.6666666666666666,1.0879150167529696,0.21371268137950006,0.012253723783096415,0.15296584625945536,0.34598987197433717
S2,B5,55,0.18181818181818182,0.19271828819169268,0.5818181818181818,0.9278419930423071,0.18432354899450704,0.008394739197185641,0.10187561448030712,0.3033071133856924
S5,B3,98,0.22448979591836735,0.21962490853775946,0.6530612244897959,1.0573838880133493,0.21333607127809792,0.006288837259661534,0.15318132030764547,0.31658349092862736
S7,B7,60,0.21666666666666667,0.21308237378210804,0.7333333333333333,1.0258848614072493,0.20780466794241448,0.005277705839693558,0.13122921046407016,0.3362026834734252
S5,B4,90,0.18888888888888888,0.19467874906316004,0.5888888888888889,0.9372806298179431,0.19094459114156617,0.0037341579215938725,0.1214115980938824,0.28183813336849667
S3,B6,87,0.19540229885057472,0.19927745967095123,0.6896551724137931,0.9594211171364773,0.19606311906594895,0.0032143406050022805,0.12573278124165055,0.29083407799464656
S1,B2,126,0.2222222222222222,0.21872432155548677,0.6984126984126984,1.0530480129473114,0.2160635836568863,0.002660737898600468,0.1584594242584552,0.3024221422040654
S2,B3,124,0.20161290322580644,0.2030990084037244,0.7096774193548387,0.977819959436268,0.20114396021446562,0.00195504818925879,0.1404555297898297,0.28070315408146096
S5,B1,90,0.17777777777777778,0.18698644137085235,0.6,0.9002460226340823,0.18628861695374432,0.0006978244171080283,0.11249641451153418,0.26944080736021564
S6,B4,118,0.1864406779661017,0.19182428720386585,0.6694915254237288,0.9235378262395076,0.1932156341239948,-0.0013913469201289608,0.12646899188610022,0.2661850770033431
S4,B4,65,0.15384615384615385,0.17436416550676956,0.5846153846153846,0.8394760889430397,0.17629138368667366,-0.0019272181799041,0.08577002061798975,0.26055545700019456
S3,B2,116,0.22413793103448276,0.2199245985782744,0.6982758620689655,1.0588267453939095,0.2222268650744137,-0.0023022664961392936,0.15779657235553665,0.3081651638028591
S7,B2,67,0.1791044776119403,0.18979661101131592,0.6268656716417911,0.9137755813721776,0.19495440858306987,-0.0051577975717539415,0.10553487941259442,0.28747713612629794
S3,B5,88,0.2159090909090909,0.21334560451727191,0.6477272727272727,1.027152185501066,0.21928402161929306,-0.005938417102021143,0.14280713983318927,0.31277725765117514
S2,B1,129,0.20930232558139536,0.20892448152787457,0.6356589147286822,1.0058666935819631,0.21993822767831575,-0.011013746150441178,0.14801989416830047,0.28739792675526565
S2,B4,95,0.22105263157894736,0.21709805465341336,0.6210526315789474,1.045218352681039,0.2297270499048256,-0.012628995251412228,0.1493724298392572,0.31441609644926916
S2,B6,57,0.15789473684210525,0.1784354368887712,0.6666666666666666,0.859077220671312,0.21040725058074858,-0.03197181369197738,0.08535699749316844,0.2736342190428858
