intent_profile,need_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
I7,N1,111,0.2072072072072072,0.207339320385502,0.7027027027027027,0.9982349369519478,0.14766710723984328,0.05967221314565874,0.14222816865850865,0.2917748407039523
I6,N2,164,0.1951219512195122,0.19758939891279806,0.6463414634146342,0.9512939504159872,0.14855819133025838,0.049031207582539676,0.14174049352881898,0.2624596570893829
I5,N1,333,0.21921921921921922,0.2179845506118252,0.6636636636636637,1.0494863865277213,0.1787175941905877,0.03926695642123751,0.17812339059953797,0.26671952666483795
I3,N1,273,0.23809523809523808,0.23421162101664794,0.6336996336996337,1.1276115996920917,0.19590776276547803,0.038303858251169914,0.1914255688533215,0.2920335644561234
I6,N3,156,0.23717948717948717,0.23116447641944288,0.6666666666666666,1.1129411252774029,0.1966495524918768,0.03451492392756608,0.17725240274141912,0.30973971945955975
I2,N3,135,0.25925925925925924,0.2474756421612046,0.7407407407407407,1.1914712153518123,0.21792343798173852,0.02955220417946608,0.19272179893184604,0.3391188021560124
I6,N1,321,0.21495327102803738,0.21415024204490526,0.6635514018691588,1.0310261120200341,0.1866743207532827,0.027475921291622574,0.17352477043572523,0.2631237376371324
I3,N3,133,0.21052631578947367,0.20987420449832836,0.6390977443609023,1.0104391338107153,0.18676977278912094,0.023104431709207424,0.14986350566500917,0.2874421090018757
I4,N2,192,0.23958333333333334,0.23408723007849486,0.6458333333333334,1.1270127196529667,0.2151584431819932,0.018928786896501654,0.1846935223353275,0.3046897343374121
I1,N2,314,0.2070063694267516,0.2070854163226294,0.6114649681528662,0.9970125161119342,0.18823082825125745,0.01885458807137194,0.165864306106437,0.25523098160920504
I4,N3,164,0.22560975609756098,0.22209920283436668,0.6402439024390244,1.0692963752665243,0.20374189122304348,0.0183573116113232,0.16834285844184574,0.29543727711453605
I7,N2,69,0.2608695652173913,0.24135997594688813,0.7391304347826086,1.1620273468828857,0.2314257197743751,0.009934256172513034,0.17185419574593983,0.3751079797142367
I2,N1,251,0.2151394422310757,0.21411765422065568,0.7091633466135459,1.0308692179749264,0.2045214712987933,0.009596182921862373,0.1687992885560132,0.27006783517888727
I2,N2,152,0.19736842105263158,0.19952206967818129,0.6842105263157895,0.9605987917555081,0.192017937836248,0.007504131841933298,0.14189466065483164,0.2677623243863897
I5,N2,186,0.1881720430107527,0.1916293689301363,0.6397849462365591,0.9225993924184387,0.18606410757834493,0.005565261351791362,0.13852583163190002,0.25043844174127006
I1,N1,555,0.2,0.20051804601379966,0.6576576576576577,0.9653939187615344,0.19508844989308102,0.005429596120718638,0.16883384270198373,0.23529068918683774
I4,N1,327,0.19571865443425077,0.19702516996787686,0.6574923547400612,0.9485774707621875,0.19564461865899654,0.0013805513088803179,0.15635314700835212,0.24215054781116274
I3,N2,159,0.20754716981132076,0.20757908230256686,0.6352201257861635,0.9993892704460468,0.2386669065864907,-0.031087824283923843,0.15177548839413274,0.2771173743632954
I1,N3,264,0.16666666666666666,0.17206657032306186,0.6136363636363636,0.8284143193805408,0.21668770744425003,-0.044621137121188176,0.12655981205077807,0.21633539168157714
I5,N3,167,0.1497005988023952,0.16090935931502803,0.592814371257485,0.7746979388770432,0.21849227491995413,-0.057582915604926094,0.10350039506050464,0.21165469597118786
I7,N3,90,0.15555555555555556,0.17160182598623697,0.6333333333333333,0.8261768082663604,0.25487023071825193,-0.08326840473201497,0.09498189002638328,0.24433031266410787
