hallazgo,evidencia,implicacion,decision
"T1 es el momento principal de evaluación","Primera consulta registrada y antes de conocer la respuesta del intermediario","Permite usar la necesidad actual sin mirar el futuro","Mantener T1 como contrato principal; T0/T2 sólo como sensibilidad o extensión"
"Retail muestra mayor presión relativa sobre el catálogo","30.40% de demanda vs 24.51% de catálogo en desarrollo; +5.89 pp","La calidad del lead no basta para asegurar que pueda atenderse","Separar Calidad del lead de Capacidad del inventario"
"La primera consulta refina la necesidad","Área mediana pasa de 395.05 a 480.9 m2","T1 contiene información nueva y no es copia de T0","Construir relaciones T0→T1 de forma determinística"
"El presupuesto tiene ausencia estructural según modalidad","Campos de renta no aplican a venta y viceversa","Imputar globalmente mezcla no aplica con desconocido","Distinguir NO_APLICA / DESCONOCIDO / PARCIAL / OBSERVADO"
"Urgencia no informada no significa urgencia cero","31.34% no declarado; mediana observada 75 días","La ausencia contiene información sobre captura","Crear indicador de urgencia no declarada; no rellenar con cero"
"Solicitar visita no es una etiqueta encubierta","21.33% vs 20.07% de resultado en desarrollo; diferencia modesta","Es una señal contemporánea, pero no determina el resultado","Permitirla y mantener análisis de sensibilidad"
"El total de consultas revela exposición futura","La cantidad cae al acercarse al final del periodo observado","Captura tiempo para acumular eventos y revelaría el futuro","No usar total de consultas futuras en T1"
"La disponibilidad cambia fuertemente de cobertura","Cobertura de candidatos 7.72% en Ene-2025 y 100% en Mar/Abr-2026","Falta de dato temprano no prueba falta de inventario","DESCONOCIDO no significa NO DISPONIBLE; modelar confianza"
"Elegir el registro de disponibilidad más cercano puede mirar al futuro","7,758 consultas usarían un registro futuro; 34.36%","Inflaría retrospectivamente el conocimiento disponible","Usar sólo el último estado conocido hasta ese momento"
"Tener un registro no garantiza que sea reciente","19.16% de candidatos <=7 días; 93.46% de leads tiene al menos uno","La incertidumbre existe por candidato y por lead","Separar cobertura, vigencia y capacidad de atención"
"La cantidad de candidatos crece fuertemente","Mediana 16 a 49 entre Ene-2025 y Abr-2026","La exposición al inventario cambia más que la composición del lead","Mantener profundidad de candidatos fuera del modelo de Calidad del lead"
"Precio y otros atributos no están completamente versionados","La fecha de creación prueba existencia, no todos los valores históricos","No puede reconstruirse compatibilidad histórica perfecta","Disponibilidad sí respeta el tiempo; compatibilidad completa queda condicionada"
"El contexto de mercado tiene valor explicativo pero reloj insuficiente","El mes no indica cuándo el dato fue publicado","Usarlo en predicción histórica podría revelar información no disponible","Mantenerlo sólo para análisis descriptivo"
"No hay base para afirmar estacionalidad fuerte","Hay ~16 meses y la cobertura del proceso cambia al mismo tiempo","Un patrón mensual puede deberse a instrumentación","Hablar de cambios temporales, no de una ley estacional"
"La necesidad dinámica captura una idea útil, no una regla final","La transición T0→T1 muestra refinamiento, pero los segmentos no se confirmaron","La necesidad sí cambia; el identificador del segmento no es estable","Conservar el concepto en variables determinísticas; no usar el segmento como regla"
"Los segmentos locales fueron hipótesis, no reglas confirmadas","Un segmento histórico mostró Lift 1.510x; en confirmación 0/19 celdas superaron el control estadístico","La exploración encontró heterogeneidad, pero no evidencia suficiente","Validar en una nueva cohorte; no usar multiplicadores"
"Características físicas y ubicación son dimensiones distintas","La investigación mostró que responden a preguntas diferentes","Mezclarlas dificulta interpretación","Mantenerlas separadas para análisis y compatibilidad"
"La ausencia de atributos físicos depende del campo","charging_ports 20.2%, vertical_height 15.23%, floor_material 7.87%","Cero y desconocido no son equivalentes","Crear indicadores por campo y evitar imputación general"
