prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L3615:T1:I16388,3615,T1,2025-05-03T19:20:42.000Z,10,6,6,4,0,0.6,76.80604166666667
L3615:T2:I16386,3615,T2,2025-05-09T19:33:04.000Z,11,9,9,2,0,0.8181818181818182,82.81462962962964
L3615:T2:I16393,3615,T2,2025-05-13T08:20:06.000Z,11,9,9,2,0,0.8181818181818182,86.34729166666666
L3615:T2:I16392,3615,T2,2025-07-23T07:41:00.000Z,15,14,14,1,0,0.9333333333333333,82.32013888888889
L3615:T2:I16391,3615,T2,2025-08-31T07:29:00.000Z,16,15,14,1,1,0.875,93.31180555555555
L3615:T2:I16390,3615,T2,2026-05-11T11:17:00.000Z,36,36,35,0,1,0.9722222222222222,91.47013888888888
L3615:T2:I16389,3615,T2,2026-05-30T09:39:00.000Z,36,36,35,0,1,0.9722222222222222,110.40208333333334
L3615:T2:I16387,3615,T2,2026-06-24T10:38:00.000Z,38,38,35,0,3,0.9210526315789473,113.44305555555556
L3616:T0,3616,T0,2025-01-21T00:00:00.000Z,7,0,0,7,0,0,
L3616:T1:I16394,3616,T1,2025-10-02T16:29:00.000Z,17,17,16,0,1,0.9411764705882353,117.68680555555555
L3616:T2:I16395,3616,T2,2025-10-09T13:52:00.000Z,17,17,16,0,1,0.9411764705882353,124.57777777777778
L3616:T2:I16396,3616,T2,2025-12-09T16:10:00.000Z,18,18,18,0,0,1,88.67361111111111
L3617:T0,3617,T0,2025-08-11T00:00:00.000Z,37,36,32,1,4,0.8648648648648649,167
L3617:T1:I16397,3617,T1,2025-08-20T08:34:44.000Z,38,37,32,1,5,0.8421052631578947,176.3574537037037
L3618:T0,3618,T0,2026-03-23T00:00:00.000Z,65,65,62,0,3,0.9538461538461539,143
L3618:T1:I16400,3618,T1,2026-03-23T15:02:06.000Z,66,66,63,0,3,0.9545454545454546,143.62645833333335
L3618:T2:I16399,3618,T2,2026-03-23T17:14:44.000Z,66,66,63,0,3,0.9545454545454546,143.7185648148148
L3618:T2:I16398,3618,T2,2026-03-24T08:35:28.000Z,65,65,62,0,3,0.9538461538461539,144.35796296296297
L3618:T2:I16401,3618,T2,2026-03-31T15:59:12.000Z,66,66,63,0,3,0.9545454545454546,151.66611111111112
L3619:T0,3619,T0,2025-08-21T00:00:00.000Z,17,17,13,0,4,0.7647058823529411,173
L3619:T1:I16405,3619,T1,2025-08-26T20:06:13.000Z,17,17,12,0,5,0.7058823529411765,178.83765046296296
L3619:T2:I16404,3619,T2,2025-08-27T10:23:56.000Z,18,18,13,0,5,0.7222222222222222,179.43328703703705
L3619:T2:I16403,3619,T2,2025-09-01T12:38:30.000Z,18,18,14,0,4,0.7777777777777778,159.52673611111112
L3619:T2:I16406,3619,T2,2025-10-08T18:24:00.000Z,18,18,12,0,6,0.6666666666666666,196.76666666666668
L3619:T2:I16402,3619,T2,2026-02-02T16:28:00.000Z,22,22,20,0,2,0.9090909090909091,206.6861111111111
L3620:T0,3620,T0,2025-07-21T00:00:00.000Z,33,31,24,2,7,0.7272727272727273,122
L3620:T1:I16408,3620,T1,2025-07-21T13:35:02.000Z,34,31,24,3,7,0.7058823529411765,122.56599537037037
L3620:T2:I16410,3620,T2,2025-07-30T19:03:53.000Z,35,33,26,2,7,0.7428571428571429,131.79436342592592
L3620:T2:I16411,3620,T2,2025-07-31T11:22:36.000Z,36,34,27,2,7,0.75,132.4740277777778
L3620:T2:I16413,3620,T2,2025-10-30T07:09:00.000Z,42,42,37,0,5,0.8809523809523809,193.29791666666668
L3620:T2:I16407,3620,T2,2026-01-16T07:50:00.000Z,47,47,43,0,4,0.9148936170212766,104.32638888888889
L3620:T2:I16412,3620,T2,2026-02-10T17:57:00.000Z,50,50,47,0,3,0.94,126.74791666666667
