prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L2703:T0,2703,T0,2025-04-04T00:00:00.000Z,13,8,8,5,0,0.6153846153846154,83
L2703:T1:I12300,2703,T1,2025-04-07T07:14:49.000Z,14,9,9,5,0,0.6428571428571429,86.30195601851852
L2703:T2:I12303,2703,T2,2025-04-15T20:59:27.000Z,15,11,10,4,1,0.6666666666666666,94.87461805555556
L2703:T2:I12299,2703,T2,2025-04-28T11:15:00.000Z,15,12,12,3,0,0.8,77.46875
L2703:T2:I12304,2703,T2,2025-07-05T20:54:00.000Z,20,20,18,0,2,0.9,145.87083333333334
L2703:T2:I12301,2703,T2,2025-11-12T20:13:00.000Z,25,25,23,0,2,0.92,151.8423611111111
L2703:T2:I12302,2703,T2,2026-04-05T07:10:00.000Z,30,30,29,0,1,0.9666666666666667,113.29861111111111
L2704:T0,2704,T0,2025-07-30T00:00:00.000Z,8,6,6,2,0,0.75,40
L2704:T1:I12305,2704,T1,2025-10-22T09:01:00.000Z,11,11,11,0,0,1,62.37569444444444
L2705:T0,2705,T0,2025-04-14T00:00:00.000Z,21,10,10,11,0,0.47619047619047616,84
L2705:T1:I12306,2705,T1,2025-04-27T19:52:52.000Z,22,12,10,10,2,0.45454545454545453,97.82837962962962
L2706:T0,2706,T0,2025-02-19T00:00:00.000Z,17,3,3,14,0,0.17647058823529413,26
L2706:T1:I12309,2706,T1,2025-02-25T10:01:21.000Z,18,4,4,14,0,0.2222222222222222,32.41760416666666
L2706:T2:I12310,2706,T2,2025-06-06T11:35:00.000Z,25,18,15,7,3,0.6,133.48263888888889
L2706:T2:I12307,2706,T2,2025-07-12T07:20:00.000Z,26,20,16,6,4,0.6153846153846154,169.30555555555554
L2706:T2:I12311,2706,T2,2026-01-12T20:03:00.000Z,36,36,35,0,1,0.9722222222222222,101.83541666666666
L2706:T2:I12308,2706,T2,2026-05-18T18:54:00.000Z,40,40,40,0,0,1,63.7875
L2707:T0,2707,T0,2025-11-21T00:00:00.000Z,37,37,33,0,4,0.8918918918918919,140
L2707:T1:I12315,2707,T1,2025-11-22T10:45:25.000Z,39,39,35,0,4,0.8974358974358975,141.4482060185185
L2707:T2:I12314,2707,T2,2025-11-28T15:16:50.000Z,40,40,36,0,4,0.9,147.63668981481482
