prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L4520:T2:I20483,4520,T2,2025-09-19T19:37:01.000Z,87,87,77,0,10,0.8850574712643678,237.81737268518518
L4520:T2:I20481,4520,T2,2025-09-20T13:26:03.000Z,87,87,77,0,10,0.8850574712643678,238.55975694444444
L4520:T2:I20480,4520,T2,2026-05-19T12:50:00.000Z,142,142,140,0,2,0.9859154929577465,236.53472222222223
L4521:T0,4521,T0,2026-01-30T00:00:00.000Z,57,57,54,0,3,0.9473684210526315,102
L4521:T1:I20486,4521,T1,2026-02-03T12:39:50.000Z,59,59,56,0,3,0.9491525423728814,106.52766203703703
L4521:T2:I20485,4521,T2,2026-02-05T12:53:20.000Z,59,59,56,0,3,0.9491525423728814,108.53703703703704
L4521:T2:I20484,4521,T2,2026-02-09T11:12:15.000Z,59,59,56,0,3,0.9491525423728814,112.46684027777778
L4522:T0,4522,T0,2025-02-13T00:00:00.000Z,9,3,3,6,0,0.3333333333333333,17
L4522:T1:I20489,4522,T1,2025-02-17T13:16:02.000Z,10,3,3,7,0,0.3,21.552800925925926
L4522:T2:I20487,4522,T2,2025-02-26T18:57:25.000Z,11,4,4,7,0,0.36363636363636365,30.789872685185184
L4522:T2:I20491,4522,T2,2025-07-06T09:21:00.000Z,12,11,8,1,3,0.6666666666666666,160.38958333333332
L4522:T2:I20492,4522,T2,2025-08-03T13:53:00.000Z,14,14,13,0,1,0.9285714285714286,181.57847222222222
L4522:T2:I20490,4522,T2,2025-10-08T13:02:00.000Z,15,15,13,0,2,0.8666666666666667,247.54305555555555
L4522:T2:I20488,4522,T2,2026-01-20T10:35:00.000Z,17,17,14,0,3,0.8235294117647058,179.44097222222223
L4523:T0,4523,T0,2026-04-17T00:00:00.000Z,83,83,80,0,3,0.963855421686747,157
L4523:T1:I20498,4523,T1,2026-04-17T16:14:15.000Z,83,83,80,0,3,0.963855421686747,157.6765625
L4523:T2:I20496,4523,T2,2026-04-17T17:14:20.000Z,84,84,81,0,3,0.9642857142857143,157.71828703703704
L4523:T2:I20497,4523,T2,2026-04-18T11:32:36.000Z,84,84,82,0,2,0.9761904761904762,130.48097222222222
L4523:T2:I20494,4523,T2,2026-04-20T07:57:05.000Z,84,84,81,0,3,0.9642857142857143,132.33130787037038
L4523:T2:I20499,4523,T2,2026-04-20T11:20:19.000Z,84,84,81,0,3,0.9642857142857143,132.47244212962963
L4523:T2:I20495,4523,T2,2026-04-24T14:37:10.000Z,84,84,81,0,3,0.9642857142857143,136.60914351851852
L4523:T2:I20493,4523,T2,2026-04-29T10:49:14.000Z,84,84,81,0,3,0.9642857142857143,141.45085648148148
L4524:T0,4524,T0,2025-04-15T00:00:00.000Z,20,13,13,7,0,0.65,69
L4524:T1:I20501,4524,T1,2025-04-24T18:49:07.000Z,22,14,14,8,0,0.6363636363636364,78.7841087962963
L4524:T2:I20504,4524,T2,2025-04-24T18:53:48.000Z,22,14,14,8,0,0.6363636363636364,78.78736111111111
L4524:T2:I20502,4524,T2,2025-04-27T07:26:21.000Z,21,14,14,7,0,0.6666666666666666,81.30996527777778
L4524:T2:I20500,4524,T2,2025-08-28T19:49:00.000Z,28,28,24,0,4,0.8571428571428571,204.82569444444445
L4524:T2:I20503,4524,T2,2026-01-02T19:22:00.000Z,36,36,32,0,4,0.8888888888888888,163.80694444444444
L4525:T0,4525,T0,2025-09-15T00:00:00.000Z,16,16,14,0,2,0.875,129
L4525:T1:I20511,4525,T1,2025-09-16T09:39:13.000Z,17,17,15,0,2,0.8823529411764706,130.4022337962963
L4525:T2:I20505,4525,T2,2025-09-16T19:23:01.000Z,17,17,15,0,2,0.8823529411764706,130.80765046296295
L4525:T2:I20506,4525,T2,2025-09-17T07:27:09.000Z,17,17,15,0,2,0.8823529411764706,131.31052083333333
L4525:T2:I20509,4525,T2,2025-09-19T08:23:00.000Z,16,16,14,0,2,0.875,115.34930555555556
L4525:T2:I20508,4525,T2,2025-09-19T15:19:55.000Z,17,17,15,0,2,0.8823529411764706,115.63883101851852
L4525:T2:I20512,4525,T2,2025-09-28T19:12:17.000Z,17,17,16,0,1,0.9411764705882353,124.80019675925926
L4525:T2:I20507,4525,T2,2025-11-10T09:12:00.000Z,20,20,20,0,0,1,67.38333333333334
L4525:T2:I20510,4525,T2,2026-02-21T09:30:00.000Z,23,23,22,0,1,0.9565217391304348,101.39583333333333
L4526:T0,4526,T0,2025-08-02T00:00:00.000Z,35,34,33,1,1,0.9428571428571428,178
L4526:T1:I20513,4526,T1,2026-03-06T14:42:00.000Z,60,60,58,0,2,0.9666666666666667,130.6125
L4527:T0,4527,T0,2026-06-10T00:00:00.000Z,29,29,28,0,1,0.9655172413793104,97
L4527:T1:I20517,4527,T1,2026-06-13T14:28:21.000Z,30,30,30,0,0,1,68.60302083333333
L4527:T2:I20516,4527,T2,2026-06-15T07:30:18.000Z,30,30,30,0,0,1,70.31270833333333
L4527:T2:I20514,4527,T2,2026-06-15T18:38:16.000Z,29,29,29,0,0,1,70.77657407407408
L4527:T2:I20515,4527,T2,2026-06-18T13:33:40.000Z,31,31,31,0,0,1,73.5650462962963
L4528:T0,4528,T0,2025-10-02T00:00:00.000Z,11,11,7,0,4,0.6363636363636364,130
L4528:T1:I20520,4528,T1,2025-10-03T11:06:37.000Z,12,12,9,0,3,0.75,131.46292824074075
L4528:T2:I20519,4528,T2,2025-10-08T14:31:29.000Z,12,12,10,0,2,0.8333333333333334,136.60519675925926
L4528:T2:I20518,4528,T2,2025-10-14T16:12:24.000Z,11,11,9,0,2,0.8181818181818182,142.67527777777778
L4528:T2:I20521,4528,T2,2025-10-18T18:40:00.000Z,12,12,9,0,3,0.75,146.77777777777777
L4529:T0,4529,T0,2025-05-06T00:00:00.000Z,15,10,10,5,0,0.6666666666666666,83
L4529:T1:I20523,4529,T1,2025-05-13T17:53:10.000Z,16,12,11,4,1,0.6875,90.74525462962963
L4529:T2:I20527,4529,T2,2025-05-15T12:40:00.000Z,16,12,11,4,1,0.6875,92.52777777777777
L4529:T2:I20528,4529,T2,2025-05-16T20:32:13.000Z,16,12,11,4,1,0.6875,93.85570601851852
L4529:T2:I20529,4529,T2,2025-08-01T13:24:00.000Z,19,19,17,0,2,0.8947368421052632,121.55833333333334
L4529:T2:I20522,4529,T2,2025-09-29T19:09:00.000Z,24,24,21,0,3,0.875,133.79791666666668
L4529:T2:I20524,4529,T2,2026-04-12T15:00:00.000Z,27,27,26,0,1,0.9629629629629629,128.625
L4529:T2:I20526,4529,T2,2026-05-13T17:20:00.000Z,28,28,27,0,1,0.9642857142857143,159.72222222222223
L4529:T2:I20525,4529,T2,2026-06-03T19:47:00.000Z,28,28,28,0,0,1,79.82430555555555
L4530:T0,4530,T0,2026-03-31T00:00:00.000Z,76,76,73,0,3,0.9605263157894737,130
L4530:T1:I20530,4530,T1,2026-04-10T19:02:21.000Z,77,77,71,0,6,0.922077922077922,140.7932986111111
L4531:T0,4531,T0,2026-03-04T00:00:00.000Z,21,21,20,0,1,0.9523809523809523,101
L4531:T1:I20531,4531,T1,2026-03-04T09:36:38.000Z,22,22,21,0,1,0.9545454545454546,101.40043981481482
L4531:T2:I20533,4531,T2,2026-03-04T20:21:17.000Z,22,22,21,0,1,0.9545454545454546,101.84811342592593
L4531:T2:I20532,4531,T2,2026-03-09T13:27:08.000Z,22,22,21,0,1,0.9545454545454546,106.56050925925926
L4531:T2:I20534,4531,T2,2026-03-12T09:26:28.000Z,22,22,21,0,1,0.9545454545454546,109.39337962962964
L4532:T0,4532,T0,2026-04-10T00:00:00.000Z,62,62,60,0,2,0.967741935483871,165
L4532:T1:I20535,4532,T1,2026-04-20T09:42:03.000Z,63,63,61,0,2,0.9682539682539683,175.40420138888888
L4533:T0,4533,T0,2025-12-13T00:00:00.000Z,69,69,62,0,7,0.8985507246376812,188
L4533:T1:I20540,4533,T1,2025-12-21T17:46:29.000Z,71,71,64,0,7,0.9014084507042254,196.74061342592591
L4533:T2:I20539,4533,T2,2025-12-25T20:21:13.000Z,72,72,67,0,5,0.9305555555555556,200.84806712962964
L4533:T2:I20541,4533,T2,2025-12-26T07:46:03.000Z,72,72,66,0,6,0.9166666666666666,201.32364583333333
L4533:T2:I20542,4533,T2,2026-02-27T10:35:00.000Z,82,82,81,0,1,0.9878048780487805,141.44097222222223
L4533:T2:I20537,4533,T2,2026-03-10T15:59:00.000Z,84,84,84,0,0,1,86.66597222222222
L4533:T2:I20536,4533,T2,2026-03-28T13:04:00.000Z,86,86,83,0,3,0.9651162790697675,104.54444444444445
L4533:T2:I20538,4533,T2,2026-06-09T20:20:00.000Z,99,99,95,0,4,0.9595959595959596,130.84722222222223
L4534:T0,4534,T0,2025-09-15T00:00:00.000Z,20,20,19,0,1,0.95,113
L4534:T1:I20548,4534,T1,2025-09-16T09:10:59.000Z,21,21,19,0,2,0.9047619047619048,114.38262731481481
L4534:T2:I20546,4534,T2,2025-09-24T14:57:25.000Z,21,21,18,0,3,0.8571428571428571,122.62320601851852
L4534:T2:I20544,4534,T2,2025-09-27T17:10:19.000Z,21,21,18,0,3,0.8571428571428571,125.71549768518518
L4534:T2:I20550,4534,T2,2025-11-26T14:31:00.000Z,22,22,18,0,4,0.8181818181818182,129.60486111111112
L4534:T2:I20545,4534,T2,2026-01-24T13:07:00.000Z,24,24,22,0,2,0.9166666666666666,144.54652777777778
L4534:T2:I20549,4534,T2,2026-03-10T09:31:00.000Z,27,27,27,0,0,1,84.39652777777778
L4534:T2:I20547,4534,T2,2026-04-20T11:07:00.000Z,27,27,26,0,1,0.9629629629629629,111.46319444444444
L4534:T2:I20543,4534,T2,2026-06-24T20:41:00.000Z,35,35,35,0,0,1,77.86180555555555
L4535:T0,4535,T0,2026-06-30T00:00:00.000Z,14,14,14,0,0,1,61
L4535:T1:I20552,4535,T1,2026-07-04T14:22:07.000Z,15,15,15,0,0,1,65.59869212962963
L4535:T2:I20551,4535,T2,2026-07-09T09:51:18.000Z,15,15,15,0,0,1,70.410625
L4536:T0,4536,T0,2026-02-16T00:00:00.000Z,49,49,49,0,0,1,79
L4536:T1:I20555,4536,T1,2026-02-19T20:15:09.000Z,49,49,49,0,0,1,82.84385416666667
L4536:T2:I20553,4536,T2,2026-02-28T19:35:42.000Z,50,50,49,0,1,0.98,91.81645833333333
L4536:T2:I20554,4536,T2,2026-03-01T18:40:47.000Z,51,51,50,0,1,0.9803921568627451,92.77832175925926
L4537:T0,4537,T0,2026-04-10T00:00:00.000Z,20,20,20,0,0,1,60
L4537:T1:I20557,4537,T1,2026-04-10T20:39:20.000Z,21,21,21,0,0,1,60.86064814814815
L4537:T2:I20561,4537,T2,2026-04-12T19:59:08.000Z,22,22,22,0,0,1,62.83273148148148
L4537:T2:I20559,4537,T2,2026-04-16T09:39:04.000Z,21,21,21,0,0,1,66.40212962962963
L4537:T2:I20558,4537,T2,2026-04-19T15:38:54.000Z,22,22,22,0,0,1,69.65201388888889
L4537:T2:I20560,4537,T2,2026-04-19T16:32:32.000Z,22,22,22,0,0,1,69.68925925925926
L4537:T2:I20556,4537,T2,2026-04-20T09:05:29.000Z,22,22,22,0,0,1,70.37880787037037
L4538:T0,4538,T0,2026-06-14T00:00:00.000Z,37,37,37,0,0,1,56
L4538:T1:I20564,4538,T1,2026-06-14T10:01:14.000Z,38,38,38,0,0,1,76.41752314814815
L4538:T2:I20565,4538,T2,2026-06-15T14:00:15.000Z,38,38,38,0,0,1,57.583506944444444
L4538:T2:I20566,4538,T2,2026-06-17T10:12:53.000Z,38,38,38,0,0,1,59.425613425925924
L4538:T2:I20567,4538,T2,2026-06-22T16:22:59.000Z,38,38,38,0,0,1,64.68262731481481
L4538:T2:I20562,4538,T2,2026-06-24T07:12:34.000Z,38,38,38,0,0,1,66.30039351851852
L4538:T2:I20563,4538,T2,2026-06-27T09:30:05.000Z,38,38,38,0,0,1,69.3958912037037
L4539:T0,4539,T0,2026-06-24T00:00:00.000Z,32,32,32,0,0,1,89
L4539:T1:I20568,4539,T1,2026-06-24T09:07:28.000Z,33,33,33,0,0,1,89.38018518518518
L4539:T2:I20572,4539,T2,2026-06-25T10:48:08.000Z,33,33,32,0,1,0.9696969696969697,90.4500925925926
L4539:T2:I20570,4539,T2,2026-06-29T09:33:01.000Z,33,33,32,0,1,0.9696969696969697,94.39792824074074
L4539:T2:I20573,4539,T2,2026-07-02T13:01:39.000Z,33,33,32,0,1,0.9696969696969697,97.5428125
L4539:T2:I20569,4539,T2,2026-07-02T15:39:49.000Z,33,33,32,0,1,0.9696969696969697,97.65265046296297
L4539:T2:I20571,4539,T2,2026-07-04T20:05:38.000Z,33,33,32,0,1,0.9696969696969697,99.83724537037037
L4539:T2:I20574,4539,T2,2026-07-05T16:29:39.000Z,33,33,32,0,1,0.9696969696969697,100.68725694444444
L4540:T0,4540,T0,2025-03-26T00:00:00.000Z,26,13,13,13,0,0.5,65
L4540:T1:I20575,4540,T1,2025-12-09T15:36:00.000Z,59,59,53,0,6,0.8983050847457628,132.65
L4541:T0,4541,T0,2026-01-14T00:00:00.000Z,101,100,90,1,10,0.8910891089108911,151
L4541:T1:I20577,4541,T1,2026-01-25T17:38:06.000Z,102,101,92,1,9,0.9019607843137255,143.73479166666667
L4541:T2:I20576,4541,T2,2026-01-27T07:24:35.000Z,101,100,91,1,9,0.900990099009901,145.30873842592592
L4542:T0,4542,T0,2026-04-10T00:00:00.000Z,49,49,48,0,1,0.9795918367346939,106
L4542:T1:I20579,4542,T1,2026-04-11T09:54:13.000Z,50,50,49,0,1,0.98,107.41265046296296
