prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L1815:T0,1815,T0,2026-01-05T00:00:00.000Z,7,7,7,0,0,1,55
L1815:T1:I8187,1815,T1,2026-01-17T13:08:57.000Z,9,9,9,0,0,1,49.54788194444444
L1816:T0,1816,T0,2025-05-31T00:00:00.000Z,39,20,20,19,0,0.5128205128205128,89
L1816:T1:I8192,1816,T1,2025-06-24T13:08:00.000Z,41,26,23,15,3,0.5609756097560976,107.54722222222222
L1816:T2:I8191,1816,T2,2025-06-30T08:23:00.000Z,41,26,23,15,3,0.5609756097560976,113.34930555555556
L1816:T2:I8188,1816,T2,2025-07-21T15:34:00.000Z,46,35,33,11,2,0.717391304347826,134.6486111111111
L1816:T2:I8190,1816,T2,2025-07-24T15:17:00.000Z,47,38,36,9,2,0.7659574468085106,137.63680555555555
L1816:T2:I8189,1816,T2,2025-08-18T19:11:00.000Z,48,42,39,6,3,0.8125,111.79930555555555
L1816:T2:I8195,1816,T2,2025-10-26T19:01:00.000Z,54,53,50,1,3,0.9259259259259259,116.7923611111111
L1816:T2:I8193,1816,T2,2025-11-07T16:16:00.000Z,54,54,51,0,3,0.9444444444444444,128.67777777777778
L1816:T2:I8194,1816,T2,2025-12-07T10:48:00.000Z,55,55,50,0,5,0.9090909090909091,158.45
L1817:T0,1817,T0,2025-06-12T00:00:00.000Z,26,21,18,5,3,0.6923076923076923,119
L1817:T1:I8198,1817,T1,2025-06-14T16:02:29.000Z,27,22,19,5,3,0.7037037037037037,121.6683912037037
L1817:T2:I8197,1817,T2,2025-07-07T18:40:00.000Z,27,25,23,2,2,0.8518518518518519,140.77777777777777
L1817:T2:I8203,1817,T2,2025-08-19T19:05:00.000Z,36,35,31,1,4,0.8611111111111112,183.79513888888889
L1817:T2:I8200,1817,T2,2025-10-18T07:24:00.000Z,43,43,39,0,4,0.9069767441860465,243.30833333333334
L1817:T2:I8202,1817,T2,2026-01-27T20:13:00.000Z,48,48,47,0,1,0.9791666666666666,127.84236111111112
L1817:T2:I8201,1817,T2,2026-02-16T16:50:00.000Z,49,49,49,0,0,1,79.70138888888889
L1817:T2:I8196,1817,T2,2026-03-14T17:58:00.000Z,53,53,49,0,4,0.9245283018867925,105.74861111111112
L1817:T2:I8199,1817,T2,2026-06-11T10:14:00.000Z,60,60,58,0,2,0.9666666666666667,137.42638888888888
L1818:T0,1818,T0,2025-02-07T00:00:00.000Z,26,6,6,20,0,0.23076923076923078,14
L1818:T1:I8211,1818,T1,2025-02-14T08:16:31.000Z,28,6,6,22,0,0.21428571428571427,21.34480324074074
L1818:T2:I8206,1818,T2,2025-02-15T10:40:27.000Z,28,6,6,22,0,0.21428571428571427,22.444756944444446
L1818:T2:I8204,1818,T2,2025-04-29T10:38:00.000Z,37,25,25,12,0,0.6756756756756757,85.44305555555556
L1818:T2:I8210,1818,T2,2025-11-22T12:31:00.000Z,65,65,59,0,6,0.9076923076923077,125.52152777777778
L1818:T2:I8205,1818,T2,2026-01-19T09:53:00.000Z,71,71,69,0,2,0.971830985915493,126.41180555555556
L1818:T2:I8208,1818,T2,2026-02-02T12:05:00.000Z,72,72,69,0,3,0.9583333333333334,140.50347222222223
L1818:T2:I8209,1818,T2,2026-03-15T11:13:00.000Z,80,80,77,0,3,0.9625,124.46736111111112
L1818:T2:I8207,1818,T2,2026-06-07T19:27:00.000Z,90,90,89,0,1,0.9888888888888889,95.81041666666667
L1819:T0,1819,T0,2025-09-24T00:00:00.000Z,11,11,9,0,2,0.8181818181818182,145
L1819:T1:I8213,1819,T1,2025-10-05T19:40:31.000Z,12,12,10,0,2,0.8333333333333334,150.81980324074075
L1819:T2:I8214,1819,T2,2026-02-13T11:12:00.000Z,16,16,16,0,0,1,84.46666666666667
L1819:T2:I8215,1819,T2,2026-03-23T11:03:00.000Z,17,17,15,0,2,0.8823529411764706,122.46041666666666
L1819:T2:I8212,1819,T2,2026-06-06T09:55:00.000Z,21,21,15,0,6,0.7142857142857143,197.41319444444446
L1820:T0,1820,T0,2026-04-16T00:00:00.000Z,76,76,70,0,6,0.9210526315789473,146
L1820:T1:I8216,1820,T1,2026-04-27T08:40:12.000Z,80,80,75,0,5,0.9375,149.36125
L1820:T2:I8217,1820,T2,2026-04-27T16:30:02.000Z,80,80,75,0,5,0.9375,149.68752314814816
