group,check,value,expected,status,severity,note
temporal,lead created after inquiry,0.0,0,PASS,CRITICAL,
temporal,spot created after inquiry,0.0,0,PASS,CRITICAL,
cross_table_semantics,inquiry lead/spot modality compatible,1.0,descriptive >=0.50,PASS,MEDIUM,
cross_table_semantics,inquiry lead/spot sector exact match,0.7035347271438696,descriptive,PASS,LOW,
cross_table_semantics,inquiry preferred municipality exact match,0.1980421686746988,descriptive,PASS,LOW,
cross_table_semantics,inquiry preferred corridor exact match when declared,0.1859524038924752,descriptive,PASS,LOW,
business_rule,min_budget_mxn_rent_monthly <= max_budget_mxn_rent_monthly,0.0,0,PASS,HIGH,
business_rule,min_budget_mxn_sale_total <= max_budget_mxn_sale_total,0.0,0,PASS,HIGH,
conditional_completeness,lead min_budget_mxn_rent_monthly populated for rent/both,0.9663817663817664,>=0.95,PASS,HIGH,
conditional_completeness,lead max_budget_mxn_rent_monthly populated for rent/both,1.0,>=0.95,PASS,HIGH,
conditional_completeness,lead min_budget_mxn_sale_total populated for sale/both,0.9639567480977173,>=0.95,PASS,HIGH,
conditional_completeness,lead max_budget_mxn_sale_total populated for sale/both,1.0,>=0.95,PASS,HIGH,
conditional_completeness,spot price_sqm_mxn_rent populated for rent/both,1.0,>=0.95,PASS,HIGH,
conditional_completeness,spot price_total_mxn_rent populated for rent/both,1.0,>=0.95,PASS,HIGH,
conditional_completeness,spot price_sqm_mxn_sale populated for sale/both,1.0,>=0.95,PASS,HIGH,
conditional_completeness,spot price_total_mxn_sale populated for sale/both,1.0,>=0.95,PASS,HIGH,
response_consistency,no_response with response_hours,3786.0,0,FAIL,HIGH,
response_consistency,response outcome missing response_hours,2701.0,0 preferred,FAIL,MEDIUM,
range,negative requested/target area,0.0,0,PASS,HIGH,
range,spot coordinates plausible Mexico bounding box,1.0,>=0.99,PASS,MEDIUM,
market_context,spot geography+sector+same-month exact coverage,0.23843905031892276,descriptive only,PASS,LOW,Not used as a historical feature because publication semantics are unknown.
