model,segment,value,n,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
E006_A,search_sector,Industrial,1162,0.48302652976325544,0.19877807356511473,0.1574658002874622,0.4953336164706535,1.1425762045231072,0.18141592920353983
E006_A,search_sector,Land,724,0.5542792332749222,0.2711882864266021,0.17779866205600514,0.5411399376544175,1.1283733902058894,0.24550898203592814
E006_A,search_sector,Office,1220,0.4764543269230769,0.2010627388526262,0.16915513483827044,0.5227209249419188,0.8846153846153846,0.16923076923076924
E006_A,search_sector,Retail,1410,0.5048623781676413,0.20911933386521162,0.16157723147944505,0.5043292958426169,1.0175438596491229,0.21052631578947367
E006_A,search_modality,both,968,0.5036627024291498,0.22426657899185226,0.16907941044456673,0.5215314234792706,0.9115781126090404,0.19230769230769232
E006_A,search_modality,rent,2287,0.4915750103795028,0.20704464350012555,0.16369714720782402,0.5096207671262218,0.9795253303041871,0.19616204690831557
E006_A,search_modality,sale,1261,0.5018180076628352,0.20727694727178322,0.16482982329631415,0.5121662969249209,0.7608531692159171,0.19540229885057472
E006_A,user_type,broker,1677,0.5025504740341199,0.21875014365461404,0.16307712777459787,0.5080259852395952,1.1640982923781757,0.20699708454810495
E006_A,user_type,developer,206,0.5523568248119147,0.2105327611525638,0.15297160410998337,0.48341508128821115,1.006105006105006,0.15384615384615385
E006_A,user_type,investor,970,0.5115769389438944,0.21573707776702578,0.16531180119527047,0.5130480118913235,1.1386138613861385,0.21287128712871287
E006_A,user_type,tenant_direct,1663,0.4844632768361582,0.20445597791193532,0.16870096889189218,0.5213392406741864,0.7876450488852802,0.1694915254237288
E006_B,search_sector,Industrial,1162,0.47947867029725433,0.19620538652003505,0.1574106950579729,0.49513796356420514,1.0546857272520989,0.2079646017699115
E006_B,search_sector,Land,724,0.5311334243541641,0.2640567217597407,0.17818906335911178,0.542486924357421,1.1877614633746205,0.23353293413173654
E006_B,search_sector,Office,1220,0.48174679487179484,0.20321488169854857,0.16907831679873264,0.5224987163027857,0.9230769230769231,0.17307692307692307
E006_B,search_sector,Retail,1410,0.5111313840155945,0.20920045362253653,0.1615016084206453,0.5040655373461099,0.9473684210526316,0.2
E006_B,search_modality,both,968,0.5051239878542509,0.2212240359623373,0.16912375340668487,0.5216884407281163,1.1514670896114194,0.21153846153846154
E006_B,search_modality,rent,2287,0.4860386891567621,0.206639241795733,0.16376578662555258,0.5098634661662965,1.0221133881434996,0.19829424307036247
E006_B,search_modality,sale,1261,0.5072911877394636,0.2081490337739511,0.16468578634941733,0.511688763439061,0.8369384861375088,0.20689655172413793
E006_B,user_type,broker,1677,0.49365878285347126,0.21026018998797924,0.16325299915235553,0.5085165210865163,1.0185860058309038,0.1924198250728863
E006_B,user_type,developer,206,0.5666359588515277,0.23983066362152247,0.15261299353326435,0.48249950062064745,1.2576312576312576,0.28205128205128205
E006_B,user_type,investor,970,0.513362469059406,0.2218876113446503,0.16518148395173676,0.5126774884017854,1.188118811881188,0.22772277227722773
E006_B,user_type,tenant_direct,1663,0.48548078707600145,0.20603119453367855,0.16865503801406356,0.5212371748070471,0.8439054095199432,0.1807909604519774
E007_A,search_sector,Industrial,1162,0.47947867029725433,0.19620538652003505,0.1574106950579729,0.49513796356420514,1.0546857272520989,0.2079646017699115
E007_A,search_sector,Land,724,0.5311334243541641,0.2640567217597407,0.17818906335911178,0.542486924357421,1.1877614633746205,0.23353293413173654
E007_A,search_sector,Office,1220,0.48174679487179484,0.20321488169854857,0.16907831679873264,0.5224987163027857,0.9230769230769231,0.17307692307692307
E007_A,search_sector,Retail,1410,0.5111313840155945,0.20920045362253653,0.1615016084206453,0.5040655373461099,0.9473684210526316,0.2
E007_A,search_modality,both,968,0.5051239878542509,0.2212240359623373,0.16912375340668487,0.5216884407281163,1.1514670896114194,0.21153846153846154
E007_A,search_modality,rent,2287,0.4860386891567621,0.206639241795733,0.16376578662555258,0.5098634661662965,1.0221133881434996,0.19829424307036247
E007_A,search_modality,sale,1261,0.5072911877394636,0.2081490337739511,0.16468578634941733,0.511688763439061,0.8369384861375088,0.20689655172413793
E007_A,user_type,broker,1677,0.49365878285347126,0.21026018998797924,0.16325299915235553,0.5085165210865163,1.0185860058309038,0.1924198250728863
E007_A,user_type,developer,206,0.5666359588515277,0.23983066362152247,0.15261299353326435,0.48249950062064745,1.2576312576312576,0.28205128205128205
E007_A,user_type,investor,970,0.513362469059406,0.2218876113446503,0.16518148395173676,0.5126774884017854,1.188118811881188,0.22772277227722773
E007_A,user_type,tenant_direct,1663,0.48548078707600145,0.20603119453367855,0.16865503801406356,0.5212371748070471,0.8439054095199432,0.1807909604519774
E007_B,search_sector,Industrial,1162,0.4897511534679676,0.19950983069039915,0.15899955276975172,0.5006951799081556,0.8789047727100824,0.1902654867256637
E007_B,search_sector,Land,724,0.49917221212870494,0.25117207202076414,0.18018152912850338,0.5499062117418811,1.1877614633746205,0.20958083832335328
E007_B,search_sector,Office,1220,0.4683213141025641,0.19993741091634676,0.17066643462668787,0.5278302173946073,0.8461538461538463,0.19615384615384615
E007_B,search_sector,Retail,1410,0.5313138401559454,0.22589171585953505,0.16131811319087574,0.5036293253606134,1.263157894736842,0.23859649122807017
E007_B,search_modality,both,968,0.5118168016194332,0.2378128044988099,0.16970970081684075,0.5241772814821586,1.007533703409992,0.22115384615384615
E007_B,search_modality,rent,2287,0.4970421349171164,0.20301596046834194,0.16471128858928202,0.5130203850754115,0.8730551857059059,0.18976545842217485
E007_B,search_modality,sale,1261,0.4906704980842912,0.2098172111914684,0.16646057879206358,0.5181037915876996,1.1793224122846715,0.210727969348659
E007_B,user_type,broker,1677,0.4865187668556393,0.2121943747002241,0.16457337444254,0.5134340669862066,1.1349958350687215,0.22448979591836735
E007_B,user_type,developer,206,0.5362352218639643,0.203899322749586,0.15391640827273026,0.4863579621645621,0.7545787545787546,0.1282051282051282
E007_B,user_type,investor,970,0.5212329826732673,0.23207430558557204,0.1654215047975259,0.5139015291181331,1.2376237623762374,0.23267326732673269
E007_B,user_type,tenant_direct,1663,0.4926130698812653,0.2064789245925483,0.1700092053838003,0.5257408036968894,0.8720355898372746,0.18361581920903955
