month,n,coverage,median_lag_days,p90_lag_days
2025-01,263,0.06463878326996197,4.441273148148148,15.16688425925926
2025-02,433,0.26096997690531176,12.490590277777779,33.07299999999999
2025-03,532,0.40977443609022557,16.70161458333333,46.03235416666667
2025-04,580,0.5758620689655173,18.10125,67.47565740740741
2025-05,833,0.7226890756302521,16.579016203703702,79.18754282407404
2025-06,947,0.8468848996832101,11.608483796296296,74.78306712962963
2025-07,1020,0.9058823529411765,11.082748842592594,77.53027199074074
2025-08,1092,0.9413919413919414,12.434513888888889,81.81203703703709
2025-09,1138,0.9657293497363796,10.691446759259259,82.53828703703704
2025-10,1412,0.9922096317280453,7.352256944444444,70.63105324074074
2025-11,1284,0.9953271028037384,9.611898148148148,66.93025115740738
2025-12,1594,0.998745294855709,7.413587962962962,63.33246643518523
2026-01,1688,1.0,5.758408564814815,53.6469212962963
2026-02,1598,1.0,5.497042824074073,51.63348032407407
2026-03,1941,1.0,3.6813541666666665,45.510243055555556
2026-04,1893,1.0,1.5373032407407408,46.19593749999998
2026-05,1955,1.0,3.826550925925926,41.57700694444445
2026-06,2104,1.0,3.599716435185185,40.81558680555556
2026-07,269,1.0,19.609363425925928,58.544546296296296
