profile_id,n,share,interpretation,profile_family
PH1,943,0.5111111111111111,sector_name=Office (52%) | type_name=Single (70%) | modality=rent (38%) | natural_light=True (75%) | security_type=basic (39%) | area_sqm median=124.70 | luminaires median=2.00 | charging_ports median=0.00 | floor_level median=0.00,physical
PH2,488,0.26449864498644987,sector_name=Industrial (100%) | type_name=Single (72%) | modality=rent (42%) | natural_light=True (57%) | security_type=basic (43%) | area_sqm median=2841.85 | luminaires median=2.00 | charging_ports median=0.00 | floor_level median=0.00,physical
PH3,292,0.15826558265582655,sector_name=Land (100%) | type_name=Single (68%) | modality=rent (40%) | natural_light=True (73%) | security_type=basic (42%) | area_sqm median=4613.55 | luminaires median=2.00 | charging_ports median=0.00 | floor_level median=1.00,physical
PH4,122,0.06612466124661247,sector_name=Office (48%) | type_name=Single (65%) | modality=rent (48%) | natural_light=True (81%) | security_type=basic (36%) | area_sqm median=2247.95 | luminaires median=2.50 | charging_ports median=3.00 | floor_level median=1.00,physical
LOC1,616,0.33387533875338754,state=CDMX (52%) | municipality=Naucalpan de Juárez (19%) | settlement=Lomas Verdes (19%) | corridor=lomas-verdes-satelite (19%) | region=centro (88%) | lat median=19.41 | lon median=-99.18,location
LOC2,402,0.21788617886178863,state=Querétaro (50%) | municipality=Querétaro (50%) | settlement=Juriquilla (27%) | corridor=juriquilla-juncos (27%) | region=bajío (76%) | lat median=20.73 | lon median=-100.47,location
LOC3,222,0.12032520325203253,state=Nuevo León (100%) | municipality=San Pedro Garza García (51%) | settlement=Del Valle (51%) | corridor=vasconcelos-calzada (51%) | region=noreste (100%) | lat median=25.67 | lon median=-100.34,location
LOC4,201,0.10894308943089431,state=Jalisco (100%) | municipality=Zapopan (51%) | settlement=Puerta de Hierro (51%) | corridor=andares-puerta-hierro (51%) | region=occidente (100%) | lat median=20.69 | lon median=-103.39,location
LOC5,184,0.0997289972899729,state=Baja California (51%) | municipality=Tijuana (51%) | settlement=Zona Río (51%) | corridor=zona-rio-aguacaliente (51%) | region=noroeste (100%) | lat median=32.49 | lon median=-117.01,location
LOC6,112,0.06070460704607046,state=Chihuahua (100%) | municipality=Chihuahua (100%) | settlement=Centro (100%) | corridor=centro-chihuahua (100%) | region=norte (100%) | lat median=28.64 | lon median=-106.09,location
LOC7,108,0.05853658536585366,state=Yucatán (100%) | municipality=Mérida (100%) | settlement=Centro (100%) | corridor=paseo-montejo (100%) | region=sureste (100%) | lat median=20.98 | lon median=-89.62,location
