month_label,n,exact_coverage
2025-01,263,0.3231939163498099
2025-02,433,0.24018475750577367
2025-03,532,0.19924812030075187
2025-04,580,0.19137931034482758
2025-05,833,0.15006002400960383
2025-06,947,0.235480464625132
2025-07,1020,0.31176470588235294
2025-08,1092,0.17124542124542125
2025-09,1138,0.3163444639718805
2025-10,1412,0.2896600566572238
2025-11,1284,0.25778816199376947
2025-12,1594,0.22710163111668757
2026-01,1688,0.21741706161137442
2026-02,1598,0.21526908635794745
2026-03,1941,0.29675425038639874
2026-04,1893,0.25673534072900156
2026-05,1955,0.220460358056266
2026-06,2104,0.217680608365019
2026-07,269,0.0
