comparison,metric,delta_right_minus_left,ci95_low,ci95_high,p_delta_gt_0,n_resamples
BASE_to_BUSINESS_RULE,average_precision,0.0019219603812941355,-0.006737704587799528,0.01815604559336363,0.7705,2000
BASE_to_BUSINESS_RULE,brier,0.006586090739572788,0.003807621540539353,0.009469239611622165,1.0,2000
BASE_to_BUSINESS_RULE,lift_at_10pct,-0.2163198337903526,-0.39258418685657315,0.2584301719636591,0.3555,2000
BASE_to_LOGISTIC_A,average_precision,0.008873191872502989,-0.003736643603948956,0.03392779916861815,0.9375,2000
BASE_to_LOGISTIC_A,brier,0.004225034040831237,0.0020783344784604577,0.006413567120870909,1.0,2000
BASE_to_LOGISTIC_A,lift_at_10pct,-0.1612228264596318,-0.3427902034246807,0.32260136902623887,0.4885,2000
LOGISTIC_A__vs__LOGISTIC_B,average_precision,-0.005104340829703069,-0.014177869265525727,0.0037023178217343413,0.131,2000
LOGISTIC_A__vs__LOGISTIC_B,brier,0.00103241084190301,0.0001889885664626015,0.001879426109336342,0.9875,2000
LOGISTIC_A__vs__LOGISTIC_B,lift_at_10pct,-0.01566188206942587,-0.20499125085238748,0.229464635218084,0.555,2000
LOGISTIC_B__vs__LOGISTIC_C,average_precision,0.0014696256281504505,-0.007280635421926884,0.010660490804868165,0.5795,2000
LOGISTIC_B__vs__LOGISTIC_C,brier,0.0006272000732075317,-0.0003740570940541978,0.0016538809082228554,0.894,2000
LOGISTIC_B__vs__LOGISTIC_C,lift_at_10pct,0.016488412579883316,-0.22614086275598266,0.15830055128299866,0.3495,2000
LOGISTIC_D_WITH_ASKED_VISIT__vs__LOGISTIC_D_WITHOUT_ASKED_VISIT,average_precision,0.00017687380023952842,-0.002969615076171534,0.0029676734150087423,0.5395,2000
LOGISTIC_D_WITH_ASKED_VISIT__vs__LOGISTIC_D_WITHOUT_ASKED_VISIT,brier,-0.0001713528994749386,-0.000508082263103235,0.00019190694786249714,0.1815,2000
LOGISTIC_D_WITH_ASKED_VISIT__vs__LOGISTIC_D_WITHOUT_ASKED_VISIT,lift_at_10pct,0.07921416973464851,-0.06320921711591096,0.15500670750703643,0.763,2000
LOGISTIC_C__vs__LOGISTIC_E,average_precision,0.005856150427970913,-0.0015558524757833053,0.013847336619198338,0.9345,2000
LOGISTIC_C__vs__LOGISTIC_E,brier,0.0003263991659694307,-0.00046680728014731194,0.0011472566520263367,0.777,2000
LOGISTIC_C__vs__LOGISTIC_E,lift_at_10pct,0.0215554462539215,-0.12866130198668999,0.19921837971707665,0.674,2000
LOGISTIC_A__vs__CATBOOST_A,average_precision,-0.0075397942729920064,-0.029764785479404723,0.013519093235746153,0.2235,2000
LOGISTIC_A__vs__CATBOOST_A,brier,-0.00033767316999817887,-0.002511912219290117,0.001987468164278367,0.397,2000
LOGISTIC_A__vs__CATBOOST_A,lift_at_10pct,-0.19008241980463453,-0.4796581084733293,0.14308512198040674,0.119,2000
