prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,prior_searches,prior_inquiries,has_converted_before
L3615:T1:I16388,3615,T1,2025-05-03T19:20:42.000Z,16388,2717,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,web,231,100.0,88350.31,15285822.77,46,false,0,0,0,,,0,,,true,4,,basic,0,1,3.5,2,fair,ceramic,"[""gym""]",9,187,false
L3615:T2:I16386,3615,T2,2025-05-09T19:33:04.000Z,16386,1094,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,web,341,325.7,84534.63,15948763.88,3,false,1,1,0,0,231,1,46,2025-05-03T19:20:42.000Z,true,0,0,basic,0,1,4.6,10,good,ceramic,"[""rooftop"", ""lounge"", ""conference_room""]",9,187,false
L3615:T2:I16393,3615,T2,2025-05-13T08:20:06.000Z,16393,1260,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,app,110,315.4,87788.6,15169034.52,,false,2,2,0,0,286,2,24.5,2025-05-09T19:33:04.000Z,true,11,0,cctv,0,0,3.3,7,good,ceramic,[],9,187,false
L3615:T2:I16392,3615,T2,2025-07-23T07:41:00.000Z,16392,936,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,email,126,3897.8,83571.85,18621104.88,23,false,3,3,0,0,227.33333333333334,2,24.5,2025-05-13T08:20:06.000Z,false,0,5,basic,10,29,8.5,263,good,concrete,"[""kitchen"", ""reception"", ""rooftop""]",9,187,false
L3615:T2:I16391,3615,T2,2025-08-31T07:29:00.000Z,16391,2013,5,ELIGIBLE,POSITIVE,1,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,whatsapp,321,290.7,73414.41,18564212.74,46,false,4,4,0,0,202,3,24,2025-07-23T07:41:00.000Z,true,0,0,basic,9,4,2.0,5,good,concrete,"[""reception"", ""parking""]",9,187,false
L3615:T2:I16390,3615,T2,2026-05-11T11:17:00.000Z,16390,778,6,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,whatsapp,184,277.8,77234.11,18308313.12,,false,5,5,0,0,225.8,4,29.5,2025-08-31T07:29:00.000Z,true,0,0,cctv,0,0,3.6,19,good,concrete,"[""reception"", ""meeting_rooms"", ""loading_dock"", ""storage""]",9,187,false
L3615:T2:I16389,3615,T2,2026-05-30T09:39:00.000Z,16389,1,7,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,email,159,403.5,84438.82,17288023.19,352,false,6,6,0,0,218.83333333333334,4,29.5,2026-05-11T11:17:00.000Z,false,0,0,full,0,7,2.3,35,new,ceramic,"[""rooftop"", ""cafeteria"", ""gym"", ""meeting_rooms""]",9,187,false
L3615:T2:I16387,3615,T2,2026-06-24T10:38:00.000Z,16387,601,8,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,small,healthcare,Retail,both,302.9,71339.63,88350.31,12841134.2,18621104.88,Puebla,Puebla,angelopolis-lomas,email,email,345,221.5,88350.31,14321785.18,191,true,7,7,0,0,210.28571428571428,5,94,2026-05-30T09:39:00.000Z,true,0,,none,0,3,5.6,3,new,carpet,[],9,187,false
L3616:T0,3616,T0,2025-01-21T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,technology,Office,sale,281.7,,,14714293.15,16359383.76,Yucatán,Mérida,paseo-montejo,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,2,72,true
L3616:T1:I16394,3616,T1,2025-10-02T16:29:00.000Z,16394,2827,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,large,technology,Office,sale,281.7,,,14714293.15,16359383.76,Yucatán,Mérida,paseo-montejo,email,web,258,310.1,,11658304.73,,false,0,0,0,,,0,,,true,1,0,basic,23,9,2.5,16,good,wood,"[""storage""]",2,72,true
L3616:T2:I16395,3616,T2,2025-10-09T13:52:00.000Z,16395,713,2,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,large,technology,Office,sale,281.7,,,14714293.15,16359383.76,Yucatán,Mérida,paseo-montejo,email,web,328,277.5,,15465207.29,,false,1,1,0,0,258,0,,2025-10-02T16:29:00.000Z,true,0,0,basic,1,3,3.6,47,new,wood,[],2,72,true
L3616:T2:I16396,3616,T2,2025-12-09T16:10:00.000Z,16396,1371,3,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,large,technology,Office,sale,281.7,,,14714293.15,16359383.76,Yucatán,Mérida,paseo-montejo,email,web,187,215.0,,16007576.6,31,false,2,2,0,0,293,0,,2025-10-09T13:52:00.000Z,false,7,0,none,0,0,,5,new,concrete,"[""kitchen""]",2,72,true
L3617:T0,3617,T0,2025-08-11T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,technology,Industrial,rent,393.3,51282.65,67527.09,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,2,4,false
L3617:T1:I16397,3617,T1,2025-08-20T08:34:44.000Z,16397,1573,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,technology,Industrial,rent,393.3,51282.65,67527.09,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,email,256,1792.4,61677.98,,28,false,0,0,0,,,0,,,false,9,0,cctv,0,13,6.3,120,needs_renovation,concrete,"[""lounge"", ""gym"", ""cafeteria"", ""meeting_rooms""]",2,4,false
L3618:T0,3618,T0,2026-03-23T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,broker,large,other,Retail,both,103.2,22411.34,32298.54,4034041.87,5064926.68,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,0,false
L3618:T1:I16400,3618,T1,2026-03-23T15:02:06.000Z,16400,2900,1,ELIGIBLE,POSITIVE,1,true,broker,large,other,Retail,both,103.2,22411.34,32298.54,4034041.87,5064926.68,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,web,191,98.6,31752.73,3675190.17,25,false,0,0,0,,,0,,,true,36,,none,0,1,2.3,8,good,,[],0,0,false
L3618:T2:I16399,3618,T2,2026-03-23T17:14:44.000Z,16399,50,2,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,broker,large,other,Retail,both,103.2,22411.34,32298.54,4034041.87,5064926.68,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,app,141,118.5,30359.06,4175343.56,,false,1,1,0,0,191,1,25,2026-03-23T15:02:06.000Z,false,20,,basic,0,1,2.9,6,needs_renovation,polished_concrete,[],0,0,false
L3618:T2:I16398,3618,T2,2026-03-24T08:35:28.000Z,16398,1601,3,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,broker,large,other,Retail,both,103.2,22411.34,32298.54,4034041.87,5064926.68,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,web,201,101.2,27552.14,3845420.1,,true,2,2,0,0,166,1,25,2026-03-23T17:14:44.000Z,true,9,,basic,0,0,3.3,2,needs_renovation,ceramic,"[""loading_dock"", ""kitchen""]",0,0,false
L3618:T2:I16401,3618,T2,2026-03-31T15:59:12.000Z,16401,1825,4,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,broker,large,other,Retail,both,103.2,22411.34,32298.54,4034041.87,5064926.68,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,app,385,102.7,32298.54,4051116.0,,false,3,3,1,0.3333333333333333,177.66666666666666,1,25,2026-03-24T08:35:28.000Z,true,0,0,basic,7,4,3.4,2,good,concrete,"[""parking""]",0,0,false
L3619:T0,3619,T0,2025-08-21T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,broker,small,technology,Office,sale,805.5,,,,56996267.33,Guanajuato,León,centro-leon,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,2,28,false
