prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,prior_searches,prior_inquiries,has_converted_before
L1438:T2:I6564,1438,T2,2025-05-09T09:20:00.000Z,6564,2889,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Land,rent,275.4,11784.42,15807.33,,,Jalisco,Zapopan,andares-puerta-hierro,paid,whatsapp,126,640.0,12334.21,,68,false,1,1,0,0,211,1,359,2025-02-24T13:44:47.000Z,true,12,,full,0,4,0.0,1,new,polished_concrete,[],7,6,false
L1438:T2:I6567,1438,T2,2025-07-09T16:22:00.000Z,6567,1429,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Land,rent,275.4,11784.42,15807.33,,,Jalisco,Zapopan,andares-puerta-hierro,paid,app,273,201.9,15807.33,,237,false,2,2,0,0,168.5,2,213.5,2025-05-09T09:20:00.000Z,true,0,,basic,0,3,3.4,10,good,concrete,"[""cafeteria""]",7,6,false
L1438:T2:I6566,1438,T2,2025-08-04T11:59:00.000Z,6566,170,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Land,rent,275.4,11784.42,15807.33,,,Jalisco,Zapopan,andares-puerta-hierro,paid,app,352,906.3,15807.33,,62,false,3,3,0,0,203.33333333333334,3,221.33333333333334,2025-07-09T16:22:00.000Z,true,0,4,basic,2,6,0.0,0,good,concrete,[],7,6,false
L1438:T2:I6563,1438,T2,2026-05-08T11:02:00.000Z,6563,2322,5,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,retail,Land,rent,275.4,11784.42,15807.33,,,Jalisco,Zapopan,andares-puerta-hierro,paid,web,97,16869.4,13834.01,,5,false,4,4,0,0,240.5,4,181.5,2025-08-04T11:59:00.000Z,true,0,0,none,0,112,0.0,3,needs_renovation,concrete,"[""parking"", ""kitchen"", ""rooftop"", ""storage""]",7,6,false
L1438:T2:I6562,1438,T2,2026-05-08T18:31:00.000Z,6562,2322,6,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,retail,Land,rent,275.4,11784.42,15807.33,,,Jalisco,Zapopan,andares-puerta-hierro,paid,web,95,16869.4,12196.02,,308,false,5,5,0,0,211.8,5,146.2,2026-05-08T11:02:00.000Z,true,0,0,none,0,112,0.0,3,needs_renovation,concrete,"[""parking"", ""kitchen"", ""rooftop"", ""storage""]",7,6,false
L1439:T0,1439,T0,2026-02-06T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,enterprise,financial,Office,rent,401.7,124921.79,181302.45,,,Yucatán,Mérida,paseo-montejo,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,1,0,false
L1439:T1:I6570,1439,T1,2026-02-06T17:23:40.000Z,6570,1843,1,ELIGIBLE,POSITIVE,1,true,investor,enterprise,financial,Office,rent,401.7,124921.79,181302.45,,,Yucatán,Mérida,paseo-montejo,email,web,208,493.9,171059.8,,187,false,0,0,0,,,0,,,true,21,0,basic,0,1,3.7,6,good,ceramic,"[""meeting_rooms"", ""security_booth"", ""parking"", ""rooftop""]",1,0,false
L1439:T2:I6569,1439,T2,2026-02-08T12:55:38.000Z,6569,262,2,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,investor,enterprise,financial,Office,rent,401.7,124921.79,181302.45,,,Yucatán,Mérida,paseo-montejo,email,whatsapp,218,282.8,153038.64,,227,false,1,1,0,0,208,1,187,2026-02-06T17:23:40.000Z,true,8,15,basic,0,0,2.7,9,good,concrete,[],1,0,false
L1439:T2:I6572,1439,T2,2026-02-09T07:50:44.000Z,6572,443,3,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,investor,enterprise,financial,Office,rent,401.7,124921.79,181302.45,,,Yucatán,Mérida,paseo-montejo,email,app,277,668.5,141791.0,,,true,2,2,0,0,213,2,207,2026-02-08T12:55:38.000Z,true,0,0,none,23,13,2.7,111,fair,concrete,"[""reception"", ""rooftop"", ""meeting_rooms""]",1,0,false
L1439:T2:I6571,1439,T2,2026-02-12T19:02:07.000Z,6571,610,4,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,investor,enterprise,financial,Office,rent,401.7,124921.79,181302.45,,,Yucatán,Mérida,paseo-montejo,email,app,280,315.5,152783.27,,322,false,3,3,1,0.3333333333333333,234.33333333333334,2,207,2026-02-09T07:50:44.000Z,true,3,,full,5,2,2.5,8,good,ceramic,"[""meeting_rooms"", ""reception"", ""storage"", ""gym""]",1,0,false
