prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,prior_searches,prior_inquiries,has_converted_before
L2171:T2:I9829,2171,T2,2026-03-10T14:35:18.000Z,9829,2002,4,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,tenant_direct,,manufacturing,Retail,both,659.3,165282.44,196786.02,29750839.16,41177055.82,Querétaro,Querétaro,centro-queretaro,paid,app,418,760.0,151780.46,37625138.55,321,false,3,3,0,0,148.66666666666666,2,260,2026-03-09T20:58:13.000Z,false,1,19,basic,27,12,5.9,58,fair,concrete,[],1,70,false
L2172:T0,2172,T0,2025-06-10T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,1,0,false
L2172:T1:I9835,2172,T1,2025-06-17T16:10:51.000Z,9835,2565,1,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,web,127,474.0,,331956146.32,167,false,0,0,0,,,0,,,true,3,0,cctv,8,3,,5,good,wood,"[""conference_room"", ""loading_dock"", ""cafeteria""]",1,0,false
L2172:T2:I9831,2172,T2,2025-08-25T19:42:00.000Z,9831,533,2,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,email,450,568.0,,335470973.75,340,false,1,1,0,0,127,1,167,2025-06-17T16:10:51.000Z,true,0,0,basic,0,1,4.3,3,good,concrete,[],1,0,false
L2172:T2:I9836,2172,T2,2025-09-04T07:33:00.000Z,9836,1175,3,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,whatsapp,83,100.0,,292143924.01,46,false,2,2,0,0,288.5,2,253.5,2025-08-25T19:42:00.000Z,true,8,,basic,0,3,3.3,0,good,carpet,"[""rooftop"", ""cafeteria"", ""reception""]",1,0,false
L2172:T2:I9834,2172,T2,2025-09-13T17:38:00.000Z,9834,1134,4,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,email,149,1209.5,,309480479.08,27,true,3,3,0,0,220,3,184.33333333333334,2025-09-04T07:33:00.000Z,true,0,0,cctv,2,1,3.6,8,new,,[],1,0,false
L2172:T2:I9833,2172,T2,2025-10-06T09:59:00.000Z,9833,1026,5,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,app,192,1611.8,,385519956.28,,false,4,4,1,0.25,202.25,4,145,2025-09-13T17:38:00.000Z,true,3,5,none,0,9,7.7,58,good,polished_concrete,"[""meeting_rooms"", ""conference_room""]",1,0,false
L2172:T2:I9832,2172,T2,2026-01-17T08:52:00.000Z,9832,292,6,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Retail,sale,1381.5,,,65111916.46,385519956.28,Jalisco,Zapopan,andares-puerta-hierro,organic,whatsapp,236,1550.3,,384574970.75,36,false,5,5,1,0.2,200.2,4,145,2025-10-06T09:59:00.000Z,true,7,0,cctv,6,3,3.9,24,good,ceramic,[],1,0,false
L2173:T0,2173,T0,2025-04-10T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,3,114,false
L2173:T1:I9841,2173,T1,2025-04-13T20:15:28.000Z,9841,2575,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,app,518,167.7,67327.42,13366045.26,304,false,0,0,0,,,0,,,true,10,18,basic,1,2,,10,good,concrete,"[""meeting_rooms"", ""security_booth""]",3,114,false
L2173:T2:I9840,2173,T2,2025-04-20T10:44:21.000Z,9840,1357,2,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,whatsapp,218,207.4,58904.47,9949027.98,56,false,1,1,0,0,518,1,304,2025-04-13T20:15:28.000Z,true,0,4,basic,0,2,2.9,12,fair,concrete,"[""lounge"", ""kitchen"", ""reception""]",3,114,false
L2173:T2:I9839,2173,T2,2025-04-22T08:28:31.000Z,9839,1708,3,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,web,210,265.8,59122.83,13366045.26,160,false,2,2,0,0,368,2,180,2025-04-20T10:44:21.000Z,true,5,,cctv,1,3,3.4,10,fair,polished_concrete,"[""lounge""]",3,114,false
L2173:T2:I9838,2173,T2,2025-05-25T15:52:00.000Z,9838,2,4,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,whatsapp,199,195.5,59763.66,13366045.26,328,false,3,3,0,0,315.3333333333333,3,173.33333333333334,2025-04-22T08:28:31.000Z,true,0,0,basic,0,1,2.6,26,new,wood,[],3,114,false
L2173:T2:I9842,2173,T2,2025-06-01T08:23:00.000Z,9842,2071,5,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,web,327,158.0,62838.42,13366045.26,46,true,4,4,0,0,286.25,4,212,2025-05-25T15:52:00.000Z,false,3,0,basic,5,2,3.3,15,good,concrete,"[""security_booth"", ""meeting_rooms""]",3,114,false
L2173:T2:I9837,2173,T2,2025-07-10T12:19:00.000Z,9837,1965,6,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,app,278,259.6,67600.23,13105519.63,,false,5,5,1,0.2,294.4,5,178.8,2025-06-01T08:23:00.000Z,true,2,0,basic,0,2,0.0,1,fair,concrete,[],3,114,false
L2173:T2:I9843,2173,T2,2026-01-21T12:54:00.000Z,9843,767,7,AMBIGUOUS_PRIOR_SCHEDULED_TIME,AMBIGUOUS,,true,tenant_direct,large,retail,Office,both,204.7,59747.11,67600.23,10754480.31,13366045.26,Jalisco,Guadalajara,americana-chapultepec,email,email,151,226.6,48158.6,13286973.03,,true,6,6,1,0.16666666666666666,291.6666666666667,5,178.8,2025-07-10T12:19:00.000Z,true,38,0,basic,0,1,4.4,8,good,concrete,"[""reception"", ""conference_room"", ""storage""]",3,114,false
L2174:T0,2174,T0,2025-05-25T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,3,35,true
L2174:T1:I9844,2174,T1,2025-05-26T15:55:46.000Z,9844,1948,1,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,web,237,150.0,119684.67,,,false,0,0,0,,,0,,,true,0,,basic,0,3,1.7,2,new,wood,"[""conference_room"", ""storage""]",3,35,true
L2174:T2:I9848,2174,T2,2025-05-31T09:44:43.000Z,9848,1632,2,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,whatsapp,193,426.7,121738.39,,221,false,1,1,0,0,237,0,,2025-05-26T15:55:46.000Z,true,0,19,basic,10,5,3.1,41,new,ceramic,[],3,35,true
L2174:T2:I9846,2174,T2,2025-06-01T16:04:25.000Z,9846,212,3,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,web,259,150.0,107809.82,,,false,2,2,0,0,215,1,221,2025-05-31T09:44:43.000Z,true,1,0,none,3,3,3.6,4,good,ceramic,"[""reception"", ""parking""]",3,35,true
L2174:T2:I9847,2174,T2,2025-06-04T20:18:37.000Z,9847,797,4,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,whatsapp,103,2507.6,129731.24,,237,false,3,3,0,0,229.66666666666666,1,221,2025-06-01T16:04:25.000Z,true,39,,basic,16,24,0.0,2,good,wood,"[""reception""]",3,35,true
L2174:T2:I9845,2174,T2,2025-12-04T10:31:00.000Z,9845,2395,5,ELIGIBLE,NEGATIVE,0,true,broker,large,manufacturing,Office,rent,417.5,104915.33,129731.24,,,Jalisco,Guadalajara,americana-chapultepec,organic,whatsapp,253,460.6,122436.35,,20,true,4,4,0,0,198,2,229,2025-06-04T20:18:37.000Z,true,6,0,cctv,0,0,2.1,13,new,concrete,"[""meeting_rooms"", ""parking"", ""reception""]",3,35,true
L2175:T0,2175,T0,2026-01-16T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,7088.2,49825.92,64778.84,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,34,3,true
L2175:T1:I9850,2175,T1,2026-01-19T08:57:15.000Z,9850,2069,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,7088.2,49825.92,64778.84,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,whatsapp,485,8624.7,57962.13,,312,false,0,0,0,,,0,,,false,0,0,basic,0,13,0.0,0,new,polished_concrete,"[""loading_dock""]",34,3,true
L2175:T2:I9849,2175,T2,2026-05-18T10:38:00.000Z,9849,2523,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,7088.2,49825.92,64778.84,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,web,310,658.0,58614.09,,294,true,1,1,0,0,485,1,312,2026-01-19T08:57:15.000Z,true,0,,basic,12,5,,9,new,ceramic,[],34,3,true
L2176:T0,2176,T0,2025-10-31T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,4,0,false
L2176:T1:I9853,2176,T1,2025-11-01T19:00:12.000Z,9853,2789,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,web,368,183.9,25781.52,,317,false,0,0,0,,,0,,,true,0,,basic,7,5,2.7,32,fair,concrete,"[""lounge"", ""reception"", ""loading_dock""]",4,0,false
L2176:T2:I9854,2176,T2,2025-11-07T20:24:26.000Z,9854,2401,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,app,217,78.4,28287.54,,337,true,1,1,0,0,368,1,317,2025-11-01T19:00:12.000Z,true,7,,cctv,0,2,,5,good,,[],4,0,false
L2176:T2:I9852,2176,T2,2025-12-08T16:58:00.000Z,9852,935,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,phone,604,97.6,24095.89,,,false,2,2,1,0.5,292.5,2,327,2025-11-07T20:24:26.000Z,false,3,18,none,6,2,2.5,8,good,wood,"[""conference_room"", ""loading_dock""]",4,0,false
L2176:T2:I9856,2176,T2,2026-03-18T08:50:00.000Z,9856,444,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,web,246,144.2,22275.06,,56,false,3,3,1,0.3333333333333333,396.3333333333333,2,327,2025-12-08T16:58:00.000Z,true,0,0,none,0,1,3.1,27,good,,[],4,0,false
L2176:T2:I9851,2176,T2,2026-03-27T18:09:00.000Z,9851,945,5,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,app,276,81.3,27180.55,,30,false,4,4,1,0.25,358.75,3,236.66666666666666,2026-03-18T08:50:00.000Z,true,15,0,full,5,4,3.0,11,new,concrete,[],4,0,false
L2176:T2:I9855,2176,T2,2026-06-17T10:09:00.000Z,9855,1746,6,ELIGIBLE,POSITIVE,1,true,tenant_direct,small,retail,Office,rent,94.8,24936.49,28287.54,,,Yucatán,Mérida,paseo-montejo,referral,web,121,87.6,21623.06,,20,false,5,5,1,0.2,342.2,4,185,2026-03-27T18:09:00.000Z,true,5,,none,0,2,3.2,4,good,wood,[],4,0,false
L2177:T0,2177,T0,2025-09-07T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Retail,both,224.8,57938.83,67124.0,10428989.48,12533622.24,Chihuahua,Chihuahua,centro-chihuahua,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,2,0,false
L2177:T1:I9857,2177,T1,2025-09-20T07:13:30.000Z,9857,684,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,small,retail,Retail,both,224.8,57938.83,67124.0,10428989.48,12533622.24,Chihuahua,Chihuahua,centro-chihuahua,organic,whatsapp,258,152.5,67124.0,9351251.78,,false,0,0,0,,,0,,,false,1,3,basic,1,1,3.3,3,new,polished_concrete,[],2,0,false
L2178:T0,2178,T0,2025-08-15T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,enterprise,healthcare,Retail,rent,261.4,67473.88,85615.08,,,CDMX,Miguel Hidalgo,polanco,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,185,false
