prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities,prior_searches,prior_inquiries,has_converted_before
L2886:T0,2886,T0,2025-01-28T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,172,false
L2886:T1:I13119,2886,T1,2025-02-03T08:07:59.000Z,13119,1263,1,ELIGIBLE,POSITIVE,1,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,email,209,519.0,,17146675.78,9,false,0,0,0,,,0,,,false,1,0,cctv,17,6,2.8,17,new,polished_concrete,"[""lounge""]",0,172,false
L2886:T2:I13120,2886,T2,2025-02-06T12:32:35.000Z,13120,262,2,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,email,542,378.7,,21581614.56,311,true,1,1,0,0,209,1,9,2025-02-03T08:07:59.000Z,true,8,15,basic,0,0,2.7,9,good,concrete,[],0,172,false
L2886:T2:I13118,2886,T2,2025-02-23T20:17:00.000Z,13118,1070,3,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,email,73,523.7,,22528377.5,169,true,2,2,1,0.5,375.5,2,160,2025-02-06T12:32:35.000Z,false,0,0,cctv,0,1,3.8,13,fair,wood,[],0,172,false
L2886:T2:I13117,2886,T2,2025-06-16T07:45:00.000Z,13117,2919,4,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,web,95,382.0,,21830839.82,177,true,3,3,2,0.6666666666666666,274.6666666666667,3,163,2025-02-23T20:17:00.000Z,true,1,,cctv,0,4,3.4,38,good,,"[""meeting_rooms"", ""rooftop"", ""cafeteria"", ""conference_room""]",0,172,false
L2886:T2:I13116,2886,T2,2025-12-20T07:31:00.000Z,13116,1865,5,INELIGIBLE_PRIOR_SCHEDULED_VISIT,INELIGIBLE,,true,broker,medium,healthcare,Office,sale,432.3,,,19602292.47,22528377.5,Estado de México,Naucalpan de Juárez,,paid,email,109,255.0,,22430071.81,89,false,4,4,3,0.75,229.75,4,166.5,2025-06-16T07:45:00.000Z,false,9,0,cctv,27,10,,4,fair,concrete,[],0,172,false
L2887:T0,2887,T0,2026-05-06T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,medium,retail,Retail,rent,235.8,61410.03,75988.8,,,Jalisco,Zapopan,andares-puerta-hierro,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,0,34,true
L2887:T1:I13122,2887,T1,2026-05-10T13:15:41.000Z,13122,1105,1,ELIGIBLE,NEGATIVE,0,true,broker,medium,retail,Retail,rent,235.8,61410.03,75988.8,,,Jalisco,Zapopan,andares-puerta-hierro,paid,web,113,283.6,59925.5,,38,false,0,0,0,,,0,,,true,0,0,none,3,1,4.2,15,good,concrete,"[""kitchen"", ""lounge""]",0,34,true
L2887:T2:I13121,2887,T2,2026-05-10T16:19:14.000Z,13121,2704,2,ELIGIBLE,NEGATIVE,0,true,broker,medium,retail,Retail,rent,235.8,61410.03,75988.8,,,Jalisco,Zapopan,andares-puerta-hierro,paid,app,286,227.5,67796.47,,230,true,1,1,0,0,113,1,38,2026-05-10T13:15:41.000Z,true,7,0,cctv,5,2,4.6,6,good,carpet,"[""rooftop""]",0,34,true
L2887:T2:I13123,2887,T2,2026-05-14T09:42:56.000Z,13123,1163,3,ELIGIBLE,NEGATIVE,0,true,broker,medium,retail,Retail,rent,235.8,61410.03,75988.8,,,Jalisco,Zapopan,andares-puerta-hierro,paid,whatsapp,306,128.5,54762.77,,162,false,2,2,1,0.5,199.5,2,134,2026-05-10T16:19:14.000Z,false,31,1,basic,0,5,4.4,2,good,ceramic,[],0,34,true
L2887:T2:I13124,2887,T2,2026-05-16T14:13:23.000Z,13124,501,4,ELIGIBLE,NEGATIVE,0,true,broker,medium,retail,Retail,rent,235.8,61410.03,75988.8,,,Jalisco,Zapopan,andares-puerta-hierro,paid,whatsapp,257,271.7,54859.14,,318,false,3,3,1,0.3333333333333333,235,3,143.33333333333334,2026-05-14T09:42:56.000Z,true,0,,cctv,0,0,2.0,14,fair,ceramic,[],0,34,true
L2888:T0,2888,T0,2025-09-23T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,32,4,false
L2888:T1:I13127,2888,T1,2025-10-01T09:32:06.000Z,13127,297,1,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,whatsapp,395,202.6,75668.22,,22,false,0,0,0,,,0,,,true,0,0,none,16,6,,5,good,ceramic,"[""loading_dock"", ""reception"", ""rooftop""]",32,4,false
L2888:T2:I13130,2888,T2,2025-10-01T16:51:59.000Z,13130,1769,2,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,app,112,276.0,75668.22,,336,false,1,1,0,0,395,1,22,2025-10-01T09:32:06.000Z,true,13,0,basic,0,2,,16,good,ceramic,"[""security_booth""]",32,4,false
L2888:T2:I13125,2888,T2,2025-10-02T07:17:53.000Z,13125,20,3,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,phone,253,257.1,69195.95,,,false,2,2,0,0,253.5,2,179,2025-10-01T16:51:59.000Z,true,0,0,none,27,10,4.7,6,new,ceramic,"[""rooftop"", ""kitchen""]",32,4,false
L2888:T2:I13126,2888,T2,2025-10-06T12:45:52.000Z,13126,1518,4,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,whatsapp,121,269.5,75668.22,,,false,3,3,0,0,253.33333333333334,2,179,2025-10-02T07:17:53.000Z,true,10,3,basic,4,3,5.1,7,needs_renovation,ceramic,"[""cafeteria"", ""security_booth""]",32,4,false
L2888:T2:I13128,2888,T2,2025-11-04T20:04:00.000Z,13128,2465,5,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,whatsapp,56,198.0,75668.22,,151,false,4,4,0,0,220.25,2,179,2025-10-06T12:45:52.000Z,true,12,0,cctv,3,1,3.8,6,fair,polished_concrete,"[""kitchen"", ""lounge"", ""conference_room""]",32,4,false
L2888:T2:I13129,2888,T2,2026-02-25T11:58:00.000Z,13129,2010,6,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Retail,rent,279.3,64736.8,75668.22,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,web,195,177.0,75668.22,,86,true,5,5,0,0,187.4,3,169.66666666666666,2025-11-04T20:04:00.000Z,true,0,0,cctv,16,5,3.8,5,needs_renovation,carpet,"[""meeting_rooms"", ""rooftop"", ""cafeteria"", ""storage""]",32,4,false
L2889:T0,2889,T0,2026-02-02T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,large,healthcare,Retail,both,1079.6,270149.32,383494.15,48626878.36,56472903.55,CDMX,Miguel Hidalgo,polanco,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,32,0,false
L2889:T1:I13135,2889,T1,2026-02-08T19:49:18.000Z,13135,7,1,ELIGIBLE,NEGATIVE,0,true,broker,large,healthcare,Retail,both,1079.6,270149.32,383494.15,48626878.36,56472903.55,CDMX,Miguel Hidalgo,polanco,organic,email,244,394.5,346818.64,48302849.54,,false,0,0,0,,,0,,,true,0,0,none,2,1,,3,good,ceramic,[],32,0,false
L2889:T2:I13134,2889,T2,2026-02-12T15:19:11.000Z,13134,599,2,ELIGIBLE,NEGATIVE,0,true,broker,large,healthcare,Retail,both,1079.6,270149.32,383494.15,48626878.36,56472903.55,CDMX,Miguel Hidalgo,polanco,organic,app,235,1277.2,336722.0,52881458.73,,false,1,1,0,0,244,0,,2026-02-08T19:49:18.000Z,true,3,0,basic,10,4,,11,good,polished_concrete,[],32,0,false
L2889:T2:I13132,2889,T2,2026-05-08T16:39:00.000Z,13132,2560,3,ELIGIBLE,NEGATIVE,0,true,broker,large,healthcare,Retail,both,1079.6,270149.32,383494.15,48626878.36,56472903.55,CDMX,Miguel Hidalgo,polanco,organic,email,197,755.0,326526.26,44578676.03,,false,2,2,0,0,239.5,0,,2026-02-12T15:19:11.000Z,true,5,3,cctv,4,1,4.4,11,good,concrete,"[""lounge"", ""rooftop""]",32,0,false
