broker_id,broker_service_balanced_profile
1,BSV2
2,BSV3
3,BSV1
4,BSV3
5,BSV2
6,BSV1
7,BSV3
8,BSV2
9,BSV1
10,BSV1
11,BSV1
12,BSV1
13,BSV2
14,BSV1
15,BSV2
16,BSV1
17,BSV1
18,BSV2
19,BSV3
20,BSV1
21,BSV3
22,BSV1
23,BSV1
24,BSV3
25,BSV1
26,BSV3
27,BSV2
28,BSV1
29,BSV1
30,BSV2
31,BSV1
32,BSV1
33,BSV1
34,BSV1
35,BSV2
36,BSV1
37,BSV1
38,BSV1
39,BSV1
40,BSV1
41,BSV3
42,BSV2
43,BSV1
44,BSV3
45,BSV1
46,BSV1
47,BSV1
48,BSV1
49,BSV1
50,BSV2
51,BSV3
52,BSV1
53,BSV1
54,BSV2
55,BSV1
56,BSV3
57,BSV2
58,BSV3
59,BSV1
60,BSV3
61,BSV3
62,BSV2
63,BSV3
64,BSV1
65,BSV2
66,BSV2
67,BSV1
68,BSV2
69,BSV1
70,BSV1
71,BSV1
72,BSV1
73,BSV1
74,BSV3
75,BSV1
76,BSV3
77,BSV3
78,BSV1
79,BSV1
80,BSV1
81,BSV1
82,BSV1
83,BSV2
84,BSV1
85,BSV1
86,BSV1
87,BSV1
88,BSV1
89,BSV2
90,BSV1
91,BSV1
92,BSV1
93,BSV3
94,BSV1
95,BSV1
96,BSV1
97,BSV1
98,BSV2
99,BSV1
100,BSV1
101,BSV2
102,BSV1
103,BSV1
104,BSV1
105,BSV1
106,BSV1
107,BSV1
108,BSV2
109,BSV1
110,BSV3
111,BSV2
112,BSV1
113,BSV1
114,BSV3
115,BSV1
116,BSV3
117,BSV1
118,BSV1
119,BSV3
120,BSV1
121,BSV3
122,BSV1
123,BSV1
124,BSV1
125,BSV1
126,BSV1
127,BSV2
128,BSV2
129,BSV1
130,BSV2
131,BSV1
132,BSV1
133,BSV1
134,BSV3
135,BSV3
136,BSV2
137,BSV2
138,BSV3
139,BSV1
140,BSV1
141,BSV1
142,BSV1
143,BSV1
144,BSV3
145,BSV3
146,BSV3
147,BSV2
148,BSV1
149,BSV2
150,BSV3
151,BSV1
152,BSV2
153,BSV2
154,BSV1
155,BSV1
156,BSV2
157,BSV1
158,BSV3
159,BSV1
160,BSV1
161,BSV3
162,BSV1
163,BSV1
164,BSV2
165,BSV1
166,BSV2
167,BSV1
168,BSV1
169,BSV2
170,BSV1
171,BSV1
172,BSV1
173,BSV1
174,BSV1
175,BSV3
176,BSV3
177,BSV1
178,BSV1
179,BSV1
180,BSV1
181,BSV1
182,BSV3
183,BSV1
184,BSV1
185,BSV3
186,BSV3
187,BSV1
188,BSV1
189,BSV3
190,BSV2
191,BSV1
192,BSV3
193,BSV1
194,BSV1
195,BSV3
196,BSV3
197,BSV2
198,BSV1
199,BSV1
200,BSV1
201,BSV3
202,BSV1
203,BSV1
204,BSV1
205,BSV1
206,BSV3
207,BSV2
208,BSV2
209,BSV1
210,BSV3
211,BSV2
212,BSV1
213,BSV3
214,BSV2
215,BSV2
216,BSV1
217,BSV2
218,BSV1
219,BSV3
220,BSV3
221,BSV3
222,BSV1
223,BSV2
224,BSV1
225,BSV1
226,BSV1
227,BSV1
228,BSV1
229,BSV2
230,BSV1
231,BSV2
232,BSV1
233,BSV1
234,BSV1
235,BSV2
236,BSV2
237,BSV2
238,BSV2
239,BSV1
240,BSV1
241,BSV2
242,BSV1
243,BSV1
244,BSV1
245,BSV1
246,BSV2
247,BSV1
248,BSV2
249,BSV1
250,BSV2
251,BSV3
252,BSV2
253,BSV2
254,BSV1
255,BSV1
256,BSV3
257,BSV1
258,BSV2
259,BSV1
260,BSV1
261,BSV1
262,BSV1
263,BSV1
264,BSV2
265,BSV2
266,BSV1
267,BSV1
268,BSV2
269,BSV2
270,BSV2
271,BSV1
272,BSV2
273,BSV1
274,BSV2
275,BSV3
276,BSV1
277,BSV1
278,BSV1
279,BSV1
280,BSV1
281,BSV1
282,BSV1
283,BSV3
284,BSV1
285,BSV3
286,BSV1
287,BSV3
288,BSV2
289,BSV2
290,BSV1
291,BSV2
292,BSV2
293,BSV1
294,BSV1
295,BSV1
296,BSV2
297,BSV1
298,BSV2
299,BSV1
300,BSV3
