lead_id,source,behavioral_profile
1,event,BP1
2,event,BP1
3,social,BP1
4,referral,BP1
5,paid,BP1
6,paid,BP3
7,organic,BP1
8,email,BP3
9,paid,BP1
10,paid,BP1
11,organic,BP1
12,organic,BP2
13,email,BP1
14,organic,BP3
15,organic,BP3
16,paid,BP1
17,paid,BP2
18,organic,BP1
19,organic,BP1
20,social,BP1
21,email,BP3
22,referral,BP1
23,social,BP2
24,referral,BP1
25,paid,BP1
26,paid,BP1
27,social,BP1
28,social,BP3
29,organic,BP1
30,organic,BP3
31,social,BP1
32,organic,BP3
33,paid,BP1
34,referral,BP1
35,organic,BP1
36,paid,BP1
37,referral,BP1
38,email,BP2
39,organic,BP2
40,organic,BP2
41,organic,BP1
42,organic,BP2
43,paid,BP2
44,referral,BP2
45,organic,BP1
46,event,BP2
47,organic,BP2
48,referral,BP1
49,email,BP1
50,paid,BP1
51,referral,BP1
52,event,BP1
53,paid,BP2
54,organic,BP1
55,organic,BP1
56,email,BP1
57,organic,BP3
58,social,BP1
59,organic,BP1
60,organic,BP1
61,email,BP1
62,event,BP3
63,organic,BP1
64,organic,BP1
65,paid,BP2
66,paid,BP1
67,referral,BP1
68,organic,BP1
69,email,BP1
70,organic,BP1
71,organic,BP2
72,referral,BP1
73,organic,BP1
74,paid,BP1
75,referral,BP1
76,paid,BP1
77,referral,BP2
78,organic,BP3
79,email,BP1
80,paid,BP1
81,referral,BP2
82,organic,BP1
83,paid,BP1
84,social,BP3
85,paid,BP3
86,social,BP1
87,organic,BP1
88,event,BP1
89,organic,BP3
90,organic,BP3
91,paid,BP2
92,organic,BP3
93,referral,BP1
94,organic,BP2
95,paid,BP1
96,social,BP2
97,paid,BP1
98,referral,BP1
99,referral,BP1
100,social,BP2
101,paid,BP1
102,referral,BP1
103,organic,BP2
104,organic,BP2
105,referral,BP2
106,paid,BP1
107,social,BP1
108,event,BP1
109,referral,BP1
110,referral,BP1
111,social,BP1
112,referral,BP1
113,paid,BP1
114,paid,BP1
115,organic,BP1
116,organic,BP1
117,referral,BP2
118,paid,BP2
119,organic,BP2
120,organic,BP3
121,organic,BP1
122,social,BP1
123,email,BP1
124,email,BP1
125,social,BP3
126,organic,BP3
127,organic,BP3
128,referral,BP1
129,paid,BP1
130,paid,BP1
131,organic,BP2
132,email,BP3
133,referral,BP2
134,paid,BP1
135,email,BP2
136,paid,BP1
137,social,BP3
138,paid,BP2
139,social,BP1
140,social,BP1
141,referral,BP1
142,referral,BP1
143,social,BP1
144,paid,BP3
145,paid,BP2
146,referral,BP1
147,organic,BP1
148,referral,BP1
149,event,BP3
150,organic,BP2
151,organic,BP2
152,organic,BP1
153,referral,BP1
154,organic,BP1
155,paid,BP1
156,organic,BP3
157,organic,BP2
158,organic,BP3
159,organic,BP1
160,social,BP1
161,email,BP1
162,social,BP2
163,email,BP1
164,organic,BP2
165,email,BP1
166,referral,BP1
167,social,BP1
168,paid,BP1
169,referral,BP1
170,organic,BP3
171,organic,BP2
172,referral,BP3
173,referral,BP1
174,event,BP1
175,organic,BP1
176,paid,BP2
177,paid,BP1
178,organic,BP3
179,referral,BP1
180,referral,BP3
181,referral,BP1
182,organic,BP2
183,organic,BP1
184,organic,BP1
185,social,BP1
186,social,BP1
187,organic,BP2
188,paid,BP1
189,email,BP1
190,organic,BP2
191,organic,BP1
192,organic,BP1
193,organic,BP1
194,social,BP2
195,social,BP1
196,paid,BP1
197,referral,BP1
198,social,BP3
199,organic,BP2
200,organic,BP3
201,organic,BP2
202,email,BP3
203,paid,BP1
204,paid,BP2
205,paid,BP1
206,organic,BP2
207,referral,BP2
208,social,BP1
209,email,BP1
210,paid,BP1
211,organic,BP1
212,event,BP3
213,referral,BP3
214,referral,BP2
215,organic,BP1
216,organic,BP2
217,paid,BP2
218,paid,BP1
219,organic,BP1
220,organic,BP2
221,paid,BP3
222,referral,BP1
223,referral,BP2
224,organic,BP3
225,email,BP1
226,event,BP1
227,referral,BP1
228,paid,BP1
