broker_id,broker_supply_balanced_profile
1,BSP2
2,BSP1
3,BSP1
4,BSP1
5,BSP2
6,BSP1
7,BSP1
8,BSP3
9,BSP1
10,BSP1
11,BSP1
12,BSP3
13,BSP2
14,BSP1
15,BSP2
16,BSP1
17,BSP1
18,BSP1
19,BSP2
20,BSP1
21,BSP1
22,BSP1
23,BSP1
24,BSP2
25,BSP2
26,BSP2
27,BSP1
28,BSP1
29,BSP1
30,BSP2
31,BSP1
32,BSP1
33,BSP2
34,BSP2
35,BSP1
36,BSP1
37,BSP1
38,BSP1
39,BSP1
40,BSP1
41,BSP1
42,BSP2
43,BSP1
44,BSP1
45,BSP1
46,BSP1
47,BSP1
48,BSP1
49,BSP1
50,BSP1
51,BSP1
52,BSP1
53,BSP1
54,BSP1
55,BSP2
56,BSP2
57,BSP1
58,BSP1
59,BSP1
60,BSP2
61,BSP1
62,BSP1
63,BSP2
64,BSP2
65,BSP1
66,BSP1
67,BSP1
68,BSP2
69,BSP1
70,BSP1
71,BSP1
72,BSP2
73,BSP1
74,BSP1
75,BSP1
76,BSP2
77,BSP1
78,BSP1
79,BSP1
80,BSP1
81,BSP1
82,BSP1
83,BSP1
84,BSP3
85,BSP1
86,BSP1
87,BSP2
88,BSP1
89,BSP3
90,BSP1
91,BSP1
92,BSP1
93,BSP1
94,BSP1
95,BSP1
96,BSP1
97,BSP1
98,BSP1
99,BSP2
100,BSP2
101,BSP1
102,BSP2
103,BSP1
104,BSP1
105,BSP2
106,BSP1
107,BSP1
108,BSP1
109,BSP1
110,BSP2
111,BSP2
112,BSP1
113,BSP1
114,BSP2
115,BSP1
116,BSP1
117,BSP1
118,BSP2
119,BSP1
120,BSP1
121,BSP1
122,BSP1
123,BSP1
124,BSP1
125,BSP1
126,BSP1
127,BSP1
128,BSP1
129,BSP2
130,BSP1
131,BSP2
132,BSP1
133,BSP1
134,BSP1
135,BSP1
136,BSP2
137,BSP1
138,BSP2
139,BSP1
140,BSP1
141,BSP1
142,BSP1
143,BSP2
144,BSP1
145,BSP2
146,BSP1
147,BSP2
148,BSP1
149,BSP1
150,BSP1
151,BSP1
152,BSP3
153,BSP1
154,BSP1
155,BSP1
156,BSP1
157,BSP1
158,BSP1
159,BSP1
160,BSP2
161,BSP2
162,BSP1
163,BSP1
164,BSP2
165,BSP2
166,BSP2
167,BSP1
168,BSP1
169,BSP2
170,BSP1
171,BSP1
172,BSP1
173,BSP2
174,BSP1
175,BSP2
176,BSP1
177,BSP1
178,BSP1
179,BSP1
180,BSP1
181,BSP1
182,BSP2
183,BSP2
184,BSP2
185,BSP1
186,BSP1
187,BSP2
188,BSP1
189,BSP1
190,BSP1
191,BSP2
192,BSP2
193,BSP1
194,BSP1
195,BSP2
196,BSP1
197,BSP2
198,BSP1
199,BSP1
200,BSP1
201,BSP1
202,BSP1
203,BSP1
204,BSP2
205,BSP1
206,BSP1
207,BSP1
208,BSP2
209,BSP1
210,BSP1
211,BSP1
212,BSP1
213,BSP1
214,BSP2
215,BSP3
216,BSP1
217,BSP2
218,BSP1
219,BSP1
220,BSP1
221,BSP1
222,BSP1
223,BSP2
224,BSP3
225,BSP1
226,BSP1
227,BSP1
228,BSP1
229,BSP1
230,BSP1
231,BSP3
232,BSP1
233,BSP1
234,BSP1
235,BSP1
236,BSP2
237,BSP2
238,BSP2
239,BSP1
240,BSP1
241,BSP1
242,BSP1
243,BSP1
244,BSP1
245,BSP1
246,BSP1
247,BSP1
248,BSP1
249,BSP2
250,BSP1
251,BSP1
252,BSP2
253,BSP1
254,BSP3
255,BSP1
256,BSP1
257,BSP1
258,BSP2
259,BSP1
260,BSP2
261,BSP2
262,BSP1
263,BSP2
264,BSP2
265,BSP1
266,BSP1
267,BSP2
268,BSP3
269,BSP1
270,BSP1
271,BSP1
272,BSP1
273,BSP1
274,BSP1
275,BSP1
276,BSP1
277,BSP2
278,BSP2
279,BSP2
280,BSP1
281,BSP1
282,BSP2
283,BSP2
284,BSP1
285,BSP2
286,BSP1
287,BSP1
288,BSP1
289,BSP1
290,BSP1
291,BSP1
292,BSP2
293,BSP1
294,BSP2
295,BSP1
296,BSP1
297,BSP2
298,BSP3
299,BSP1
300,BSP2
