profile_family,profile_id,n_reference,share_reference,top_signals
behavioral_persona,BP1,1445,0.5895552835577316,prior_inquiries median=0 (-0.29 IQR) | has_converted_before=False (100%; +13%pp) | industry=retail (32%; +8%pp) | user_type=tenant_direct (42%; +3%pp) | company_size=medium (33%; -0%pp)
behavioral_persona,BP2,644,0.262749898000816,industry=manufacturing (47%; +33%pp) | has_converted_before=False (100%; +13%pp) | prior_inquiries median=1.5 (-0.07 IQR) | user_type=tenant_direct (34%; -6%pp) | company_size=medium (33%; -0%pp)
behavioral_persona,BP3,362,0.14769481844145246,prior_inquiries median=35.5 (+4.79 IQR) | has_converted_before=True (85%; +73%pp) | industry=technology (23%; +5%pp) | company_size=medium (35%; +1%pp) | user_type=tenant_direct (39%; -1%pp)
dynamic_need_t1,DN1,4401,0.6498818665091554,request_modality=rent (76%; +27%pp) | log_requested_area median=6.07 (-0.05 IQR) | log_sale_budget median=16.5 (-0.03 IQR) | message_length median=198 (-0.01 IQR) | urgency_days median=74 (-0.01 IQR)
dynamic_need_t1,DN2,873,0.12891317188422918,log_rent_budget median=12 (+0.53 IQR) | log_sale_budget median=17.1 (+0.49 IQR) | request_modality=sale (63%; +33%pp) | sale_budget_log_ratio median=0.043 (+0.12 IQR) | area_log_ratio median=-0.0444 (-0.10 IQR)
dynamic_need_t1,DN3,776,0.11458948611931483,log_sale_budget median=15.7 (-0.64 IQR) | log_rent_budget median=10.5 (-0.58 IQR) | request_modality=sale (56%; +26%pp) | area_log_ratio median=0.272 (+0.26 IQR) | sale_budget_log_ratio median=-0.00271 (-0.12 IQR)
dynamic_need_t1,DN4,364,0.05375073833431778,log_sale_budget median=14.6 (-1.47 IQR) | log_rent_budget median=9.52 (-1.31 IQR) | area_log_ratio median=1.08 (+1.15 IQR) | log_requested_area median=6.57 (+0.28 IQR) | sale_budget_log_ratio median=-0.0298 (-0.26 IQR)
dynamic_need_t1,DN5,358,0.05286473715298287,log_sale_budget median=18 (+1.12 IQR) | log_rent_budget median=12.7 (+1.08 IQR) | area_log_ratio median=-0.348 (-0.44 IQR) | log_requested_area median=6.57 (+0.28 IQR) | sale_budget_log_ratio median=0.072 (+0.26 IQR)
broker_supply,BS1,295,0.9833333333333333,region_occidente median=0.0769 (+0.38 IQR) | region_noreste median=0.1 (-0.03 IQR) | median_area median=640 (-0.01 IQR) | median_sale median=3.91e+04 (+0.01 IQR) | median_rent median=220 (+0.01 IQR)
broker_supply,BS2,4,0.013333333333333334,median_area median=1.79e+04 (+13.54 IQR) | sector_land median=0.5 (+1.25 IQR) | median_rent median=99.7 (-1.09 IQR) | sector_retail median=0 (-1.00 IQR) | median_sale median=2.12e+04 (-0.69 IQR)
broker_supply,BS3,1,0.0033333333333333335,median_area median=7.01e+04 (+54.54 IQR) | region_norte median=1 (+8.00 IQR) | sector_land median=1 (+3.00 IQR) | modality_both median=1 (+2.35 IQR) | median_rent median=20.9 (-1.80 IQR)
broker_service,BV1,123,0.41,accepted_rate median=0.529 (+0.45 IQR) | rejected_rate median=0.107 (-0.31 IQR) | n_inquiries median=26 (+0.29 IQR) | channel_web median=0.273 (-0.18 IQR) | no_response_rate median=0.167 (-0.18 IQR)
broker_service,BV2,103,0.3433333333333333,rejected_rate median=0.2 (+0.53 IQR) | accepted_rate median=0.375 (-0.53 IQR) | mean_message_length median=232 (+0.29 IQR) | no_response_rate median=0.219 (+0.27 IQR) | channel_web median=0.333 (+0.25 IQR)
broker_service,BV3,39,0.13,median_urgency median=172 (+3.11 IQR) | channel_phone median=0 (-0.51 IQR) | channel_email median=0.0909 (-0.50 IQR) | n_inquiries median=16 (-0.43 IQR) | accepted_rate median=0.417 (-0.27 IQR)
broker_service,BV4,35,0.11666666666666667,channel_app median=0.364 (+0.90 IQR) | channel_whatsapp median=0.167 (-0.60 IQR) | channel_web median=0.222 (-0.54 IQR) | mean_message_length median=208 (-0.48 IQR) | channel_phone median=0.0645 (+0.33 IQR)
broker_supply_balanced,BSP1,211,0.7033333333333334,log_median_rent median=5.51 (+0.23 IQR) | log_n_spots median=2.08 (+0.23 IQR) | log_median_sale median=10.7 (+0.20 IQR) | log_median_area median=6.16 (-0.18 IQR) | dominant_sector=office (40%; +10%pp)
