interaction,n,visit_rate,smoothed_rate,lift_vs_global,wilson_low,wilson_high,wilson_low_lift,dynamic_need_profile,broker_service_balanced_profile,physical_profile,location_profile,need_transition,beats_old_EV010_1_366x,beats_v4_first_pass_1_42685x
dynamic_need_x_location_x_service,60,0.36666666666666664,0.3136797559295345,1.5102108505093579,0.2562073884620827,0.4931723263320327,1.2335101986084918,DN4,BSV1,,LOC1,,True,True
need_transition_x_broker_service,83,0.3132530120481928,0.2852316640146735,1.3732475423137158,0.22361249958256627,0.4194157265210524,1.0765821408474086,,BSV1,,,N3->DN4,True,False
need_transition_x_broker_service,57,0.3157894736842105,0.2785192877431966,1.3409308139107419,0.21004123631681515,0.4448001879718294,1.0112433083227474,,BSV3,,,N2->DN2,False,False
dynamic_need_x_location,90,0.3,0.27692648361381755,1.3332622601279318,0.2151077805125653,0.4012670468561069,1.0356361799517535,DN4,,,LOC1,,False,False
dynamic_need_x_physical_x_service,59,0.3050847457627119,0.2722604273444731,1.3107975371936464,0.20253473477602124,0.4314656725974384,0.9751032646572622,DN2,BSV3,PH1,,,False,False
physical_x_broker_service,159,0.2830188679245283,0.27106443404051905,1.305039428706806,0.21875991541939405,0.35751543436837524,1.0532193795671465,,BSV2,PH3,,,False,False
dynamic_need_x_broker_service,153,0.28104575163398693,0.269022830785017,1.2952101320097404,0.21585451117980442,0.3569629046078437,1.0392313139530882,DN4,BSV1,,,,False,False
dynamic_need_x_broker_service,90,0.28888888888888886,0.2685931502804842,1.293141435678749,0.2054199396270598,0.38964237815098307,0.9889940803366758,DN2,BSV3,,,,False,False
dynamic_need_x_physical_x_service,90,0.2777777777777778,0.2602598169471509,1.2530206112295665,0.1957955914762625,0.37795421671115115,0.9426576664251614,DN5,BSV1,PH1,,,False,False
dynamic_need_x_physical,145,0.2689655172413793,0.2584638744780463,1.2443740481267134,0.2034414774869696,0.3464155517306684,0.9794687764724463,DN5,,PH1,,,False,False
dynamic_need_x_physical_x_service,95,0.2736842105263158,0.2578494242692648,1.241415778251599,0.19414427878715154,0.370816223673351,0.934707423243898,DN1,BSV2,PH3,,,False,False
dynamic_need_x_physical,123,0.2682926829268293,0.25641292832456275,1.2344997700572764,0.19788382484416442,0.352736791735885,0.9527114637486636,DN4,,PH3,,,False,False
dynamic_need_x_location,53,0.2830188679245283,0.25579732570672414,1.2315359519099853,0.17966135362950314,0.4157054200010772,0.8649793955126185,DN5,,,LOC1,,False,False
need_transition_x_broker_service,61,0.2786885245901639,0.2552876706995396,1.2290822184212375,0.18188396512091543,0.40171668631273205,0.875680156168501,,BSV1,,,N3->DN5,False,False
