population,aggregation,fold,system,objective,n,positives,base_rate,roc_auc,average_precision,serviceability_rate,confirmed_serviceability_rate,fallback_coverage,no_result_rate,note
DEVELOPMENT_OOF,FOLD,F1,LEAD_QUALITY_RECOVERED,LEAD_QUALITY,607,128,0.21087314662273476,0.49485418841336115,0.21075647943518064,0.7660626029654036,0.9983525535420099,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F2,LEAD_QUALITY_RECOVERED,LEAD_QUALITY,602,118,0.19601328903654486,0.5445965821543634,0.22622554928268776,0.8006644518272426,0.9983388704318937,0.9983388704318937,0.0016611295681063123,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F3,LEAD_QUALITY_RECOVERED,LEAD_QUALITY,578,119,0.20588235294117646,0.5087329049266766,0.20962109771296872,0.8148788927335641,1,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F4,LEAD_QUALITY_RECOVERED,LEAD_QUALITY,603,133,0.22056384742951907,0.5030555111182211,0.2266926261580898,0.814262023217247,1,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,MACRO,MACRO,LEAD_QUALITY_RECOVERED,LEAD_QUALITY,2390,498,0.20833315900749377,0.5128097966531555,0.21832393814723175,0.7989669926858644,0.9991728559934759,0.9995847176079734,0.0004152823920265781,Macro average across four frozen temporal validation folds.
DEVELOPMENT_OOF,FOLD,F1,LEAD_QUALITY_RECOVERED,SERVICEABILITY_EXACT,607,465,0.7660626029654036,0.45424049674390427,0.7437597081952277,0.7660626029654036,0.9983525535420099,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F2,LEAD_QUALITY_RECOVERED,SERVICEABILITY_EXACT,602,482,0.8006644518272426,0.4933091286307054,0.7994045492704404,0.8006644518272426,0.9983388704318937,0.9983388704318937,0.0016611295681063123,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F3,LEAD_QUALITY_RECOVERED,SERVICEABILITY_EXACT,578,471,0.8148788927335641,0.5259936107307974,0.8364930907683498,0.8148788927335641,1,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,FOLD,F4,LEAD_QUALITY_RECOVERED,SERVICEABILITY_EXACT,603,491,0.814262023217247,0.473896203084085,0.8075599532956137,0.814262023217247,1,1,0,Temporal validation fold; score ranking uses score desc then lead_id asc.
DEVELOPMENT_OOF,MACRO,MACRO,LEAD_QUALITY_RECOVERED,SERVICEABILITY_EXACT,2390,1909,0.7989669926858644,0.486859859797373,0.796804325382408,0.7989669926858644,0.9991728559934759,0.9995847176079734,0.0004152823920265781,Macro average across four frozen temporal validation folds.
