entity,k,silhouette,min_cluster_share,valid,selected
lead,3,0.7838654076457431,0.011096014492753624,False,True
lead,4,0.7485210213739586,0.0038496376811594205,False,False
lead,5,0.7007809959440121,0.0038496376811594205,False,False
lead,6,0.7304069812695946,0.002717391304347826,False,False
lead,7,0.731312082833427,0.0006793478260869565,False,False
lead,8,0.7308245222737108,0.0006793478260869565,False,False
spot,3,0.628499445017999,0.0058309037900874635,False,False
spot,4,0.6377186202808046,0.00510204081632653,False,True
spot,5,0.6207626603953628,0.0007288629737609329,False,False
spot,6,0.5072475458449053,0.0007288629737609329,False,False
spot,7,0.3679401418352615,0.0007288629737609329,False,False
spot,8,0.28845229562861674,0.0007288629737609329,False,False
broker,3,0.10200896562854252,0.03666666666666667,True,True
broker,4,0.09016690164517072,0.03333333333333333,True,False
broker,5,0.075235072186462,0.03333333333333333,True,False
broker,6,0.08235823187963502,0.006666666666666667,False,False
broker,7,0.07811173034468602,0.006666666666666667,False,False
broker,8,0.08842625439871775,0.006666666666666667,False,False
