prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
L1043:T1:I4708,1043,T1,2025-11-14T07:37:51.000Z,4708,1300,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,financial,Industrial,both,779.2,86356.65,117890.16,15544197.21,21237534.27,CDMX,Benito Juárez,del-valle-narvarte,social,web,100,813.2,100323.95,15730070.91,25,false,0,0,0,,,0,,,true,3,,basic,0,3,8.8,31,fair,concrete,"[""kitchen"", ""conference_room"", ""loading_dock""]"
L1043:T2:I4709,1043,T2,2025-11-14T14:10:59.000Z,4709,1038,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,financial,Industrial,both,779.2,86356.65,117890.16,15544197.21,21237534.27,CDMX,Benito Juárez,del-valle-narvarte,social,web,389,1007.1,107074.15,18333664.88,32,false,1,1,0,0,100,1,25,2025-11-14T07:37:51.000Z,true,0,0,none,11,11,6.7,67,good,concrete,[]
L1043:T2:I4707,1043,T2,2025-11-20T20:23:20.000Z,4707,2113,3,ELIGIBLE,POSITIVE,1,true,tenant_direct,large,financial,Industrial,both,779.2,86356.65,117890.16,15544197.21,21237534.27,CDMX,Benito Juárez,del-valle-narvarte,social,email,397,1917.2,94897.79,20420370.97,54,false,2,2,0,0,244.5,2,28.5,2025-11-14T14:10:59.000Z,true,7,,basic,3,14,7.4,131,needs_renovation,ceramic,[]
L1043:T2:I4705,1043,T2,2025-11-21T17:37:14.000Z,4705,2062,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,financial,Industrial,both,779.2,86356.65,117890.16,15544197.21,21237534.27,CDMX,Benito Juárez,del-valle-narvarte,social,phone,105,725.0,109616.96,21237534.27,19,false,3,3,0,0,295.3333333333333,3,37,2025-11-20T20:23:20.000Z,false,0,0,basic,0,4,8.6,47,good,concrete,[]
L1044:T0,1044,T0,2025-11-03T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,enterprise,retail,Office,rent,702.8,196996.89,233825.35,,,Baja California,Tijuana,zona-rio-aguacaliente,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L1044:T1:I4715,1044,T1,2025-11-03T07:17:45.000Z,4715,1639,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,enterprise,retail,Office,rent,702.8,196996.89,233825.35,,,Baja California,Tijuana,zona-rio-aguacaliente,email,whatsapp,170,676.2,200506.65,,67,false,0,0,0,,,0,,,true,23,4,full,0,1,2.7,14,good,concrete,"[""gym""]"
L1045:T0,1045,T0,2025-11-24T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,medium,logistics,Retail,sale,1827.6,,,72551971.84,91288468.26,San Luis Potosí,San Luis Potosí,,referral,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L1045:T1:I4719,1045,T1,2025-11-29T08:22:19.000Z,4719,2931,1,ELIGIBLE,NEGATIVE,0,true,broker,medium,logistics,Retail,sale,1827.6,,,72551971.84,91288468.26,San Luis Potosí,San Luis Potosí,,referral,app,254,100.0,,91288468.26,,true,0,0,0,,,0,,,true,0,0,basic,0,1,,1,good,wood,"[""reception"", ""gym"", ""meeting_rooms""]"
L1045:T2:I4718,1045,T2,2025-12-06T14:33:37.000Z,4718,85,2,ELIGIBLE,NEGATIVE,0,true,broker,medium,logistics,Retail,sale,1827.6,,,72551971.84,91288468.26,San Luis Potosí,San Luis Potosí,,referral,app,302,1747.1,,76750295.18,,true,1,1,1,1,254,0,,2025-11-29T08:22:19.000Z,true,34,1,basic,4,9,0.0,0,fair,wood,[]
L1045:T2:I4717,1045,T2,2026-01-17T09:24:00.000Z,4717,235,3,ELIGIBLE,POSITIVE,1,true,broker,medium,logistics,Retail,sale,1827.6,,,72551971.84,91288468.26,San Luis Potosí,San Luis Potosí,,referral,web,202,601.5,,81754810.81,76,false,2,2,2,1,278,0,,2025-12-06T14:33:37.000Z,false,0,0,none,0,1,3.4,6,new,ceramic,"[""lounge"", ""meeting_rooms"", ""storage""]"
L1047:T0,1047,T0,2025-09-23T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Office,rent,266.3,82053.37,92415.25,,,CDMX,Miguel Hidalgo,polanco,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L1047:T1:I4726,1047,T1,2025-09-26T09:47:14.000Z,4726,1172,1,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Office,rent,266.3,82053.37,92415.25,,,CDMX,Miguel Hidalgo,polanco,organic,app,333,248.5,68088.28,,,false,0,0,0,,,0,,,false,0,14,basic,3,4,,2,fair,concrete,"[""kitchen"", ""reception"", ""rooftop""]"
L1047:T2:I4724,1047,T2,2025-09-26T12:07:00.000Z,4724,2734,2,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Office,rent,266.3,82053.37,92415.25,,,CDMX,Miguel Hidalgo,polanco,organic,whatsapp,238,294.7,66079.96,,17,false,1,1,0,0,333,0,,2025-09-26T09:47:14.000Z,false,12,0,none,6,2,,5,good,ceramic,[]
L1047:T2:I4725,1047,T2,2025-09-28T10:45:31.000Z,4725,2583,3,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Office,rent,266.3,82053.37,92415.25,,,CDMX,Miguel Hidalgo,polanco,organic,whatsapp,286,352.6,81323.92,,39,false,2,2,0,0,285.5,1,17,2025-09-26T12:07:00.000Z,true,28,5,cctv,0,3,3.0,49,fair,concrete,"[""gym"", ""conference_room"", ""loading_dock""]"
L1047:T2:I4727,1047,T2,2025-09-29T09:57:10.000Z,4727,887,4,ELIGIBLE,NEGATIVE,0,true,broker,medium,healthcare,Office,rent,266.3,82053.37,92415.25,,,CDMX,Miguel Hidalgo,polanco,organic,whatsapp,259,273.4,87176.74,,,false,3,3,0,0,285.6666666666667,2,28,2025-09-28T10:45:31.000Z,true,22,,basic,2,1,2.8,7,fair,concrete,[]
L1048:T0,1048,T0,2026-01-05T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Office,sale,429.3,,,22587257.41,30812553.55,Nuevo León,Monterrey,,social,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L1048:T1:I4730,1048,T1,2026-01-06T18:44:39.000Z,4730,1380,1,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Office,sale,429.3,,,22587257.41,30812553.55,Nuevo León,Monterrey,,social,web,151,329.1,,25532876.3,,false,0,0,0,,,0,,,true,4,,cctv,10,5,3.5,27,fair,concrete,[]
L1048:T2:I4732,1048,T2,2026-01-07T10:49:26.000Z,4732,2281,2,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Office,sale,429.3,,,22587257.41,30812553.55,Nuevo León,Monterrey,,social,email,363,477.0,,23070759.13,80,false,1,1,0,0,151,0,,2026-01-06T18:44:39.000Z,false,0,,basic,2,1,4.7,22,fair,concrete,"[""reception""]"
L1048:T2:I4728,1048,T2,2026-01-11T18:27:44.000Z,4728,1983,3,ELIGIBLE,NEGATIVE,0,true,investor,small,retail,Office,sale,429.3,,,22587257.41,30812553.55,Nuevo León,Monterrey,,social,web,327,396.7,,30812553.55,,true,2,2,0,0,257,1,80,2026-01-07T10:49:26.000Z,false,0,0,basic,0,1,3.3,9,good,polished_concrete,[]
