prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
L2075:T0,2075,T0,2025-03-24T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L2075:T1:I9373,2075,T1,2025-03-29T09:25:50.000Z,9373,1225,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,app,557,1800.5,,85663566.58,54,false,0,0,0,,,0,,,true,0,0,cctv,0,3,3.5,21,fair,ceramic,[]
L2075:T2:I9370,2075,T2,2025-04-11T09:39:00.000Z,9370,1208,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,email,140,1825.6,,99614491.88,,false,1,1,0,0,557,1,54,2025-03-29T09:25:50.000Z,true,0,0,basic,3,2,2.1,28,good,concrete,"[""gym"", ""reception""]"
L2075:T2:I9372,2075,T2,2025-11-18T09:06:00.000Z,9372,1238,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,app,241,1176.0,,80133326.17,174,false,2,2,0,0,348.5,1,54,2025-04-11T09:39:00.000Z,true,1,0,cctv,0,1,3.9,15,good,ceramic,[]
L2075:T2:I9374,2075,T2,2025-11-22T15:29:00.000Z,9374,1448,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,web,184,174.0,,83589094.84,297,false,3,3,0,0,312.6666666666667,2,114,2025-11-18T09:06:00.000Z,true,0,3,full,23,8,3.2,2,fair,ceramic,"[""meeting_rooms"", ""conference_room"", ""storage"", ""security_booth""]"
L2075:T2:I9371,2075,T2,2026-01-24T07:35:00.000Z,9371,1803,5,ELIGIBLE,NEGATIVE,0,true,tenant_direct,large,manufacturing,Office,sale,1494.7,,,79930891.39,106629567.58,Querétaro,Querétaro,,email,email,184,795.0,,86599215.87,74,false,4,4,0,0,280.5,3,175,2025-11-22T15:29:00.000Z,true,0,10,basic,0,2,4.0,7,good,carpet,"[""lounge""]"
L2076:T0,2076,T0,2025-05-21T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L2076:T1:I9378,2076,T1,2025-05-24T07:10:08.000Z,9378,2583,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,email,149,310.1,257033.51,,69,true,0,0,0,,,0,,,true,28,5,cctv,0,3,3.0,49,fair,concrete,"[""gym"", ""conference_room"", ""loading_dock""]"
L2076:T2:I9380,2076,T2,2025-05-25T13:42:36.000Z,9380,2172,2,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,email,145,273.3,288472.12,,253,true,1,1,1,1,149,1,69,2025-05-24T07:10:08.000Z,true,15,5,full,0,3,3.0,12,good,ceramic,"[""parking"", ""kitchen""]"
L2076:T2:I9379,2076,T2,2025-05-27T17:43:45.000Z,9379,58,3,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,app,102,794.7,276947.23,,4,false,2,2,2,1,147,2,161,2025-05-25T13:42:36.000Z,false,29,0,full,0,6,,53,good,concrete,"[""conference_room"", ""kitchen"", ""security_booth""]"
L2076:T2:I9376,2076,T2,2025-07-23T08:46:00.000Z,9376,936,4,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,app,114,3897.8,262039.02,,,false,3,3,2,0.6666666666666666,132,3,108.66666666666667,2025-05-27T17:43:45.000Z,false,0,5,basic,10,29,8.5,263,good,concrete,"[""kitchen"", ""reception"", ""rooftop""]"
L2076:T2:I9375,2076,T2,2025-11-17T14:32:00.000Z,9375,2446,5,ELIGIBLE,NEGATIVE,0,true,tenant_direct,medium,other,Office,rent,287.1,70941.93,288472.12,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,web,267,270.3,270906.9,,,false,4,4,2,0.5,127.5,3,108.66666666666667,2025-07-23T08:46:00.000Z,true,28,0,cctv,6,3,2.1,17,good,wood,"[""loading_dock""]"
