prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number,stage_eligibility,target_status,target_value,current_spot_existed_at_score_time,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,hist_prior_inquiry_count,hist_prior_unique_spots,hist_prior_asked_visit_count,hist_prior_asked_visit_rate,hist_prior_message_length_mean,hist_prior_urgency_known_count,hist_prior_urgency_days_mean,hist_max_inquiry_time,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
L3070:T1:I13964,3070,T1,2026-04-18T17:18:46.000Z,13964,1260,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,logistics,Office,sale,274.4,,,13712806.7,19501188.9,Estado de México,Toluca,,event,web,145,350.0,,19501188.9,,false,0,0,0,,,0,,,true,11,0,cctv,0,0,3.3,7,good,ceramic,[]
L3070:T2:I13962,3070,T2,2026-04-19T14:11:47.000Z,13962,1687,2,ELIGIBLE,POSITIVE,1,true,tenant_direct,enterprise,logistics,Office,sale,274.4,,,13712806.7,19501188.9,Estado de México,Toluca,,event,email,250,150.0,,15128252.82,68,false,1,1,0,0,145,0,,2026-04-18T17:18:46.000Z,true,0,0,basic,0,1,3.1,3,new,concrete,"[""meeting_rooms"", ""security_booth""]"
L3071:T0,3071,T0,2025-09-08T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,medium,logistics,Retail,sale,93.2,,,4363415.35,5570804.8,CDMX,Cuauhtémoc,roma-condesa,event,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3071:T1:I13966,3071,T1,2025-09-17T13:11:11.000Z,13966,1099,1,ELIGIBLE,NEGATIVE,0,true,broker,medium,logistics,Retail,sale,93.2,,,4363415.35,5570804.8,CDMX,Cuauhtémoc,roma-condesa,event,whatsapp,178,83.6,,4886009.65,325,true,0,0,0,,,0,,,false,5,9,basic,0,1,4.1,2,fair,ceramic,"[""reception"", ""rooftop"", ""lounge""]"
L3071:T2:I13967,3071,T2,2026-02-28T09:58:00.000Z,13967,962,2,ELIGIBLE,POSITIVE,1,true,broker,medium,logistics,Retail,sale,93.2,,,4363415.35,5570804.8,CDMX,Cuauhtémoc,roma-condesa,event,whatsapp,136,273.9,,5470073.46,176,true,1,1,1,1,178,1,325,2025-09-17T13:11:11.000Z,false,0,0,none,0,2,3.0,31,new,,"[""reception""]"
L3072:T0,3072,T0,2025-06-27T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,developer,medium,technology,Land,both,185.5,6777.67,9317.04,1219979.71,1761005.53,Estado de México,Toluca,metepec-toluca,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3072:T1:I13968,3072,T1,2025-07-04T15:25:14.000Z,13968,2060,1,ELIGIBLE,POSITIVE,1,true,developer,medium,technology,Land,both,185.5,6777.67,9317.04,1219979.71,1761005.53,Estado de México,Toluca,metepec-toluca,paid,whatsapp,161,2903.0,7443.53,1761005.53,113,false,0,0,0,,,0,,,true,0,0,basic,0,19,8.5,193,needs_renovation,polished_concrete,[]
L3073:T0,3073,T0,2025-07-17T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,investor,small,manufacturing,Office,rent,164.3,40848.13,57228.82,,,Guanajuato,León,centro-leon,referral,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3073:T1:I13973,3073,T1,2025-07-22T14:21:00.000Z,13973,2521,1,ELIGIBLE,NEGATIVE,0,true,investor,small,manufacturing,Office,rent,164.3,40848.13,57228.82,,,Guanajuato,León,centro-leon,referral,phone,184,146.4,57228.82,,,false,0,0,0,,,0,,,true,3,0,none,8,4,3.8,25,needs_renovation,polished_concrete,"[""conference_room"", ""lounge""]"
L3073:T2:I13972,3073,T2,2025-07-24T09:19:24.000Z,13972,108,2,ELIGIBLE,NEGATIVE,0,true,investor,small,manufacturing,Office,rent,164.3,40848.13,57228.82,,,Guanajuato,León,centro-leon,referral,whatsapp,191,2755.1,54262.57,,223,false,1,1,0,0,184,0,,2025-07-22T14:21:00.000Z,false,8,0,basic,0,19,8.5,184,good,ceramic,"[""reception""]"
L3073:T2:I13974,3073,T2,2025-07-25T13:03:33.000Z,13974,1398,3,ELIGIBLE,NEGATIVE,0,true,investor,small,manufacturing,Office,rent,164.3,40848.13,57228.82,,,Guanajuato,León,centro-leon,referral,whatsapp,145,184.9,40292.85,,,false,2,2,0,0,187.5,1,223,2025-07-24T09:19:24.000Z,true,35,0,full,2,1,2.6,6,good,ceramic,[]
L3073:T2:I13976,3073,T2,2025-07-28T10:01:40.000Z,13976,218,4,ELIGIBLE,POSITIVE,1,true,investor,small,manufacturing,Office,rent,164.3,40848.13,57228.82,,,Guanajuato,León,centro-leon,referral,app,129,416.6,57228.82,,6,false,3,3,0,0,173.33333333333334,1,223,2025-07-25T13:03:33.000Z,true,7,0,cctv,0,3,2.6,72,needs_renovation,concrete,"[""rooftop""]"
L3074:T0,3074,T0,2026-02-26T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,retail,Office,rent,186.1,45662.53,50544.16,,,Chihuahua,Chihuahua,,organic,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3074:T1:I13978,3074,T1,2026-03-01T18:06:07.000Z,13978,1283,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,medium,retail,Office,rent,186.1,45662.53,50544.16,,,Chihuahua,Chihuahua,,organic,app,286,173.1,41840.74,,236,false,0,0,0,,,0,,,true,8,0,cctv,3,3,,25,fair,wood,[]
L3075:T0,3075,T0,2025-02-03T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,investor,enterprise,technology,Office,rent,997.3,278891.5,375709.68,,,Chihuahua,Chihuahua,centro-chihuahua,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3075:T1:I13979,3075,T1,2025-02-12T18:32:52.000Z,13979,1590,1,ELIGIBLE,NEGATIVE,0,true,investor,enterprise,technology,Office,rent,997.3,278891.5,375709.68,,,Chihuahua,Chihuahua,centro-chihuahua,paid,web,261,1137.8,345477.83,,51,false,0,0,0,,,0,,,true,18,5,basic,0,7,,76,good,concrete,[]
L3075:T2:I13982,3075,T2,2025-02-12T20:29:34.000Z,13982,284,2,ELIGIBLE,NEGATIVE,0,true,investor,enterprise,technology,Office,rent,997.3,278891.5,375709.68,,,Chihuahua,Chihuahua,centro-chihuahua,paid,app,388,806.5,349959.17,,,false,1,1,0,0,261,1,51,2025-02-12T18:32:52.000Z,true,0,2,none,5,2,3.0,9,good,ceramic,"[""storage"", ""rooftop""]"
L3075:T2:I13981,3075,T2,2026-02-28T20:04:00.000Z,13981,190,3,ELIGIBLE,NEGATIVE,0,true,investor,enterprise,technology,Office,rent,997.3,278891.5,375709.68,,,Chihuahua,Chihuahua,centro-chihuahua,paid,whatsapp,193,3007.8,372045.87,,56,false,2,2,0,0,324.5,1,51,2025-02-12T20:29:34.000Z,true,2,0,cctv,0,21,2.3,503,good,concrete,[]
L3075:T2:I13980,3075,T2,2026-04-05T16:00:00.000Z,13980,1500,4,ELIGIBLE,NEGATIVE,0,true,investor,enterprise,technology,Office,rent,997.3,278891.5,375709.68,,,Chihuahua,Chihuahua,centro-chihuahua,paid,whatsapp,347,150.0,266879.85,,61,false,3,3,0,0,280.6666666666667,2,53.5,2026-02-28T20:04:00.000Z,true,0,1,basic,21,7,3.9,4,new,ceramic,"[""conference_room""]"
L3076:T1:I13987,3076,T1,2026-06-20T12:05:23.000Z,13987,372,1,ELIGIBLE,NEGATIVE,0,true,investor,medium,healthcare,Retail,both,559.7,144996.98,183665.8,26099455.87,38615824.56,Yucatán,Mérida,paseo-montejo,referral,web,329,100.0,183665.8,30569201.61,235,false,0,0,0,,,0,,,false,14,0,basic,9,4,4.9,0,needs_renovation,concrete,"[""meeting_rooms""]"
L3076:T2:I13986,3076,T2,2026-06-20T14:27:20.000Z,13986,2265,2,ELIGIBLE,NEGATIVE,0,true,investor,medium,healthcare,Retail,both,559.7,144996.98,183665.8,26099455.87,38615824.56,Yucatán,Mérida,paseo-montejo,referral,whatsapp,165,530.8,176947.46,28325684.5,66,true,1,1,0,0,329,1,235,2026-06-20T12:05:23.000Z,true,0,3,basic,3,2,3.7,23,fair,concrete,"[""cafeteria"", ""loading_dock"", ""meeting_rooms"", ""storage""]"
L3076:T2:I13984,3076,T2,2026-06-23T14:40:34.000Z,13984,474,3,ELIGIBLE,NEGATIVE,0,true,investor,medium,healthcare,Retail,both,559.7,144996.98,183665.8,26099455.87,38615824.56,Yucatán,Mérida,paseo-montejo,referral,app,124,870.9,170237.73,38615824.56,45,false,2,2,1,0.5,247,2,150.5,2026-06-20T14:27:20.000Z,false,0,0,full,0,7,0.0,2,new,wood,[]
L3076:T2:I13985,3076,T2,2026-06-23T16:33:17.000Z,13985,486,4,ELIGIBLE,NEGATIVE,0,true,investor,medium,healthcare,Retail,both,559.7,144996.98,183665.8,26099455.87,38615824.56,Yucatán,Mérida,paseo-montejo,referral,email,173,527.0,167180.31,30458547.56,,false,3,3,1,0.3333333333333333,206,3,115.33333333333333,2026-06-23T14:40:34.000Z,true,0,0,cctv,0,0,3.9,4,good,concrete,[]
L3077:T0,3077,T0,2025-06-10T00:00:00.000Z,,,0,ELIGIBLE,NEGATIVE,0,true,broker,small,manufacturing,Office,both,769.7,224720.76,326755.56,40449736.87,57272470.02,Baja California,Tijuana,zona-rio-aguacaliente,paid,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3077:T1:I13989,3077,T1,2026-03-12T11:41:00.000Z,13989,2282,1,ELIGIBLE,NEGATIVE,0,true,broker,small,manufacturing,Office,both,769.7,224720.76,326755.56,40449736.87,57272470.02,Baja California,Tijuana,zona-rio-aguacaliente,paid,web,218,765.6,326755.56,57272470.02,346,false,0,0,0,,,0,,,false,25,,cctv,0,5,,32,needs_renovation,ceramic,"[""lounge"", ""loading_dock"", ""gym""]"
L3078:T1:I13995,3078,T1,2026-06-22T16:49:51.000Z,13995,2568,1,ELIGIBLE,POSITIVE,1,true,tenant_direct,small,financial,Office,both,558.7,175628.29,259489.56,31613092.83,47092180.73,Sonora,Hermosillo,,organic,whatsapp,121,581.0,259489.56,34416058.49,25,false,0,0,0,,,0,,,false,4,0,basic,0,1,2.9,7,good,carpet,[]
L3079:T0,3079,T0,2025-05-23T00:00:00.000Z,,,0,ELIGIBLE,POSITIVE,1,true,tenant_direct,enterprise,financial,Industrial,rent,836.3,103115.36,137504.24,,,Querétaro,Querétaro,juriquilla-juncos,social,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,
L3079:T1:I14001,3079,T1,2025-05-30T15:32:14.000Z,14001,163,1,ELIGIBLE,NEGATIVE,0,true,tenant_direct,enterprise,financial,Industrial,rent,836.3,103115.36,137504.24,,,Querétaro,Querétaro,juriquilla-juncos,social,web,132,967.6,133677.45,,230,false,0,0,0,,,0,,,false,2,,none,0,6,5.0,49,new,polished_concrete,[]
