lead_month,n_leads,inquiries_per_lead,inquiries_within_30d_per_lead,median_first_inquiry_lag_days,scheduled_visit_proxy_30d
2025-01,293,4.750853242320819,1.3651877133105803,7.818425925925926,0.20136518771331058
2025-02,261,4.352490421455939,1.4942528735632183,7.357384259259259,0.21839080459770116
2025-03,237,4.459915611814346,1.6877637130801688,6.537476851851852,0.3080168776371308
2025-04,270,4.488888888888889,1.9444444444444444,5.83291087962963,0.3814814814814815
2025-05,302,4.662251655629139,2.162251655629139,4.826446759259259,0.36423841059602646
2025-06,297,4.6632996632996635,2.4444444444444446,3.770798611111111,0.367003367003367
2025-07,266,4.68796992481203,2.6503759398496243,3.789681712962963,0.37218045112781956
2025-08,263,4.619771863117871,2.7490494296577945,4.439444444444445,0.42585551330798477
2025-09,271,4.487084870848708,2.837638376383764,3.5044675925925928,0.4317343173431734
2025-10,315,4.463492063492064,3.066666666666667,3.5519444444444446,0.41904761904761906
2025-11,257,4.416342412451362,3.1011673151750974,2.7775,0.41245136186770426
2025-12,312,4.631410256410256,3.548076923076923,3.320885416666667,0.46153846153846156
2026-01,298,4.543624161073826,3.6308724832214767,3.319913194444444,0.5201342281879194
2026-02,253,4.549407114624506,3.9762845849802373,2.584074074074074,0.5335968379446641
2026-03,277,4.505415162454874,4.0324909747292415,2.7584837962962965,0.5342960288808665
2026-04,262,4.2251908396946565,3.969465648854962,2.50828125,0.5267175572519084
2026-05,281,4.2811387900355875,4.199288256227758,2.568460648148148,0.5765124555160143
2026-06,285,4.417543859649123,4.417543859649123,2.307164351851852,0.5649122807017544
