entity,group,feature,n,median,p99,max,raw_outlier_rate,log_outlier_rate
lead,search_sector=Retail | search_modality=sale,prior_searches,469,3.0,58.31999999999999,60.0,0.15565031982942432,0.0
lead,search_sector=Land | search_modality=both,prior_searches,164,3.0,53.370000000000005,55.0,0.1524390243902439,0.0
lead,search_sector=Retail | search_modality=both,prior_inquiries,301,1.0,144.0,188.0,0.14950166112956811,0.025157232704402517
lead,search_sector=Office | search_modality=both,prior_inquiries,282,2.0,161.65999999999997,185.0,0.14893617021276595,0.0
lead,search_sector=Industrial | search_modality=sale,prior_searches,378,3.0,56.23000000000002,59.0,0.14814814814814814,0.0
lead,search_sector=Land | search_modality=sale,prior_inquiries,213,1.0,101.91999999999996,197.0,0.14553990610328638,0.01834862385321101
lead,search_sector=Office | search_modality=rent,prior_inquiries,738,2.0,149.14999999999998,197.0,0.14498644986449866,0.0
lead,search_sector=Industrial | search_modality=sale,prior_inquiries,378,2.0,108.76000000000022,165.0,0.14285714285714285,0.017777777777777778
lead,search_sector=Retail | search_modality=sale,prior_inquiries,469,1.0,95.0,199.0,0.13859275053304904,0.007722007722007722
lead,search_sector=Industrial | search_modality=both,prior_inquiries,260,1.0,137.3200000000013,188.0,0.13846153846153847,0.02142857142857143
lead,search_sector=Retail | search_modality=rent,prior_searches,758,2.0,58.0,60.0,0.13720316622691292,0.0
lead,search_sector=Industrial | search_modality=both,prior_searches,260,2.0,59.0,60.0,0.13076923076923078,0.0
lead,search_sector=Retail | search_modality=rent,prior_inquiries,758,1.5,130.0399999999986,196.0,0.13060686015831136,0.018691588785046728
lead,search_sector=Industrial | search_modality=rent,prior_inquiries,611,1.0,156.79999999999995,197.0,0.12929623567921442,0.026392961876832845
lead,search_sector=Office | search_modality=both,prior_searches,282,3.0,57.0,60.0,0.1276595744680851,0.04975124378109453
lead,search_sector=Office | search_modality=rent,prior_searches,738,2.0,57.0,59.0,0.12601626016260162,0.0
lead,search_sector=Industrial | search_modality=rent,prior_searches,611,2.0,55.0,60.0,0.12274959083469722,0.0
lead,search_sector=Office | search_modality=sale,prior_inquiries,430,2.0,164.38999999999982,190.0,0.12093023255813953,0.03614457831325301
lead,search_sector=Office | search_modality=sale,prior_searches,430,2.0,54.25999999999988,59.0,0.11627906976744186,0.0
lead,search_sector=Retail | search_modality=both,prior_searches,301,2.0,53.0,60.0,0.11295681063122924,0.004975124378109453
lead,search_sector=Land | search_modality=rent,prior_inquiries,396,1.0,100.00000000000023,183.0,0.10858585858585859,0.014492753623188406
lead,search_sector=Land | search_modality=rent,prior_searches,396,2.0,56.05000000000001,59.0,0.10353535353535354,0.0
lead,search_sector=Land | search_modality=sale,prior_searches,213,2.0,55.51999999999998,58.0,0.09859154929577464,0.0
lead,search_sector=Retail | search_modality=both,max_budget_mxn_sale_total,301,22412440.21,143824099.46,255325533.48,0.08970099667774087,0.013289036544850499
lead,search_sector=Land | search_modality=both,prior_inquiries,164,1.0,120.99000000000012,180.0,0.08536585365853659,0.10344827586206896
lead,search_sector=Office | search_modality=sale,max_budget_mxn_sale_total,430,24674324.17,206958418.56999978,364068584.9,0.08372093023255814,0.01627906976744186
lead,search_sector=Office | search_modality=sale,target_area_sqm,430,376.2,6682.571999999986,9134.9,0.08139534883720931,0.023255813953488372
lead,search_sector=Retail | search_modality=rent,target_area_sqm,758,388.9,8626.563999999997,9961.5,0.08047493403693931,0.0395778364116095
lead,search_sector=Retail | search_modality=both,target_area_sqm,301,397.9,6811.0,9786.1,0.07973421926910298,0.019933554817275746
lead,search_sector=Retail | search_modality=rent,max_budget_mxn_rent_monthly,758,121181.035,992019.0171999991,2331986.55,0.07651715039577836,0.018469656992084433
lead,search_sector=Land | search_modality=rent,max_budget_mxn_rent_monthly,396,21069.675000000003,157544.96550000022,407732.51,0.07323232323232323,0.010101010101010102
lead,search_sector=Retail | search_modality=both,max_budget_mxn_rent_monthly,301,121840.94,595075.92,905251.86,0.07308970099667775,0.0033222591362126247
lead,search_sector=Industrial | search_modality=rent,target_area_sqm,611,403.8,8290.599999999991,9708.4,0.07201309328968904,0.029459901800327332
lead,search_sector=Retail | search_modality=sale,target_area_sqm,469,414.4,8083.903999999997,9850.4,0.07036247334754797,0.023454157782515993
lead,search_sector=Retail | search_modality=sale,max_budget_mxn_sale_total,469,23529049.03,145301909.6015998,385519956.28,0.07036247334754797,0.014925373134328358
lead,search_sector=Retail | search_modality=both,min_budget_mxn_sale_total,287,16167270.21,88216165.69919991,122111173.05,0.06968641114982578,0.006968641114982578
lead,search_sector=Office | search_modality=rent,target_area_sqm,738,384.4,7989.099,9940.4,0.06910569105691057,0.025745257452574527
lead,search_sector=Office | search_modality=sale,min_budget_mxn_sale_total,412,18977489.740000002,98512903.72479993,124540633.25,0.06796116504854369,0.0024271844660194173
lead,search_sector=Industrial | search_modality=sale,min_budget_mxn_sale_total,372,8682177.690000001,47950154.19250001,56725436.07,0.06720430107526881,0.024193548387096774
lead,search_sector=Industrial | search_modality=sale,target_area_sqm,378,419.0,7831.584000000004,9423.2,0.06613756613756613,0.047619047619047616
lead,search_sector=Industrial | search_modality=sale,max_budget_mxn_sale_total,378,11739090.155000001,81603634.80760004,255825742.87,0.06613756613756613,0.021164021164021163
lead,search_sector=Land | search_modality=rent,target_area_sqm,396,388.4,3953.5300000000007,8920.2,0.06565656565656566,0.012626262626262626
lead,search_sector=Industrial | search_modality=rent,max_budget_mxn_rent_monthly,611,63625.09,370709.71899999987,1027432.8,0.06546644844517185,0.004909983633387889
lead,search_sector=Land | search_modality=both,min_budget_mxn_sale_total,158,2750174.7199999997,10430961.840300003,12589695.6,0.06329113924050633,0.0
lead,search_sector=Land | search_modality=rent,min_budget_mxn_rent_monthly,381,15125.26,106050.58399999983,158882.88,0.06299212598425197,0.005249343832020997
lead,search_sector=Office | search_modality=rent,max_budget_mxn_rent_monthly,738,139641.08500000002,1096743.9660999994,3141759.69,0.06233062330623306,0.01084010840108401
lead,search_sector=Retail | search_modality=both,min_budget_mxn_rent_monthly,292,90799.98000000001,488275.04889999906,678395.41,0.06164383561643835,0.003424657534246575
lead,search_sector=Industrial | search_modality=both,max_budget_mxn_sale_total,260,10798050.42,89800784.62520047,152564042.32,0.06153846153846154,0.015384615384615385
lead,search_sector=Land | search_modality=sale,target_area_sqm,213,385.3,6231.683999999981,8669.0,0.06103286384976526,0.014084507042253521
lead,search_sector=Land | search_modality=both,target_area_sqm,164,390.75,1616.6630000000002,2439.9,0.06097560975609756,0.006097560975609756
lead,search_sector=Land | search_modality=both,max_budget_mxn_sale_total,164,3827500.625,17930555.812300026,43973123.85,0.06097560975609756,0.006097560975609756
lead,search_sector=Retail | search_modality=rent,min_budget_mxn_rent_monthly,733,90171.45,449172.49679999985,686493.43,0.06002728512960437,0.010914051841746248
lead,search_sector=Office | search_modality=rent,min_budget_mxn_rent_monthly,720,101418.6,569367.4385999975,2206712.28,0.058333333333333334,0.002777777777777778
lead,search_sector=Retail | search_modality=sale,min_budget_mxn_sale_total,454,17769089.259999998,80990535.6071,107048747.49,0.05726872246696035,0.006607929515418502
lead,search_sector=Land | search_modality=both,min_budget_mxn_rent_monthly,158,15691.54,68148.76050000002,92890.07,0.056962025316455694,0.0
lead,search_sector=Office | search_modality=both,max_budget_mxn_rent_monthly,282,139749.32,632646.8711999999,1372971.49,0.05673758865248227,0.0035460992907801418
lead,search_sector=Land | search_modality=sale,max_budget_mxn_sale_total,213,3626075.24,24241853.259199996,55981531.14,0.056338028169014086,0.004694835680751174
lead,search_sector=Industrial | search_modality=rent,min_budget_mxn_rent_monthly,587,48567.43,209526.27899999992,308721.24,0.056218057921635436,0.0034071550255536627
lead,search_sector=Industrial | search_modality=both,target_area_sqm,260,387.4,2218.4460000000036,5190.0,0.05384615384615385,0.011538461538461539
lead,search_sector=Industrial | search_modality=both,max_budget_mxn_rent_monthly,260,59189.575,280078.60230000014,650187.4,0.05,0.007692307692307693
lead,search_sector=Land | search_modality=sale,min_budget_mxn_sale_total,202,2686568.12,12561505.162700005,18588520.3,0.04950495049504951,0.0
lead,search_sector=Land | search_modality=both,max_budget_mxn_rent_monthly,164,20450.085,88265.19060000002,108048.19,0.04878048780487805,0.0
lead,search_sector=Office | search_modality=both,max_budget_mxn_sale_total,282,23718316.439999998,110050041.10499997,126552927.11,0.04609929078014184,0.0
lead,search_sector=Office | search_modality=both,min_budget_mxn_rent_monthly,270,101788.39499999999,429083.7627,506616.18,0.044444444444444446,0.0
lead,search_sector=Office | search_modality=both,min_budget_mxn_sale_total,271,17979189.18,77228241.04100001,91190913.08,0.04428044280442804,0.0
lead,search_sector=Industrial | search_modality=both,min_budget_mxn_rent_monthly,251,44834.76,207074.99,248565.19,0.043824701195219126,0.00398406374501992
lead,search_sector=Industrial | search_modality=both,min_budget_mxn_sale_total,251,8056828.81,37273497.92,44741735.05,0.043824701195219126,0.00398406374501992
lead,search_sector=Office | search_modality=both,target_area_sqm,282,355.0,5568.8730000000005,8227.2,0.0425531914893617,0.014184397163120567
spot,sector_name=Retail | modality=sale,floor_level,176,1.0,28.25,30.0,0.17613636363636365,0.0
spot,sector_name=Industrial | modality=rent,floor_level,368,0.0,28.329999999999984,30.0,0.17119565217391305,0.0
spot,sector_name=Retail | modality=rent,floor_level,266,1.0,27.350000000000023,30.0,0.16541353383458646,0.0
spot,sector_name=Land | modality=sale,floor_level,126,0.0,28.75,30.0,0.15079365079365079,0.0
spot,sector_name=Land | modality=rent,area_sqm,197,5418.2,80408.47999999994,136403.0,0.1218274111675127,0.0
spot,sector_name=Land | modality=rent,elevators,197,12.0,173.15999999999997,273.0,0.1218274111675127,0.005128205128205128
spot,sector_name=Office | modality=sale,floor_level,225,1.0,29.0,30.0,0.12,0.0
spot,sector_name=Land | modality=sale,parking_spaces,126,2.0,5.75,6.0,0.11904761904761904,0.0
spot,sector_name=Industrial | modality=both,floor_level,280,0.5,27.20999999999998,30.0,0.11785714285714285,0.0
spot,sector_name=Office | modality=rent,area_sqm,361,202.3,5902.079999999952,10952.3,0.11634349030470914,0.0110803324099723
spot,sector_name=Office | modality=rent,floor_level,361,0.0,25.799999999999955,30.0,0.11634349030470914,0.0
spot,sector_name=Retail | modality=both,maintenance_cost_mxn,301,2733.05,132700.07,148389.41,0.11627906976744186,0.006644518272425249
spot,sector_name=Land | modality=both,maintenance_cost_mxn,174,16382.185,407276.9253000003,669499.77,0.11494252873563218,0.0
spot,sector_name=Retail | modality=sale,area_sqm,176,97.44999999999999,1716.8,7046.7,0.11363636363636363,0.005681818181818182
spot,sector_name=Office | modality=rent,parking_spaces,361,11.0,296.7999999999977,549.0,0.11357340720221606,0.01662049861495845
spot,sector_name=Office | modality=both,area_sqm,292,187.10000000000002,7167.9539999999215,10481.9,0.11301369863013698,0.010273972602739725
spot,sector_name=Office | modality=both,parking_spaces,292,11.0,358.309999999996,527.0,0.11301369863013698,0.02054794520547945
spot,sector_name=Land | modality=rent,floor_level,197,0.0,28.079999999999984,30.0,0.1116751269035533,0.0
