inquiry_id,lead_id,spot_id,inquiry_at,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,broker_response,broker_response_hours,search_sector,search_modality,entity,anomaly_group,anomaly_score,isolation_forest_flag,anomaly_percentile_within_group,robust_deviation_explanation
11679,2569,2228,2026-01-20 13:54:17,app,229,11337.4,5226.67,911389.31,,True,scheduled_visit,16.0,Industrial,both,inquiry,search_sector=Industrial | search_modality=both,0.10210014832185932,True,1.0,requested_budget_mxn_rent_monthly=3.1 MAD; requested_budget_mxn_sale_total=3.0 MAD; requested_area_sqm=2.7 MAD
13190,2904,621,2025-05-26 13:03:25,app,40,84.1,8179.31,1567494.62,108.0,True,accepted,2.7,Industrial,both,inquiry,search_sector=Industrial | search_modality=both,0.09822442978552648,True,0.9991830065359477,message_length=3.2 MAD; requested_budget_mxn_rent_monthly=2.5 MAD; requested_budget_mxn_sale_total=2.3 MAD
21472,4748,1376,2025-01-29 12:42:58,web,38,777.5,,293869301.38,19.0,True,scheduled_visit,4.7,Office,sale,inquiry,search_sector=Office | search_modality=sale,0.09816390439201228,True,1.0,requested_budget_mxn_sale_total=3.5 MAD; message_length=3.2 MAD; urgency_days=2.5 MAD
19812,4364,62,2025-05-30 10:35:09,email,125,56.1,6298.68,,3.0,True,accepted,,Industrial,rent,inquiry,search_sector=Industrial | search_modality=rent,0.0963742311461272,True,1.0,urgency_days=5.7 MAD; requested_budget_mxn_rent_monthly=2.8 MAD; requested_area_sqm=2.5 MAD
4661,1032,1312,2025-11-17 09:46:00,whatsapp,967,6006.8,20461.82,4361950.33,15.0,True,scheduled_visit,,Retail,both,inquiry,search_sector=Retail | search_modality=both,0.09062233260215613,True,1.0,message_length=3.2 MAD; requested_area_sqm=3.0 MAD; urgency_days=2.6 MAD
2876,635,192,2026-05-08 13:36:03,web,63,4508.5,549723.17,,,True,accepted,0.9,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.089190236057475,True,1.0,requested_area_sqm=2.9 MAD; message_length=2.3 MAD; requested_budget_mxn_rent_monthly=2.3 MAD
17432,3836,171,2025-03-16 12:48:43,whatsapp,164,1041.0,2130227.99,,1.0,True,scheduled_visit,35.0,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.08572136022135912,True,0.9997002398081535,urgency_days=7.1 MAD; requested_budget_mxn_rent_monthly=4.1 MAD; requested_area_sqm=1.3 MAD
9713,2145,2577,2025-03-15 14:28:51,whatsapp,70,2501.6,766663.49,120557575.19,,True,no_response,,Retail,both,inquiry,search_sector=Retail | search_modality=both,0.08061214366417613,True,0.9992962702322308,requested_budget_mxn_rent_monthly=2.6 MAD; requested_budget_mxn_sale_total=2.5 MAD; message_length=2.2 MAD
768,177,2896,2026-04-23 14:23:02,email,366,20721.8,,364068584.9,,False,no_response,14.8,Office,sale,inquiry,search_sector=Office | search_modality=sale,0.08045998427910306,True,0.999474513925381,requested_area_sqm=4.5 MAD; requested_budget_mxn_sale_total=3.8 MAD; message_length=1.2 MAD
20069,4429,2584,2026-06-19 18:42:00,email,530,7009.8,25036.57,5899757.98,28.0,True,accepted,0.6,Office,both,inquiry,search_sector=Office | search_modality=both,0.07980895700015056,True,1.0,requested_area_sqm=3.3 MAD; message_length=2.0 MAD; requested_budget_mxn_rent_monthly=1.9 MAD
9087,2017,695,2025-12-11 14:03:00,whatsapp,69,3190.9,1209882.41,,295.0,True,accepted,1.3,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.07862109648947146,True,0.999400479616307,requested_budget_mxn_rent_monthly=3.3 MAD; urgency_days=2.6 MAD; requested_area_sqm=2.5 MAD
8147,1804,2892,2026-04-29 19:58:00,web,60,100.0,35372.82,,1.0,True,scheduled_visit,,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.07797884743613115,True,0.9991007194244604,urgency_days=7.1 MAD; message_length=2.4 MAD; requested_budget_mxn_rent_monthly=1.5 MAD
767,177,2650,2026-04-27 19:01:46,whatsapp,622,2899.2,,355444474.46,162.0,True,rejected,,Office,sale,inquiry,search_sector=Office | search_modality=sale,0.07709471105521648,True,0.998949027850762,requested_budget_mxn_sale_total=3.7 MAD; requested_area_sqm=2.3 MAD; message_length=2.2 MAD
17434,3836,1427,2025-09-12 19:12:00,whatsapp,165,9836.9,2089004.37,,5.0,False,accepted,2.1,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.07693711225208877,True,0.9988009592326139,urgency_days=5.0 MAD; requested_budget_mxn_rent_monthly=4.1 MAD; requested_area_sqm=3.7 MAD
12481,2743,177,2025-07-04 15:46:52,email,64,9519.1,163864.86,142358753.03,342.0,False,accepted,0.5,Industrial,both,inquiry,search_sector=Industrial | search_modality=both,0.07344910181507502,True,0.9983660130718954,requested_budget_mxn_sale_total=3.4 MAD; urgency_days=2.9 MAD; requested_area_sqm=2.5 MAD
13693,3009,904,2025-07-26 08:47:00,app,71,16205.2,,29471576.01,,True,accepted,,Industrial,sale,inquiry,search_sector=Industrial | search_modality=sale,0.07314261069698025,True,1.0,requested_area_sqm=3.2 MAD; message_length=2.0 MAD; requested_budget_mxn_sale_total=1.4 MAD
4227,938,2033,2025-03-04 15:55:45,app,272,591.0,853372.25,171291124.72,1.0,True,accepted,10.0,Retail,both,inquiry,search_sector=Retail | search_modality=both,0.07268292447184144,True,0.9985925404644617,urgency_days=6.1 MAD; requested_budget_mxn_sale_total=3.0 MAD; requested_budget_mxn_rent_monthly=2.7 MAD
6384,1396,170,2025-10-13 14:09:46,email,76,2376.3,953010.89,,364.0,True,accepted,2.0,Office,rent,inquiry,search_sector=Office | search_modality=rent,0.0670351857144863,True,1.0,urgency_days=3.1 MAD; requested_budget_mxn_rent_monthly=2.7 MAD; requested_area_sqm=2.2 MAD
21221,4691,307,2026-03-04 09:34:00,app,65,1638.8,,123420916.69,,True,scheduled_visit,1.0,Retail,sale,inquiry,search_sector=Retail | search_modality=sale,0.0670332603980377,True,1.0,requested_budget_mxn_sale_total=2.6 MAD; message_length=2.2 MAD; requested_area_sqm=1.7 MAD
18762,4133,1542,2026-03-06 18:01:32,app,123,2275.4,17629.44,3062350.28,,True,rejected,8.3,Retail,both,inquiry,search_sector=Retail | search_modality=both,0.06446343145628985,True,0.9978888106966924,requested_budget_mxn_sale_total=2.6 MAD; requested_budget_mxn_rent_monthly=2.4 MAD; requested_area_sqm=2.0 MAD
19881,4381,1553,2025-06-09 13:13:55,app,1227,167.2,,3111726.14,,True,no_response,2.7,Industrial,sale,inquiry,search_sector=Industrial | search_modality=sale,0.06425165101972163,True,0.9994065281899109,message_length=3.6 MAD; requested_budget_mxn_sale_total=1.7 MAD; requested_area_sqm=1.7 MAD
9859,2178,365,2025-08-18 16:35:38,app,66,7007.5,66964.22,,,True,accepted,4.3,Retail,rent,inquiry,search_sector=Retail | search_modality=rent,0.06370124214893502,True,0.9985011990407674,requested_area_sqm=3.3 MAD; message_length=2.2 MAD; requested_budget_mxn_rent_monthly=0.6 MAD
15573,3425,2861,2026-02-02 20:29:06,web,76,60.0,11097.64,2421997.1,7.0,False,accepted,,Retail,both,inquiry,search_sector=Retail | search_modality=both,0.062844567798089,True,0.9971850809289233,urgency_days=3.8 MAD; requested_budget_mxn_rent_monthly=3.0 MAD; requested_budget_mxn_sale_total=3.0 MAD
