entity,group,isolation_forest_flag,n,share_with_any_univariate_extreme
lead,search_sector=Industrial | search_modality=both,False,252,0.06746031746031746
lead,search_sector=Industrial | search_modality=both,True,8,0.375
lead,search_sector=Industrial | search_modality=rent,False,592,0.03209459459459459
lead,search_sector=Industrial | search_modality=rent,True,19,0.21052631578947367
lead,search_sector=Industrial | search_modality=sale,False,366,0.05737704918032787
lead,search_sector=Industrial | search_modality=sale,True,12,0.3333333333333333
lead,search_sector=Land | search_modality=both,False,159,0.006289308176100629
lead,search_sector=Land | search_modality=both,True,5,0.2
lead,search_sector=Land | search_modality=rent,False,384,0.013020833333333334
lead,search_sector=Land | search_modality=rent,True,12,0.25
lead,search_sector=Land | search_modality=sale,False,206,0.043689320388349516
lead,search_sector=Land | search_modality=sale,True,7,0.0
lead,search_sector=Office | search_modality=both,False,273,0.014652014652014652
lead,search_sector=Office | search_modality=both,True,9,0.1111111111111111
lead,search_sector=Office | search_modality=rent,False,715,0.027972027972027972
lead,search_sector=Office | search_modality=rent,True,23,0.21739130434782608
lead,search_sector=Office | search_modality=sale,False,417,0.03836930455635491
lead,search_sector=Office | search_modality=sale,True,13,0.3076923076923077
lead,search_sector=Retail | search_modality=both,False,292,0.04452054794520548
lead,search_sector=Retail | search_modality=both,True,9,0.3333333333333333
lead,search_sector=Retail | search_modality=rent,False,735,0.050340136054421766
lead,search_sector=Retail | search_modality=rent,True,23,0.34782608695652173
lead,search_sector=Retail | search_modality=sale,False,454,0.03524229074889868
lead,search_sector=Retail | search_modality=sale,True,15,0.26666666666666666
spot,sector_name=Industrial | modality=both,False,271,0.01845018450184502
spot,sector_name=Industrial | modality=both,True,9,0.4444444444444444
spot,sector_name=Industrial | modality=rent,False,356,0.028089887640449437
spot,sector_name=Industrial | modality=rent,True,12,0.08333333333333333
spot,sector_name=Industrial | modality=sale,False,227,0.048458149779735685
spot,sector_name=Industrial | modality=sale,True,7,0.42857142857142855
spot,sector_name=Land | modality=both,False,168,0.0
spot,sector_name=Land | modality=both,True,6,0.16666666666666666
spot,sector_name=Land | modality=rent,False,191,0.0
spot,sector_name=Land | modality=rent,True,6,0.16666666666666666
spot,sector_name=Land | modality=sale,False,122,0.1885245901639344
spot,sector_name=Land | modality=sale,True,4,1.0
spot,sector_name=Office | modality=both,False,283,0.0176678445229682
spot,sector_name=Office | modality=both,True,9,0.4444444444444444
spot,sector_name=Office | modality=rent,False,350,0.12857142857142856
spot,sector_name=Office | modality=rent,True,11,0.9090909090909091
spot,sector_name=Office | modality=sale,False,218,0.04128440366972477
spot,sector_name=Office | modality=sale,True,7,0.42857142857142855
spot,sector_name=Retail | modality=both,False,292,0.0273972602739726
spot,sector_name=Retail | modality=both,True,9,0.5555555555555556
spot,sector_name=Retail | modality=rent,False,258,0.09302325581395349
spot,sector_name=Retail | modality=rent,True,8,0.75
spot,sector_name=Retail | modality=sale,False,170,0.06470588235294118
spot,sector_name=Retail | modality=sale,True,6,0.3333333333333333
inquiry,search_sector=Industrial | search_modality=both,False,1187,0.030328559393428812
inquiry,search_sector=Industrial | search_modality=both,True,37,0.40540540540540543
inquiry,search_sector=Industrial | search_modality=rent,False,2631,0.019384264538198404
inquiry,search_sector=Industrial | search_modality=rent,True,82,0.2682926829268293
inquiry,search_sector=Industrial | search_modality=sale,False,1634,0.04957160342717258
inquiry,search_sector=Industrial | search_modality=sale,True,51,0.21568627450980393
inquiry,search_sector=Land | search_modality=both,False,733,0.036834924965893585
inquiry,search_sector=Land | search_modality=both,True,23,0.4782608695652174
inquiry,search_sector=Land | search_modality=rent,False,1759,0.028425241614553724
inquiry,search_sector=Land | search_modality=rent,True,55,0.2727272727272727
inquiry,search_sector=Land | search_modality=sale,False,907,0.014332965821389196
inquiry,search_sector=Land | search_modality=sale,True,29,0.2413793103448276
inquiry,search_sector=Office | search_modality=both,False,1201,0.030807660283097418
inquiry,search_sector=Office | search_modality=both,True,38,0.23684210526315788
inquiry,search_sector=Office | search_modality=rent,False,3299,0.042437102152167325
inquiry,search_sector=Office | search_modality=rent,True,103,0.5339805825242718
inquiry,search_sector=Office | search_modality=sale,False,1845,0.044444444444444446
inquiry,search_sector=Office | search_modality=sale,True,58,0.4482758620689655
inquiry,search_sector=Retail | search_modality=both,False,1378,0.04426705370101597
inquiry,search_sector=Retail | search_modality=both,True,43,0.5813953488372093
inquiry,search_sector=Retail | search_modality=rent,False,3235,0.04513137557959815
inquiry,search_sector=Retail | search_modality=rent,True,101,0.6039603960396039
inquiry,search_sector=Retail | search_modality=sale,False,2082,0.04418828049951969
inquiry,search_sector=Retail | search_modality=sale,True,65,0.46153846153846156
