broker_id,n,rate,spots
221,31,0.3870967741935484,4
235,32,0.34375,7
15,45,0.3333333333333333,10
93,61,0.32786885245901637,8
250,69,0.30434782608695654,8
94,53,0.3018867924528302,7
201,30,0.3,4
7,81,0.2962962962962963,11
79,95,0.29473684210526313,13
227,66,0.2878787878787879,11
183,46,0.2826086956521739,7
132,103,0.2815533980582524,12
290,82,0.2804878048780488,10
32,82,0.2804878048780488,11
160,111,0.27927927927927926,16
61,54,0.2777777777777778,9
85,62,0.27419354838709675,9
162,88,0.2727272727272727,10
208,44,0.2727272727272727,8
26,52,0.2692307692307692,5
41,104,0.2692307692307692,14
159,41,0.2682926829268293,8
185,68,0.2647058823529412,11
155,53,0.2641509433962264,6
264,38,0.2631578947368421,7
9,99,0.26262626262626265,12
260,88,0.26136363636363635,10
33,115,0.2608695652173913,14
126,92,0.2608695652173913,13
47,73,0.2602739726027397,11
265,73,0.2602739726027397,8
171,120,0.25833333333333336,17
206,35,0.2571428571428571,4
175,63,0.25396825396825395,9
236,71,0.2535211267605634,8
280,103,0.2524271844660194,12
194,115,0.25217391304347825,17
110,36,0.25,5
89,44,0.25,6
268,40,0.25,8
263,92,0.25,12
8,48,0.25,6
80,40,0.25,7
251,128,0.25,18
300,84,0.25,9
40,80,0.25,10
6,85,0.24705882352941178,11
91,85,0.24705882352941178,10
67,77,0.24675324675324675,11
166,49,0.24489795918367346,7
169,62,0.24193548387096775,9
71,83,0.24096385542168675,9
267,54,0.24074074074074073,6
116,75,0.24,11
269,71,0.23943661971830985,11
44,46,0.2391304347826087,5
46,67,0.23880597014925373,11
287,88,0.23863636363636365,13
62,84,0.23809523809523808,12
191,42,0.23809523809523808,7
242,80,0.2375,11
158,38,0.23684210526315788,8
82,76,0.23684210526315788,12
56,76,0.23684210526315788,10
204,55,0.23636363636363636,8
255,68,0.23529411764705882,5
189,85,0.23529411764705882,12
43,98,0.23469387755102042,12
48,81,0.2345679012345679,10
187,64,0.234375,9
266,86,0.23255813953488372,10
64,125,0.232,17
141,69,0.2318840579710145,9
228,74,0.22972972972972974,11
248,74,0.22972972972972974,10
84,61,0.22950819672131148,7
271,48,0.22916666666666666,6
74,57,0.22807017543859648,7
51,114,0.22807017543859648,13
86,79,0.22784810126582278,10
200,123,0.22764227642276422,14
150,88,0.22727272727272727,12
203,146,0.22602739726027396,15
219,62,0.22580645161290322,10
157,62,0.22580645161290322,9
195,62,0.22580645161290322,9
278,102,0.22549019607843138,14
36,111,0.22522522522522523,11
68,40,0.225,8
177,98,0.22448979591836735,12
163,67,0.22388059701492538,10
205,72,0.2222222222222222,9
224,72,0.2222222222222222,11
115,99,0.2222222222222222,15
104,86,0.22093023255813954,9
286,68,0.22058823529411764,7
19,68,0.22058823529411764,11
69,59,0.22033898305084745,7
63,41,0.21951219512195122,8
238,41,0.21951219512195122,6
294,105,0.21904761904761905,15
274,64,0.21875,10
288,46,0.21739130434782608,7
233,115,0.21739130434782608,12
96,69,0.21739130434782608,9
118,46,0.21739130434782608,6
261,92,0.21739130434782608,9
282,106,0.2169811320754717,14
240,83,0.21686746987951808,10
186,60,0.21666666666666667,9
142,116,0.21551724137931033,15
75,84,0.21428571428571427,11
174,112,0.21428571428571427,14
279,70,0.21428571428571427,10
128,75,0.21333333333333335,9
217,47,0.2127659574468085,7
165,66,0.21212121212121213,10
182,52,0.21153846153846154,6
117,76,0.21052631578947367,7
58,38,0.21052631578947367,5
112,43,0.20930232558139536,6
42,67,0.208955223880597,11
172,91,0.2087912087912088,15
270,72,0.20833333333333334,9
11,72,0.20833333333333334,9
22,53,0.20754716981132076,7
281,29,0.20689655172413793,7
39,121,0.2066115702479339,15
202,63,0.20634920634920634,8
229,68,0.20588235294117646,9
70,102,0.20588235294117646,14
2,73,0.2054794520547945,11
275,73,0.2054794520547945,9
297,147,0.20408163265306123,17
272,49,0.20408163265306123,9
145,98,0.20408163265306123,13
131,54,0.2037037037037037,6
296,64,0.203125,8
109,89,0.20224719101123595,11
161,94,0.20212765957446807,12
55,70,0.2,8
4,55,0.2,8
253,70,0.2,10
135,70,0.2,8
114,25,0.2,4
108,80,0.2,12
245,70,0.2,11
213,85,0.2,13
210,115,0.2,17
173,95,0.2,13
129,80,0.2,10
59,76,0.19736842105263158,12
38,117,0.19658119658119658,16
178,112,0.19642857142857142,12
121,46,0.1956521739130435,5
105,87,0.19540229885057472,10
197,72,0.19444444444444445,10
249,72,0.19444444444444445,9
92,72,0.19444444444444445,8
3,103,0.1941747572815534,12
101,57,0.19298245614035087,9
12,26,0.19230769230769232,3
212,104,0.19230769230769232,16
244,94,0.19148936170212766,10
179,94,0.19148936170212766,12
239,47,0.19148936170212766,10
190,115,0.19130434782608696,14
21,68,0.19117647058823528,9
60,42,0.19047619047619047,6
87,63,0.19047619047619047,10
76,58,0.1896551724137931,11
25,106,0.18867924528301888,13
226,80,0.1875,8
218,128,0.1875,16
122,112,0.1875,12
100,107,0.18691588785046728,12
247,91,0.18681318681318682,11
27,91,0.18681318681318682,12
125,75,0.18666666666666668,11
156,75,0.18666666666666668,11
13,43,0.18604651162790697,7
95,70,0.18571428571428572,9
49,97,0.18556701030927836,13
45,76,0.18421052631578946,9
138,49,0.1836734693877551,6
257,98,0.1836734693877551,10
180,93,0.1827956989247312,11
211,77,0.18181818181818182,11
111,55,0.18181818181818182,7
99,77,0.18181818181818182,11
83,83,0.18072289156626506,11
146,78,0.1794871794871795,11
258,67,0.1791044776119403,10
97,67,0.1791044776119403,10
149,56,0.17857142857142858,10
1,28,0.17857142857142858,4
123,90,0.17777777777777778,12
168,79,0.17721518987341772,12
198,79,0.17721518987341772,9
