metric,value
observation_end,2026-07-13T17:35:37
days_on_market_exceeds_elapsed_count,373
days_on_market_exceeds_elapsed_rate,0.12433333333333334
implied_end_more_than_365d_after_observation_count,17
implied_end_more_than_365d_after_observation_rate,0.005666666666666667
implied_end_minus_observation_p50_days,-273.2330671296296
implied_end_minus_observation_p95_days,112.3169328703701
implied_end_minus_observation_p99_days,308.2869328703699
implied_end_minus_observation_max_days,694.2669328703704
total_inquiries_exact_observed_match_rate,0.07066666666666667
