entity,group,n,flagged,flag_rate,score_p50,score_p95,score_p99
lead,search_sector=Industrial | search_modality=both,260,8,0.03076923076923077,-0.16294163084095206,-0.010293294078578982,0.03973581105995637
lead,search_sector=Industrial | search_modality=rent,611,19,0.031096563011456628,-0.17837597810144667,-0.012421778772948422,0.018167672894732402
lead,search_sector=Industrial | search_modality=sale,378,12,0.031746031746031744,-0.18093373430316465,-0.019907065424294535,0.036422458130618354
lead,search_sector=Land | search_modality=both,164,5,0.03048780487804878,-0.19516947546484437,-0.028060342175652564,0.03995891192241497
lead,search_sector=Land | search_modality=rent,396,12,0.030303030303030304,-0.20063118671031824,-0.036226899893154224,0.025374471424537706
lead,search_sector=Land | search_modality=sale,213,7,0.03286384976525822,-0.17556065744320265,-0.01753775622419916,0.024008236539900057
lead,search_sector=Office | search_modality=both,282,9,0.031914893617021274,-0.17644205524322246,-0.030704172621740553,0.029771540808169118
lead,search_sector=Office | search_modality=rent,738,23,0.03116531165311653,-0.1724005894434276,-0.02009701866248412,0.03863380012351852
lead,search_sector=Office | search_modality=sale,430,13,0.030232558139534883,-0.1699707881815322,-0.022945886547923438,0.03995844948491503
lead,search_sector=Retail | search_modality=both,301,9,0.029900332225913623,-0.16005387830192902,-0.016617754824951203,0.06062322968883482
lead,search_sector=Retail | search_modality=rent,758,23,0.030343007915567283,-0.16718026015130313,-0.016311907915933975,0.03206040818763806
lead,search_sector=Retail | search_modality=sale,469,15,0.031982942430703626,-0.16837284319450507,-0.022911771330816143,0.03688448112220422
spot,sector_name=Industrial | modality=both,280,9,0.03214285714285714,-0.10868750424936274,-0.02050422562524727,0.025512400483695963
spot,sector_name=Industrial | modality=rent,368,12,0.03260869565217391,-0.09559739051593605,-0.009054536433085628,0.01846432451029789
spot,sector_name=Industrial | modality=sale,234,7,0.029914529914529916,-0.1084038293999478,-0.009695196994763912,0.01898145201975888
spot,sector_name=Land | modality=both,174,6,0.034482758620689655,-0.09973049887141794,-0.013465914454267484,0.020910624989754475
spot,sector_name=Land | modality=rent,197,6,0.030456852791878174,-0.09807444628154394,-0.010536169464709597,0.01928871340581297
spot,sector_name=Land | modality=sale,126,4,0.031746031746031744,-0.09846418576782887,-0.00679792886872993,0.027477657090128227
spot,sector_name=Office | modality=both,292,9,0.030821917808219176,-0.09348058259859804,-0.013665400139957188,0.02204496580958269
spot,sector_name=Office | modality=rent,361,11,0.030470914127423823,-0.10426468788546461,-0.014621619752214765,0.058015862178275625
spot,sector_name=Office | modality=sale,225,7,0.03111111111111111,-0.11274660991424662,-0.01677810908103673,0.021546133561790328
spot,sector_name=Retail | modality=both,301,9,0.029900332225913623,-0.11857205547235466,-0.02692449809141262,0.03789554670127471
spot,sector_name=Retail | modality=rent,266,8,0.03007518796992481,-0.09808378548905203,-0.004783756587557725,0.05559299724861638
spot,sector_name=Retail | modality=sale,176,6,0.03409090909090909,-0.09879313648507071,-0.011785173700859491,0.016239838185027
inquiry,search_sector=Industrial | search_modality=both,1224,37,0.03022875816993464,-0.10778210002885008,-0.01508377951705867,0.034783620031316034
inquiry,search_sector=Industrial | search_modality=rent,2713,82,0.030224843346848506,-0.11375262706817207,-0.014439163634545425,0.022289383694655402
inquiry,search_sector=Industrial | search_modality=sale,1685,51,0.030267062314540058,-0.10869028510359752,-0.013516713027829605,0.017690583452429597
inquiry,search_sector=Land | search_modality=both,756,23,0.03042328042328042,-0.12414451849328834,-0.018026327914474144,0.026363184009527654
inquiry,search_sector=Land | search_modality=rent,1814,55,0.03031973539140022,-0.11927499607515579,-0.01575001884874149,0.019553479962968162
inquiry,search_sector=Land | search_modality=sale,936,29,0.030982905982905984,-0.1212286870062714,-0.01851147054968169,0.026021548512312594
inquiry,search_sector=Office | search_modality=both,1239,38,0.03066989507667474,-0.11271374160391673,-0.015216761405085296,0.02612281044449191
inquiry,search_sector=Office | search_modality=rent,3402,103,0.03027630805408583,-0.11883961352855948,-0.015407686131050913,0.026501264400532343
inquiry,search_sector=Office | search_modality=sale,1903,58,0.03047819232790331,-0.11729437673674958,-0.011703874994741584,0.022074845444216326
inquiry,search_sector=Retail | search_modality=both,1421,43,0.030260380014074596,-0.12270959676967247,-0.013214977030056363,0.033862214465245795
inquiry,search_sector=Retail | search_modality=rent,3336,101,0.0302757793764988,-0.12073641020309492,-0.01223715795026506,0.029365613732852614
inquiry,search_sector=Retail | search_modality=sale,2147,65,0.030274802049371215,-0.1166393519845279,-0.012645824511511191,0.018102990216508144
