dimension,bucket,n,scheduled_visit_rate
area_ratio,<0.5,9747,0.20201087514106905
area_ratio,0.5-1,2320,0.18362068965517242
area_ratio,1-2,2491,0.19148936170212766
area_ratio,2-4,2432,0.20476973684210525
area_ratio,>=4,5586,0.20157536698890083
rent_budget_to_spot_price,<0.5,6283,0.19958618494349833
rent_budget_to_spot_price,0.5-0.8,1150,0.18608695652173912
rent_budget_to_spot_price,0.8-1.2,1058,0.18714555765595464
rent_budget_to_spot_price,1.2-2,1305,0.19616858237547893
rent_budget_to_spot_price,>=2,4918,0.2035380235868239
sale_budget_to_spot_price,<0.5,4061,0.20561438069441024
sale_budget_to_spot_price,0.5-0.8,778,0.19408740359897173
sale_budget_to_spot_price,0.8-1.2,625,0.1792
sale_budget_to_spot_price,1.2-2,770,0.18311688311688312
sale_budget_to_spot_price,>=2,3290,0.20212765957446807
same_state,False,16321,0.19606641749892775
same_state,True,6255,0.20719424460431654
same_municipality,False,18105,0.1967964650648992
same_municipality,True,4471,0.20867814806530977
same_corridor,False,18716,0.19742466338961318
same_corridor,True,3860,0.20751295336787565
