spot_id,snapshots,transitions,ever_changes,always_available,always_unavailable,available_share,median_competing_inquiries_30d
1,3,2,True,False,False,0.3333333333333333,8.0
2,12,6,True,False,False,0.5833333333333334,9.0
3,7,2,True,False,False,0.7142857142857143,4.0
4,2,0,False,True,False,1.0,5.5
5,16,8,True,False,False,0.75,5.0
6,1,0,False,True,False,1.0,5.0
7,16,7,True,False,False,0.5625,9.5
8,9,3,True,False,False,0.7777777777777778,4.0
9,12,4,True,False,False,0.8333333333333334,5.0
10,17,2,True,False,False,0.5882352941176471,6.0
11,3,2,True,False,False,0.3333333333333333,7.0
12,16,6,True,False,False,0.75,10.5
13,11,6,True,False,False,0.45454545454545453,3.0
14,19,9,True,False,False,0.42105263157894735,6.0
15,10,4,True,False,False,0.8,3.0
16,12,6,True,False,False,0.4166666666666667,5.0
17,9,2,True,False,False,0.8888888888888888,5.0
18,10,3,True,False,False,0.8,7.0
19,5,1,True,False,False,0.8,5.0
20,11,1,True,False,False,0.9090909090909091,7.0
21,10,3,True,False,False,0.2,6.0
22,11,4,True,False,False,0.5454545454545454,5.0
23,16,6,True,False,False,0.6875,6.0
24,14,4,True,False,False,0.14285714285714285,5.5
25,7,2,True,False,False,0.8571428571428571,5.0
26,13,3,True,False,False,0.6923076923076923,6.0
27,9,1,True,False,False,0.8888888888888888,7.0
28,2,0,False,False,True,0.0,5.5
29,5,2,True,False,False,0.8,3.0
30,11,2,True,False,False,0.18181818181818182,7.0
31,18,8,True,False,False,0.2777777777777778,3.5
32,8,1,True,False,False,0.75,3.0
33,10,6,True,False,False,0.5,5.5
34,8,3,True,False,False,0.5,5.5
35,7,0,False,True,False,1.0,5.0
36,9,2,True,False,False,0.8888888888888888,8.0
37,20,10,True,False,False,0.6,5.0
38,10,4,True,False,False,0.5,2.5
39,17,9,True,False,False,0.5294117647058824,5.0
40,14,7,True,False,False,0.7142857142857143,4.0
41,11,4,True,False,False,0.8181818181818182,4.0
42,12,5,True,False,False,0.75,6.0
43,12,6,True,False,False,0.6666666666666666,5.5
44,3,0,False,False,True,0.0,7.0
45,12,5,True,False,False,0.6666666666666666,6.0
46,3,1,True,False,False,0.3333333333333333,4.0
47,9,2,True,False,False,0.8888888888888888,3.0
48,7,2,True,False,False,0.7142857142857143,5.0
49,8,3,True,False,False,0.75,9.5
50,12,5,True,False,False,0.5833333333333334,8.5
51,12,5,True,False,False,0.75,4.0
52,5,3,True,False,False,0.6,5.0
53,13,4,True,False,False,0.38461538461538464,4.0
54,16,8,True,False,False,0.5,2.0
55,17,4,True,False,False,0.7058823529411765,5.0
56,2,0,False,False,True,0.0,4.5
57,14,4,True,False,False,0.5714285714285714,4.0
58,7,5,True,False,False,0.5714285714285714,7.0
59,15,6,True,False,False,0.7333333333333333,5.0
60,12,7,True,False,False,0.5833333333333334,5.5
61,14,8,True,False,False,0.5714285714285714,4.0
62,14,4,True,False,False,0.8571428571428571,4.0
63,8,1,True,False,False,0.125,2.0
64,3,0,False,True,False,1.0,7.0
65,9,3,True,False,False,0.6666666666666666,9.0
66,14,4,True,False,False,0.8571428571428571,4.0
67,11,0,False,False,True,0.0,4.0
68,7,3,True,False,False,0.5714285714285714,7.0
69,7,4,True,False,False,0.5714285714285714,4.0
70,15,6,True,False,False,0.8,3.0
71,10,2,True,False,False,0.1,6.0
72,14,1,True,False,False,0.9285714285714286,4.5
73,11,7,True,False,False,0.5454545454545454,3.0
74,16,11,True,False,False,0.375,6.5
75,11,6,True,False,False,0.36363636363636365,5.0
76,11,6,True,False,False,0.5454545454545454,8.0
77,8,5,True,False,False,0.5,7.5
78,3,1,True,False,False,0.6666666666666666,6.0
79,5,2,True,False,False,0.6,5.0
80,6,3,True,False,False,0.6666666666666666,4.0
81,12,2,True,False,False,0.16666666666666666,4.0
82,8,6,True,False,False,0.625,5.0
83,9,5,True,False,False,0.6666666666666666,5.0
84,16,3,True,False,False,0.6875,3.0
85,11,5,True,False,False,0.7272727272727273,4.0
86,8,2,True,False,False,0.75,5.0
87,8,2,True,False,False,0.875,1.0
88,12,10,True,False,False,0.5833333333333334,6.0
89,9,4,True,False,False,0.2222222222222222,4.0
90,8,5,True,False,False,0.5,4.0
91,15,3,True,False,False,0.8666666666666667,3.0
92,15,6,True,False,False,0.8,6.0
93,14,3,True,False,False,0.7857142857142857,3.0
94,2,0,False,True,False,1.0,9.5
95,6,1,True,False,False,0.8333333333333334,7.5
96,11,5,True,False,False,0.36363636363636365,3.0
97,8,2,True,False,False,0.875,5.5
98,8,2,True,False,False,0.5,5.5
99,7,3,True,False,False,0.42857142857142855,5.0
100,15,8,True,False,False,0.5333333333333333,8.0
101,14,10,True,False,False,0.42857142857142855,5.0
102,6,2,True,False,False,0.5,4.5
103,3,1,True,False,False,0.6666666666666666,5.0
104,9,6,True,False,False,0.6666666666666666,3.0
105,13,8,True,False,False,0.6923076923076923,4.0
106,9,3,True,False,False,0.7777777777777778,4.0
107,12,6,True,False,False,0.75,10.5
108,19,7,True,False,False,0.631578947368421,4.0
109,1,0,False,True,False,1.0,6.0
110,10,0,False,False,True,0.0,2.5
111,15,6,True,False,False,0.6666666666666666,3.0
112,16,6,True,False,False,0.8125,7.0
113,17,9,True,False,False,0.5882352941176471,4.0
114,1,0,False,True,False,1.0,4.0
115,12,7,True,False,False,0.6666666666666666,4.5
116,5,0,False,True,False,1.0,7.0
117,9,4,True,False,False,0.6666666666666666,3.0
118,7,2,True,False,False,0.14285714285714285,6.0
119,5,0,False,True,False,1.0,5.0
120,4,3,True,False,False,0.5,5.0
121,10,6,True,False,False,0.6,3.0
122,15,7,True,False,False,0.6,6.0
123,14,7,True,False,False,0.2857142857142857,3.5
124,14,6,True,False,False,0.7857142857142857,6.5
125,16,7,True,False,False,0.5625,6.0
126,9,1,True,False,False,0.8888888888888888,5.0
127,7,4,True,False,False,0.5714285714285714,4.0
128,13,4,True,False,False,0.6923076923076923,3.0
129,11,9,True,False,False,0.5454545454545454,5.0
130,10,7,True,False,False,0.5,7.0
131,15,8,True,False,False,0.5333333333333333,6.0
132,2,1,True,False,False,0.5,4.0
133,20,11,True,False,False,0.7,5.5
134,4,2,True,False,False,0.25,4.0
135,8,3,True,False,False,0.625,6.5
136,3,1,True,False,False,0.3333333333333333,5.0
137,11,5,True,False,False,0.7272727272727273,7.0
138,13,4,True,False,False,0.7692307692307693,7.0
139,5,2,True,False,False,0.8,3.0
140,9,2,True,False,False,0.8888888888888888,7.0
141,9,4,True,False,False,0.7777777777777778,5.0
142,12,3,True,False,False,0.8333333333333334,5.5
143,18,5,True,False,False,0.7222222222222222,4.5
144,4,1,True,False,False,0.75,11.5
145,13,5,True,False,False,0.23076923076923078,7.0
146,10,4,True,False,False,0.7,6.0
147,13,8,True,False,False,0.46153846153846156,5.0
148,5,2,True,False,False,0.4,3.0
149,12,9,True,False,False,0.5833333333333334,5.0
150,12,2,True,False,False,0.8333333333333334,3.0
151,6,2,True,False,False,0.5,5.0
152,9,5,True,False,False,0.5555555555555556,5.0
153,13,10,True,False,False,0.5384615384615384,3.0
154,11,3,True,False,False,0.8181818181818182,5.0
155,5,2,True,False,False,0.8,8.0
156,10,4,True,False,False,0.8,5.0
157,13,5,True,False,False,0.6153846153846154,4.0
158,13,4,True,False,False,0.8461538461538461,5.0
159,8,4,True,False,False,0.75,2.5
160,4,1,True,False,False,0.75,8.5
161,2,1,True,False,False,0.5,2.5
162,3,2,True,False,False,0.6666666666666666,7.0
163,12,4,True,False,False,0.8333333333333334,4.5
164,13,7,True,False,False,0.5384615384615384,5.0
165,13,1,True,False,False,0.07692307692307693,7.0
166,5,4,True,False,False,0.6,5.0
167,2,1,True,False,False,0.5,5.0
168,10,5,True,False,False,0.6,6.0
169,12,7,True,False,False,0.5,4.5
170,11,4,True,False,False,0.7272727272727273,4.0
171,17,4,True,False,False,0.7647058823529411,8.0
172,14,5,True,False,False,0.7142857142857143,4.5
173,6,2,True,False,False,0.6666666666666666,9.0
174,15,6,True,False,False,0.3333333333333333,3.0
175,20,11,True,False,False,0.6,5.0
176,11,0,False,False,True,0.0,4.0
177,13,3,True,False,False,0.6923076923076923,6.0
178,5,2,True,False,False,0.6,6.0
179,7,2,True,False,False,0.14285714285714285,6.0
180,12,6,True,False,False,0.5,5.5
181,24,10,True,False,False,0.75,4.0
182,11,0,False,True,False,1.0,5.0
183,12,2,True,False,False,0.08333333333333333,4.0
184,12,8,True,False,False,0.6666666666666666,5.5
185,15,7,True,False,False,0.6666666666666666,4.0
186,1,0,False,True,False,1.0,7.0
187,9,2,True,False,False,0.8888888888888888,6.0
188,10,7,True,False,False,0.6,8.5
189,10,4,True,False,False,0.5,3.5
190,6,1,True,False,False,0.8333333333333334,6.0
191,16,8,True,False,False,0.4375,4.5
192,9,4,True,False,False,0.3333333333333333,8.0
193,10,4,True,False,False,0.6,5.5
194,9,2,True,False,False,0.8888888888888888,6.0
195,5,1,True,False,False,0.8,6.0
196,9,3,True,False,False,0.4444444444444444,4.0
197,3,1,True,False,False,0.6666666666666666,9.0
198,7,2,True,False,False,0.7142857142857143,13.0
199,14,9,True,False,False,0.42857142857142855,6.5
200,14,6,True,False,False,0.7857142857142857,4.0
201,14,6,True,False,False,0.7142857142857143,6.0
202,13,8,True,False,False,0.3076923076923077,4.0
203,15,7,True,False,False,0.6666666666666666,4.0
204,9,3,True,False,False,0.4444444444444444,6.0
205,14,4,True,False,False,0.7857142857142857,7.0
206,7,2,True,False,False,0.8571428571428571,5.0
207,3,0,False,False,True,0.0,6.0
208,6,3,True,False,False,0.3333333333333333,6.5
209,9,4,True,False,False,0.7777777777777778,6.0
210,9,4,True,False,False,0.6666666666666666,5.0
211,7,5,True,False,False,0.5714285714285714,4.0
212,10,5,True,False,False,0.7,5.5
213,12,6,True,False,False,0.75,4.0
214,9,4,True,False,False,0.5555555555555556,3.0
215,6,4,True,False,False,0.6666666666666666,5.5
216,5,2,True,False,False,0.4,2.0
217,10,4,True,False,False,0.7,4.5
218,18,8,True,False,False,0.3333333333333333,8.0
219,12,3,True,False,False,0.8333333333333334,3.0
220,12,5,True,False,False,0.75,7.0
221,11,2,True,False,False,0.9090909090909091,4.0
222,13,6,True,False,False,0.6923076923076923,3.0
223,4,2,True,False,False,0.25,9.0
224,8,2,True,False,False,0.75,5.0
225,14,9,True,False,False,0.6428571428571429,4.0
226,6,2,True,False,False,0.5,7.5
227,7,3,True,False,False,0.7142857142857143,11.0
228,10,3,True,False,False,0.8,5.0
229,10,1,True,False,False,0.9,8.0
230,13,9,True,False,False,0.38461538461538464,8.0
231,7,2,True,False,False,0.2857142857142857,6.0
232,2,0,False,True,False,1.0,9.5
233,10,4,True,False,False,0.8,5.5
234,5,1,True,False,False,0.8,2.0
235,12,6,True,False,False,0.5833333333333334,6.0
236,19,8,True,False,False,0.5789473684210527,6.0
237,14,4,True,False,False,0.5714285714285714,4.0
238,5,2,True,False,False,0.6,7.0
239,19,9,True,False,False,0.5789473684210527,3.0
240,15,5,True,False,False,0.8,5.0
241,10,4,True,False,False,0.4,6.5
242,9,5,True,False,False,0.4444444444444444,3.0
243,13,6,True,False,False,0.6923076923076923,6.0
244,11,6,True,False,False,0.45454545454545453,5.0
245,2,0,False,False,True,0.0,5.5
246,14,6,True,False,False,0.5,7.0
247,11,2,True,False,False,0.5454545454545454,4.0
248,12,3,True,False,False,0.6666666666666666,5.0
249,9,4,True,False,False,0.7777777777777778,5.0
250,14,4,True,False,False,0.14285714285714285,5.0
251,9,4,True,False,False,0.4444444444444444,4.0
252,9,4,True,False,False,0.5555555555555556,5.0
253,12,5,True,False,False,0.5833333333333334,10.5
254,15,7,True,False,False,0.6,2.0
255,9,1,True,False,False,0.8888888888888888,5.0
256,4,1,True,False,False,0.25,3.5
257,13,6,True,False,False,0.5384615384615384,3.0
258,13,6,True,False,False,0.7692307692307693,6.0
259,11,6,True,False,False,0.6363636363636364,7.0
260,12,6,True,False,False,0.4166666666666667,5.5
261,5,3,True,False,False,0.6,5.0
262,19,7,True,False,False,0.7368421052631579,5.0
263,14,8,True,False,False,0.6428571428571429,6.5
264,13,8,True,False,False,0.5384615384615384,3.0
265,11,6,True,False,False,0.7272727272727273,5.0
266,13,5,True,False,False,0.6153846153846154,3.0
267,4,0,False,False,True,0.0,4.5
268,16,4,True,False,False,0.875,6.0
269,14,6,True,False,False,0.5714285714285714,8.0
270,3,0,False,True,False,1.0,6.0
271,8,4,True,False,False,0.5,6.0
272,14,7,True,False,False,0.6428571428571429,4.0
273,4,2,True,False,False,0.75,3.5
274,11,5,True,False,False,0.5454545454545454,4.0
275,2,0,False,True,False,1.0,7.0
276,15,8,True,False,False,0.6,4.0
277,2,0,False,True,False,1.0,8.0
278,4,0,False,False,True,0.0,5.5
279,6,1,True,False,False,0.8333333333333334,3.0
280,12,3,True,False,False,0.5833333333333334,3.0
281,4,2,True,False,False,0.75,4.5
282,4,0,False,False,True,0.0,6.0
283,12,4,True,False,False,0.5,4.5
284,13,5,True,False,False,0.7692307692307693,7.0
285,11,3,True,False,False,0.6363636363636364,2.0
286,10,4,True,False,False,0.2,4.5
287,7,6,True,False,False,0.5714285714285714,6.0
288,18,8,True,False,False,0.3888888888888889,5.0
289,10,4,True,False,False,0.7,5.0
290,3,1,True,False,False,0.6666666666666666,4.0
291,14,5,True,False,False,0.6428571428571429,7.5
292,5,2,True,False,False,0.8,6.0
293,16,7,True,False,False,0.75,6.0
294,2,0,False,True,False,1.0,6.5
295,13,6,True,False,False,0.38461538461538464,5.0
296,2,0,False,True,False,1.0,2.0
297,5,1,True,False,False,0.8,9.0
298,12,6,True,False,False,0.6666666666666666,2.5
299,18,8,True,False,False,0.5555555555555556,4.0
300,16,6,True,False,False,0.625,9.0
301,11,2,True,False,False,0.8181818181818182,4.0
302,1,0,False,False,True,0.0,6.0
303,9,3,True,False,False,0.6666666666666666,9.0
304,10,4,True,False,False,0.7,4.5
305,10,2,True,False,False,0.9,7.0
306,5,2,True,False,False,0.2,4.0
307,4,3,True,False,False,0.5,6.5
308,15,7,True,False,False,0.6666666666666666,9.0
309,11,5,True,False,False,0.6363636363636364,6.0
310,16,6,True,False,False,0.1875,5.0
311,8,6,True,False,False,0.5,2.5
312,7,3,True,False,False,0.7142857142857143,5.0
313,12,7,True,False,False,0.6666666666666666,7.0
314,4,0,False,True,False,1.0,4.0
315,14,6,True,False,False,0.5,5.0
316,9,3,True,False,False,0.6666666666666666,3.0
317,12,5,True,False,False,0.6666666666666666,6.0
318,14,5,True,False,False,0.7142857142857143,6.5
319,12,7,True,False,False,0.5833333333333334,6.0
320,8,3,True,False,False,0.5,11.0
321,11,2,True,False,False,0.09090909090909091,3.0
322,11,4,True,False,False,0.18181818181818182,6.0
323,9,2,True,False,False,0.7777777777777778,4.0
324,16,7,True,False,False,0.75,5.0
325,22,10,True,False,False,0.5909090909090909,6.0
326,1,0,False,True,False,1.0,4.0
327,13,5,True,False,False,0.7692307692307693,7.0
328,13,3,True,False,False,0.8461538461538461,8.0
329,8,3,True,False,False,0.25,3.5
330,4,2,True,False,False,0.75,4.0
331,17,6,True,False,False,0.23529411764705882,6.0
332,1,0,False,True,False,1.0,5.0
333,13,4,True,False,False,0.5384615384615384,4.0
334,5,4,True,False,False,0.4,6.0
335,10,0,False,False,True,0.0,4.0
336,4,1,True,False,False,0.75,5.0
337,2,0,False,True,False,1.0,3.5
338,13,6,True,False,False,0.38461538461538464,6.0
339,13,3,True,False,False,0.6153846153846154,7.0
340,3,2,True,False,False,0.6666666666666666,4.0
341,4,1,True,False,False,0.25,3.5
342,7,2,True,False,False,0.8571428571428571,3.0
343,14,7,True,False,False,0.5,9.0
344,3,0,False,False,True,0.0,5.0
345,16,4,True,False,False,0.875,6.0
346,6,2,True,False,False,0.6666666666666666,4.0
347,11,3,True,False,False,0.18181818181818182,4.0
348,11,4,True,False,False,0.7272727272727273,4.0
349,13,6,True,False,False,0.7692307692307693,4.0
350,22,12,True,False,False,0.6363636363636364,3.0
351,13,2,True,False,False,0.6153846153846154,6.0
352,17,7,True,False,False,0.5294117647058824,10.0
353,18,8,True,False,False,0.7222222222222222,5.0
354,4,2,True,False,False,0.5,4.0
355,10,6,True,False,False,0.7,5.0
356,13,9,True,False,False,0.5384615384615384,5.0
357,11,6,True,False,False,0.2727272727272727,2.0
358,6,0,False,True,False,1.0,5.0
359,11,1,True,False,False,0.9090909090909091,7.0
360,1,0,False,False,True,0.0,4.0
