cohort,feature,metric_type,psi,js_divergence,standardized_difference,absolute_difference,reference_value,cohort_value,interpretation
2025H2,target_area,numeric,0.010445124589063864,,-0.05281372519864721,,687.8653276955599,628.5341063348424,POPULATION
2025H2,req_area,numeric,0.018237896742047503,,-0.02334837139076604,,1354.7331923890074,1287.994796380093,POPULATION
2025H2,rent_budget,numeric,0.011246440864938277,,-0.054718567123600216,,125104.47126262638,116984.9882082322,POPULATION
2025H2,sale_budget,numeric,0.015453401699250599,,0.025737318077739955,,22130699.745184697,22827481.715080637,POPULATION
2025H2,message,numeric,0.007122783137276683,,0.005854697222100963,,222.13742071881606,222.8139140271493,POPULATION
2025H2,urgency,numeric,0.019771129063691207,,0.01256278758950261,,118.24497991967871,119.57641196013289,POPULATION
2025H2,first_lag,numeric,0.06583617204993003,,0.19132193448975912,,10.748089641570745,17.821521388469918,CLOCK_PROGRESS
2025H2,iq_exposure,numeric,0.055786510108349105,,-0.22334763102606878,,4.971106412966878,4.479638009049774,CLOCK_PROGRESS
2025H2,cand_count,numeric,0.9026984790129702,,0.888825346928043,,21.968287526427062,36.03450226244344,COVERAGE_EXPOSURE
2025H2,av_cov,numeric,7.854402910434825,,2.102276673194763,,0.5403072319053582,0.9720702119781774,COVERAGE_EXPOSURE
2025H2,snap_age,numeric,1.0759832846670745,,0.27931484451767774,,23.979850746268657,26.923076923076923,COVERAGE_EXPOSURE
2025H2,sector,categorical,,0.0004071357343329103,,,,,POPULATION_MIX
2025H2,modality,categorical,,0.00042619610923510555,,,,,POPULATION_MIX
2025H2,user_type,categorical,,0.00021205263122337425,,,,,POPULATION_MIX
2025H2,source,categorical,,0.00047399755858196094,,,,,POPULATION_MIX
2025H2,channel,categorical,,0.00032453646885927866,,,,,POPULATION_MIX
2025H2,company_missing,missingness,,,,0.009474679447319667,0.04369274136715997,0.053167420814479636,MISSINGNESS_COVERAGE
2025H2,industry_missing,missingness,,,,-0.007799371171464196,0.036645525017618044,0.028846153846153848,MISSINGNESS_COVERAGE
2025H2,corridor_missing,missingness,,,,0.011689689699265635,0.07258632840028188,0.08427601809954752,MISSINGNESS_COVERAGE
2025H2,urgency_missing,missingness,,,,0.020907273301254137,0.29809725158562367,0.3190045248868778,MISSINGNESS_COVERAGE
2025H2,rent_missing,missingness,,,,-0.003117436598968737,0.3023255813953488,0.2992081447963801,MISSINGNESS_COVERAGE
2025H2,sale_missing,missingness,,,,0.024201288907171215,0.48484848484848486,0.5090497737556561,MISSINGNESS_COVERAGE
2025H2,target,prevalence,,,,0.0013556325115832712,0.19943622269203665,0.20079185520361992,TARGET_PREVALENCE
2025H2,asked,prevalence,,,,-0.00016701264991281217,0.25299506694855534,0.2528280542986425,EXPOSURE_INTENT_MIX
2026Q1,target_area,numeric,0.012187729000871284,,-0.08120326770248013,,687.8653276955599,599.3487695749443,POPULATION
2026Q1,req_area,numeric,0.02001384774614446,,-0.12710720665302952,,1354.7331923890074,1034.6123042505606,POPULATION
2026Q1,rent_budget,numeric,0.0078041765352316085,,-0.038256155409870866,,125104.47126262638,118826.60554858933,POPULATION
2026Q1,sale_budget,numeric,0.024062219231759538,,-0.09412677056917398,,22130699.745184697,19839292.853045464,POPULATION
2026Q1,message,numeric,0.02391545358887671,,0.0015639049049546107,,222.13742071881606,222.31543624161074,POPULATION
2026Q1,urgency,numeric,0.025081868462287143,,-0.017272038235072555,,118.24497991967871,116.44297520661156,POPULATION
2026Q1,first_lag,numeric,0.16380475296249497,,0.21806908467749078,,10.748089641570745,21.775315891954627,CLOCK_PROGRESS
2026Q1,iq_exposure,numeric,0.08124758568534593,,-0.26846635348461906,,4.971106412966878,4.365771812080537,CLOCK_PROGRESS
2026Q1,cand_count,numeric,1.8675280247599428,,1.2538333377335464,,21.968287526427062,46.61297539149888,COVERAGE_EXPOSURE
2026Q1,av_cov,numeric,12.520005958205651,,2.2706525942077707,,0.5403072319053582,0.999803544835464,COVERAGE_EXPOSURE
2026Q1,snap_age,numeric,2.649584836192261,,-0.5324009631416574,,23.979850746268657,19.08053691275168,COVERAGE_EXPOSURE
2026Q1,sector,categorical,,0.0002575501629405792,,,,,POPULATION_MIX
2026Q1,modality,categorical,,0.00027071670686433123,,,,,POPULATION_MIX
2026Q1,user_type,categorical,,0.0009261503009161919,,,,,POPULATION_MIX
2026Q1,source,categorical,,0.0021290031234213287,,,,,POPULATION_MIX
2026Q1,channel,categorical,,0.0005705370207825461,,,,,POPULATION_MIX
2026Q1,company_missing,missingness,,,,0.021184216127247184,0.04369274136715997,0.06487695749440715,MISSINGNESS_COVERAGE
