state,municipality,corridor,sector,months,mean_occupancy,mean_absorption_days,mean_similar_available,mean_recent_inquiries,mean_price_sqm_mxn
Chihuahua,Chihuahua,centro-chihuahua,Retail,5,0.7651999999999999,74.11999999999999,18.8,337.4,314.3
CDMX,Benito Juárez,del-valle-narvarte,Retail,5,0.819,81.06,13.2,303.4,286.096
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,6,0.7494999999999999,81.93333333333332,16.5,266.1666666666667,233.33
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,4,0.86325,82.775,14.75,312.5,364.0175
Puebla,Puebla,angelopolis-lomas,Retail,10,0.7617,84.46000000000001,13.1,308.7,314.56499999999994
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,5,0.7874000000000001,85.52000000000001,19,201.2,287.06
Querétaro,Querétaro,juriquilla-juncos,Retail,7,0.7634285714285713,86.31428571428572,14,297.7142857142857,335.67
Sonora,Hermosillo,centenario-colosio,Office,5,0.8446000000000001,86.72,18.8,287,361.392
Jalisco,Zapopan,andares-puerta-hierro,Retail,7,0.7812857142857143,87.4,16.857142857142858,188.71428571428572,309.36857142857144
Yucatán,Mérida,paseo-montejo,Retail,6,0.7601666666666667,89.14999999999999,14.166666666666666,300.6666666666667,276.14166666666665
Querétaro,Querétaro,centro-queretaro,Retail,5,0.7734,89.3,14.2,271.4,321.108
CDMX,Cuauhtémoc,roma-condesa,Retail,11,0.7755454545454544,91.27272727272727,18.545454545454547,356,300.9690909090909
Guanajuato,León,centro-leon,Retail,6,0.7585000000000001,94.96666666666665,14.666666666666666,229.66666666666666,276.6716666666667
Sonora,Hermosillo,centenario-colosio,Retail,8,0.7995,96.73750000000001,14.875,269.875,308.84375
Baja California,Tijuana,zona-rio-aguacaliente,Retail,7,0.7712857142857141,97.64285714285714,12.857142857142858,336.57142857142856,268.3457142857143
Estado de México,Toluca,metepec-toluca,Retail,6,0.7678333333333334,101.11666666666667,13.166666666666666,320.8333333333333,219.20166666666668
Chihuahua,Chihuahua,centro-chihuahua,Office,7,0.8047142857142857,102.88571428571427,19.285714285714285,317.85714285714283,364.13
Nuevo León,Monterrey,macroplaza,Retail,7,0.7698571428571429,103.60000000000001,17,271.2857142857143,284.34714285714284
Jalisco,Guadalajara,americana-chapultepec,Retail,9,0.7872222222222222,105.25555555555555,18.88888888888889,249.33333333333334,256.03333333333336
Nuevo León,Monterrey,macroplaza,Office,3,0.8206666666666665,108.40000000000002,21.666666666666668,229,356.2833333333333
Baja California,Tijuana,zona-rio-aguacaliente,Office,12,0.8251666666666667,108.43333333333334,14.166666666666666,289.1666666666667,341.5441666666666
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,9,0.8057777777777777,109.22222222222223,19.11111111111111,174.44444444444446,403.0055555555556
Querétaro,Querétaro,centro-queretaro,Office,9,0.8366666666666666,109.26666666666668,13.88888888888889,251.77777777777777,388.9688888888889
CDMX,Miguel Hidalgo,polanco,Retail,8,0.7641249999999999,110.1875,17.625,319,258.12125000000003
Estado de México,Toluca,metepec-toluca,Office,11,0.8242727272727273,113.91818181818181,14.909090909090908,312.90909090909093,306.7418181818182
Guanajuato,León,centro-leon,Office,5,0.8206,114.54,20.6,343,368.19399999999996
CDMX,Benito Juárez,del-valle-narvarte,Office,10,0.8229,119.42999999999999,18,292.5,352.04400000000004
Puebla,Puebla,angelopolis-lomas,Office,8,0.840375,126.48749999999998,11.25,296,371.475
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,5,0.8436,127.88,15,277,321.78599999999994
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,7,0.7675714285714285,131.70000000000002,14,242.57142857142858,302.34857142857146
Jalisco,Zapopan,andares-puerta-hierro,Office,8,0.8373750000000001,131.76250000000002,15.25,227.125,318.02
Jalisco,Guadalajara,americana-chapultepec,Office,6,0.8281666666666667,137.06666666666666,14.666666666666666,216.33333333333334,351.40000000000003
Querétaro,Querétaro,juriquilla-juncos,Office,9,0.8072222222222223,137.07777777777778,18.333333333333332,300.55555555555554,386.76888888888897
CDMX,Cuauhtémoc,roma-condesa,Office,5,0.8274000000000001,138.08,20.6,268.6,369.454
Guanajuato,León,centro-leon,Industrial,7,0.8671428571428571,140.04285714285714,14,215.71428571428572,135.87714285714284
CDMX,Miguel Hidalgo,polanco,Office,7,0.8311428571428573,142.45714285714286,18,229.42857142857142,365.90285714285716
Yucatán,Mérida,paseo-montejo,Office,5,0.8394,146.6,16.2,302.4,374.83599999999996
Chihuahua,Chihuahua,centro-chihuahua,Industrial,6,0.8484999999999999,147.26666666666665,12,192,141.92999999999998
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,9,0.8670000000000001,149.77777777777777,13.11111111111111,338.55555555555554,132.2711111111111
Nuevo León,Monterrey,macroplaza,Industrial,7,0.8962857142857142,152.5,17.714285714285715,387,143.37285714285716
Sonora,Hermosillo,centenario-colosio,Industrial,11,0.8919999999999999,153.03636363636363,17,288.09090909090907,133.8390909090909
CDMX,Cuauhtémoc,roma-condesa,Industrial,6,0.8778333333333334,155.6333333333333,16.166666666666668,274.6666666666667,150.62833333333336
Querétaro,Querétaro,centro-queretaro,Industrial,8,0.866875,155.7875,14.625,236,162.49625
Jalisco,Guadalajara,americana-chapultepec,Industrial,5,0.8674,161.92,21,307.2,129.482
CDMX,Benito Juárez,del-valle-narvarte,Industrial,7,0.8751428571428572,164.8857142857143,16.857142857142858,278.14285714285717,119.84714285714287
Querétaro,Querétaro,juriquilla-juncos,Industrial,4,0.90325,169.025,14.75,309,155.4375
