dimension,segment,n,positive,proxy_rate
search_sector,Retail,1328,257,0.19352409638554216
search_sector,Office,1282,227,0.17706708268330734
search_sector,Industrial,1084,264,0.24354243542435425
search_sector,Land,674,142,0.21068249258160238
search_modality,rent,2185,439,0.20091533180778032
search_modality,sale,1306,264,0.20214395099540583
search_modality,both,877,187,0.21322690992018245
user_type,tenant_direct,1722,362,0.21022067363530778
user_type,broker,1560,308,0.19743589743589743
user_type,investor,868,171,0.19700460829493088
user_type,developer,218,49,0.22477064220183487
source,organic,1278,257,0.20109546165884193
source,paid,1076,223,0.20724907063197026
source,referral,898,176,0.19599109131403117
source,social,472,107,0.2266949152542373
source,email,424,85,0.20047169811320756
source,event,220,42,0.19090909090909092
channel,web,1268,272,0.21451104100946372
channel,app,1118,233,0.20840787119856888
channel,whatsapp,1082,211,0.19500924214417745
channel,email,666,132,0.1981981981981982
channel,phone,234,42,0.1794871794871795
