family,value,n,share
sector,Retail,1328,0.304029304029304
sector,Office,1282,0.2934981684981685
sector,Industrial,1084,0.24816849816849818
sector,Land,674,0.1543040293040293
modality,rent,2185,0.5002289377289377
modality,sale,1306,0.298992673992674
modality,both,877,0.2007783882783883
user_type,tenant_direct,1722,0.3942307692307692
user_type,broker,1560,0.35714285714285715
user_type,investor,868,0.1987179487179487
user_type,developer,218,0.04990842490842491
company_size,medium,1451,0.3321886446886447
company_size,large,1075,0.24610805860805862
company_size,small,1018,0.23305860805860806
company_size,enterprise,600,0.13736263736263737
company_size,MISSING,224,0.05128205128205128
industry,retail,1069,0.24473443223443223
industry,technology,836,0.19139194139194138
industry,manufacturing,607,0.13896520146520147
industry,logistics,459,0.10508241758241758
industry,financial,452,0.10347985347985347
industry,healthcare,407,0.09317765567765568
industry,other,403,0.09226190476190477
industry,MISSING,135,0.030906593406593408
source,organic,1278,0.2925824175824176
source,paid,1076,0.24633699633699635
source,referral,898,0.20558608058608058
source,social,472,0.10805860805860806
source,email,424,0.09706959706959707
source,event,220,0.05036630036630037
preferred_state,Estado de México,622,0.1423992673992674
preferred_state,CDMX,593,0.13576007326007325
preferred_state,Jalisco,531,0.12156593406593406
preferred_state,Yucatán,372,0.08516483516483517
preferred_state,Querétaro,368,0.08424908424908426
preferred_state,Puebla,358,0.08195970695970696
preferred_state,Guanajuato,354,0.08104395604395605
preferred_state,Nuevo León,344,0.07875457875457875
preferred_state,Sonora,218,0.04990842490842491
preferred_state,Chihuahua,208,0.047619047619047616
preferred_state,San Luis Potosí,208,0.047619047619047616
preferred_state,Baja California,192,0.04395604395604396
first_inquiry_channel,web,1268,0.2902930402930403
first_inquiry_channel,app,1118,0.25595238095238093
first_inquiry_channel,whatsapp,1082,0.24771062271062272
first_inquiry_channel,email,666,0.15247252747252749
first_inquiry_channel,phone,234,0.05357142857142857
