prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L910:T2:I4089,910,T2,2026-06-08T13:00:00.000Z,56,24,0,31,1
L911:T0,911,T0,2025-05-20T00:00:00.000Z,21,10,11,0,0
L911:T1:I4098,911,T1,2025-05-21T15:07:46.000Z,22,10,11,0,1
L911:T2:I4094,911,T2,2025-05-25T13:03:13.000Z,22,10,11,0,1
L911:T2:I4097,911,T2,2025-05-29T12:07:33.000Z,22,10,11,0,1
L911:T2:I4093,911,T2,2025-12-11T11:25:00.000Z,30,13,16,0,1
L911:T2:I4095,911,T2,2026-01-27T14:17:00.000Z,32,13,18,0,1
L911:T2:I4096,911,T2,2026-03-27T14:51:00.000Z,33,14,18,0,1
L911:T2:I4092,911,T2,2026-06-02T07:23:00.000Z,41,18,22,0,1
L912:T0,912,T0,2026-04-04T00:00:00.000Z,53,28,0,25,0
L912:T1:I4100,912,T1,2026-04-05T11:28:44.000Z,54,28,0,25,1
L912:T2:I4099,912,T2,2026-04-09T16:37:10.000Z,54,28,0,25,1
L912:T2:I4103,912,T2,2026-04-16T08:39:32.000Z,54,28,0,25,1
L912:T2:I4102,912,T2,2026-04-16T14:26:29.000Z,54,28,0,25,1
L912:T2:I4101,912,T2,2026-04-17T17:13:16.000Z,54,28,0,25,1
L913:T0,913,T0,2025-10-27T00:00:00.000Z,28,28,0,0,0
L913:T1:I4104,913,T1,2025-11-10T14:58:00.000Z,29,28,0,0,1
L914:T0,914,T0,2025-04-23T00:00:00.000Z,28,8,0,20,0
L914:T1:I4107,914,T1,2025-05-06T19:40:45.000Z,31,8,0,22,1
L914:T2:I4106,914,T2,2026-03-18T18:42:00.000Z,74,26,0,47,1
L914:T2:I4105,914,T2,2026-04-21T12:42:00.000Z,80,29,0,50,1
L915:T0,915,T0,2026-06-20T00:00:00.000Z,18,18,0,0,0
L915:T1:I4111,915,T1,2026-06-21T16:08:39.000Z,19,18,0,0,1
