prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L4520:T2:I20483,4520,T2,2025-09-19T19:37:01.000Z,87,33,0,53,1
L4520:T2:I20481,4520,T2,2025-09-20T13:26:03.000Z,87,33,0,53,1
L4520:T2:I20480,4520,T2,2026-05-19T12:50:00.000Z,142,52,0,89,1
L4521:T0,4521,T0,2026-01-30T00:00:00.000Z,57,30,0,27,0
L4521:T1:I20486,4521,T1,2026-02-03T12:39:50.000Z,59,31,0,27,1
L4521:T2:I20485,4521,T2,2026-02-05T12:53:20.000Z,59,31,0,27,1
L4521:T2:I20484,4521,T2,2026-02-09T11:12:15.000Z,59,32,0,27,0
L4522:T0,4522,T0,2025-02-13T00:00:00.000Z,9,9,0,0,0
L4522:T1:I20489,4522,T1,2025-02-17T13:16:02.000Z,10,9,0,0,1
L4522:T2:I20487,4522,T2,2025-02-26T18:57:25.000Z,11,10,0,0,1
L4522:T2:I20491,4522,T2,2025-07-06T09:21:00.000Z,12,11,0,0,1
L4522:T2:I20492,4522,T2,2025-08-03T13:53:00.000Z,14,13,0,0,1
L4522:T2:I20490,4522,T2,2025-10-08T13:02:00.000Z,15,14,0,0,1
L4522:T2:I20488,4522,T2,2026-01-20T10:35:00.000Z,17,16,0,0,1
L4523:T0,4523,T0,2026-04-17T00:00:00.000Z,83,47,0,36,0
L4523:T1:I20498,4523,T1,2026-04-17T16:14:15.000Z,83,47,0,36,0
L4523:T2:I20496,4523,T2,2026-04-17T17:14:20.000Z,84,47,0,36,1
L4523:T2:I20497,4523,T2,2026-04-18T11:32:36.000Z,84,47,0,36,1
L4523:T2:I20494,4523,T2,2026-04-20T07:57:05.000Z,84,47,0,36,1
L4523:T2:I20499,4523,T2,2026-04-20T11:20:19.000Z,84,47,0,36,1
L4523:T2:I20495,4523,T2,2026-04-24T14:37:10.000Z,84,47,0,36,1
L4523:T2:I20493,4523,T2,2026-04-29T10:49:14.000Z,84,47,0,36,1
L4524:T0,4524,T0,2025-04-15T00:00:00.000Z,20,20,0,0,0
L4524:T1:I20501,4524,T1,2025-04-24T18:49:07.000Z,22,21,0,0,1
L4524:T2:I20504,4524,T2,2025-04-24T18:53:48.000Z,22,21,0,0,1
L4524:T2:I20502,4524,T2,2025-04-27T07:26:21.000Z,21,21,0,0,0
L4524:T2:I20500,4524,T2,2025-08-28T19:49:00.000Z,28,27,0,0,1
L4524:T2:I20503,4524,T2,2026-01-02T19:22:00.000Z,36,35,0,0,1
L4525:T0,4525,T0,2025-09-15T00:00:00.000Z,16,16,0,0,0
L4525:T1:I20511,4525,T1,2025-09-16T09:39:13.000Z,17,16,0,0,1
L4525:T2:I20505,4525,T2,2025-09-16T19:23:01.000Z,17,16,0,0,1
L4525:T2:I20506,4525,T2,2025-09-17T07:27:09.000Z,17,16,0,0,1
L4525:T2:I20509,4525,T2,2025-09-19T08:23:00.000Z,16,16,0,0,0
L4525:T2:I20508,4525,T2,2025-09-19T15:19:55.000Z,17,16,0,0,1
