prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L1815:T0,1815,T0,2026-01-05T00:00:00.000Z,7,7,0,0,0
L1815:T1:I8187,1815,T1,2026-01-17T13:08:57.000Z,9,8,0,0,1
L1816:T0,1816,T0,2025-05-31T00:00:00.000Z,39,20,0,19,0
L1816:T1:I8192,1816,T1,2025-06-24T13:08:00.000Z,41,20,0,20,1
L1816:T2:I8191,1816,T2,2025-06-30T08:23:00.000Z,41,20,0,20,1
L1816:T2:I8188,1816,T2,2025-07-21T15:34:00.000Z,46,25,0,21,0
L1816:T2:I8190,1816,T2,2025-07-24T15:17:00.000Z,47,25,0,21,1
L1816:T2:I8189,1816,T2,2025-08-18T19:11:00.000Z,48,26,0,21,1
L1816:T2:I8195,1816,T2,2025-10-26T19:01:00.000Z,54,29,0,24,1
L1816:T2:I8193,1816,T2,2025-11-07T16:16:00.000Z,54,29,0,24,1
L1816:T2:I8194,1816,T2,2025-12-07T10:48:00.000Z,55,30,0,24,1
L1817:T0,1817,T0,2025-06-12T00:00:00.000Z,26,6,0,20,0
L1817:T1:I8198,1817,T1,2025-06-14T16:02:29.000Z,27,6,0,20,1
L1817:T2:I8197,1817,T2,2025-07-07T18:40:00.000Z,27,7,0,20,0
L1817:T2:I8203,1817,T2,2025-08-19T19:05:00.000Z,36,8,0,27,1
L1817:T2:I8200,1817,T2,2025-10-18T07:24:00.000Z,43,12,0,30,1
L1817:T2:I8202,1817,T2,2026-01-27T20:13:00.000Z,48,14,0,33,1
L1817:T2:I8201,1817,T2,2026-02-16T16:50:00.000Z,49,14,0,35,0
L1817:T2:I8196,1817,T2,2026-03-14T17:58:00.000Z,53,15,0,37,1
L1817:T2:I8199,1817,T2,2026-06-11T10:14:00.000Z,60,16,0,43,1
L1818:T0,1818,T0,2025-02-07T00:00:00.000Z,26,12,0,14,0
L1818:T1:I8211,1818,T1,2025-02-14T08:16:31.000Z,28,13,0,14,1
L1818:T2:I8206,1818,T2,2025-02-15T10:40:27.000Z,28,13,0,14,1
L1818:T2:I8204,1818,T2,2025-04-29T10:38:00.000Z,37,19,0,17,1
L1818:T2:I8210,1818,T2,2025-11-22T12:31:00.000Z,65,37,0,27,1
L1818:T2:I8205,1818,T2,2026-01-19T09:53:00.000Z,71,41,0,29,1
L1818:T2:I8208,1818,T2,2026-02-02T12:05:00.000Z,72,42,0,29,1
L1818:T2:I8209,1818,T2,2026-03-15T11:13:00.000Z,80,45,0,34,1
L1818:T2:I8207,1818,T2,2026-06-07T19:27:00.000Z,90,51,0,38,1
L1819:T0,1819,T0,2025-09-24T00:00:00.000Z,11,11,0,0,0
L1819:T1:I8213,1819,T1,2025-10-05T19:40:31.000Z,12,11,0,0,1
L1819:T2:I8214,1819,T2,2026-02-13T11:12:00.000Z,16,15,0,0,1
L1819:T2:I8215,1819,T2,2026-03-23T11:03:00.000Z,17,16,0,0,1
L1819:T2:I8212,1819,T2,2026-06-06T09:55:00.000Z,21,20,0,0,1
L1820:T0,1820,T0,2026-04-16T00:00:00.000Z,76,35,0,41,0
L1820:T1:I8216,1820,T1,2026-04-27T08:40:12.000Z,80,36,0,43,1
L1820:T2:I8217,1820,T2,2026-04-27T16:30:02.000Z,80,36,0,43,1
L1821:T0,1821,T0,2026-05-14T00:00:00.000Z,64,33,31,0,0
L1821:T1:I8223,1821,T1,2026-05-14T19:35:28.000Z,65,33,31,0,1
L1821:T2:I8218,1821,T2,2026-05-15T16:14:44.000Z,65,33,31,0,1
L1821:T2:I8220,1821,T2,2026-05-16T11:29:40.000Z,65,33,31,0,1
L1821:T2:I8222,1821,T2,2026-05-20T10:53:28.000Z,66,33,32,0,1
L1821:T2:I8221,1821,T2,2026-05-25T12:57:13.000Z,66,33,32,0,1
L1821:T2:I8224,1821,T2,2026-05-26T17:51:11.000Z,66,33,32,0,1
L1821:T2:I8219,1821,T2,2026-05-27T14:46:03.000Z,65,33,32,0,0
L1822:T0,1822,T0,2025-12-16T00:00:00.000Z,35,15,0,20,0
L1822:T1:I8225,1822,T1,2025-12-20T14:18:15.000Z,36,15,0,20,1
L1823:T0,1823,T0,2025-05-02T00:00:00.000Z,20,7,13,0,0
L1823:T1:I8227,1823,T1,2025-05-12T12:27:58.000Z,21,7,13,0,1
L1823:T2:I8226,1823,T2,2025-07-14T16:59:00.000Z,28,12,15,0,1
L1823:T2:I8228,1823,T2,2025-12-30T11:15:00.000Z,43,18,24,0,1
L1824:T0,1824,T0,2025-04-02T00:00:00.000Z,16,8,0,8,0
L1824:T1:I8231,1824,T1,2025-04-04T13:21:16.000Z,17,8,0,8,1
L1824:T2:I8229,1824,T2,2025-04-05T16:49:45.000Z,17,8,0,8,1
L1824:T2:I8230,1824,T2,2025-05-10T10:27:00.000Z,18,9,0,8,1
L1824:T2:I8232,1824,T2,2026-05-12T11:51:00.000Z,39,20,0,18,1
