prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L2703:T0,2703,T0,2025-04-04T00:00:00.000Z,13,0,13,0,0
L2703:T1:I12300,2703,T1,2025-04-07T07:14:49.000Z,14,0,13,0,1
L2703:T2:I12303,2703,T2,2025-04-15T20:59:27.000Z,15,0,14,0,1
L2703:T2:I12299,2703,T2,2025-04-28T11:15:00.000Z,15,0,14,0,1
L2703:T2:I12304,2703,T2,2025-07-05T20:54:00.000Z,20,0,19,0,1
L2703:T2:I12301,2703,T2,2025-11-12T20:13:00.000Z,25,0,24,0,1
L2703:T2:I12302,2703,T2,2026-04-05T07:10:00.000Z,30,0,29,0,1
L2704:T0,2704,T0,2025-07-30T00:00:00.000Z,8,8,0,0,0
L2704:T1:I12305,2704,T1,2025-10-22T09:01:00.000Z,11,10,0,0,1
L2705:T0,2705,T0,2025-04-14T00:00:00.000Z,21,9,12,0,0
L2705:T1:I12306,2705,T1,2025-04-27T19:52:52.000Z,22,9,13,0,0
L2706:T0,2706,T0,2025-02-19T00:00:00.000Z,17,17,0,0,0
L2706:T1:I12309,2706,T1,2025-02-25T10:01:21.000Z,18,17,0,0,1
L2706:T2:I12310,2706,T2,2025-06-06T11:35:00.000Z,25,24,0,0,1
L2706:T2:I12307,2706,T2,2025-07-12T07:20:00.000Z,26,25,0,0,1
L2706:T2:I12311,2706,T2,2026-01-12T20:03:00.000Z,36,35,0,0,1
L2706:T2:I12308,2706,T2,2026-05-18T18:54:00.000Z,40,39,0,0,1
L2707:T0,2707,T0,2025-11-21T00:00:00.000Z,37,16,0,21,0
L2707:T1:I12315,2707,T1,2025-11-22T10:45:25.000Z,39,16,0,22,1
L2707:T2:I12314,2707,T2,2025-11-28T15:16:50.000Z,40,17,0,22,1
L2707:T2:I12312,2707,T2,2026-03-16T08:20:00.000Z,47,20,0,26,1
L2707:T2:I12313,2707,T2,2026-06-24T17:54:00.000Z,52,24,0,28,0
L2708:T0,2708,T0,2025-02-06T00:00:00.000Z,25,13,0,12,0
L2708:T1:I12317,2708,T1,2025-02-18T09:50:14.000Z,28,15,0,12,1
L2708:T2:I12318,2708,T2,2025-04-06T07:41:00.000Z,32,18,0,13,1
L2708:T2:I12316,2708,T2,2026-06-28T19:09:00.000Z,80,41,0,38,1
L2709:T0,2709,T0,2026-06-24T00:00:00.000Z,25,25,0,0,0
L2709:T1:I12321,2709,T1,2026-06-24T07:17:40.000Z,26,25,0,0,1
L2709:T2:I12323,2709,T2,2026-06-25T09:51:00.000Z,26,25,0,0,1
L2709:T2:I12319,2709,T2,2026-06-30T15:21:40.000Z,26,25,0,0,1
L2709:T2:I12324,2709,T2,2026-07-02T08:05:06.000Z,26,25,0,0,1
L2709:T2:I12325,2709,T2,2026-07-02T11:10:43.000Z,26,25,0,0,1
