broker_id,spots,inquiries,scheduled_visits,scheduled_visit_share
297,17,147,30,0.20408163265306123
203,15,146,33,0.22602739726027396
52,15,142,23,0.1619718309859155
216,17,137,18,0.13138686131386862
73,16,131,20,0.15267175572519084
218,16,128,24,0.1875
251,18,128,32,0.25
151,15,126,19,0.15079365079365079
10,15,125,20,0.16
64,17,125,29,0.232
200,14,123,28,0.22764227642276422
259,17,123,21,0.17073170731707318
39,15,121,25,0.2066115702479339
133,16,121,21,0.17355371900826447
171,17,120,31,0.25833333333333336
256,14,119,21,0.17647058823529413
38,16,117,23,0.19658119658119658
148,16,117,12,0.10256410256410256
142,15,116,25,0.21551724137931033
33,14,115,30,0.2608695652173913
190,14,115,22,0.19130434782608696
194,17,115,29,0.25217391304347825
210,17,115,23,0.2
233,12,115,25,0.21739130434782608
295,12,115,19,0.16521739130434782
51,13,114,26,0.22807017543859648
122,12,112,21,0.1875
174,14,112,24,0.21428571428571427
178,12,112,22,0.19642857142857142
36,11,111,25,0.22522522522522523
160,16,111,31,0.27927927927927926
81,14,110,18,0.16363636363636364
100,12,107,20,0.18691588785046728
154,15,107,16,0.14953271028037382
25,13,106,20,0.18867924528301888
57,10,106,17,0.16037735849056603
282,14,106,23,0.2169811320754717
294,15,105,23,0.21904761904761905
28,13,104,18,0.17307692307692307
41,14,104,28,0.2692307692307692
212,16,104,20,0.19230769230769232
3,12,103,20,0.1941747572815534
132,12,103,29,0.2815533980582524
280,12,103,26,0.2524271844660194
70,14,102,21,0.20588235294117646
225,13,102,17,0.16666666666666666
278,14,102,23,0.22549019607843138
234,13,101,12,0.1188118811881188
106,16,100,17,0.17
140,12,100,16,0.16
9,12,99,26,0.26262626262626265
115,15,99,22,0.2222222222222222
37,13,98,17,0.17346938775510204
43,12,98,23,0.23469387755102042
145,13,98,20,0.20408163265306123
177,12,98,22,0.22448979591836735
184,12,98,17,0.17346938775510204
257,10,98,18,0.1836734693877551
49,13,97,18,0.18556701030927836
230,12,97,15,0.15463917525773196
113,11,96,16,0.16666666666666666
79,13,95,28,0.29473684210526313
90,11,95,15,0.15789473684210525
173,13,95,19,0.2
237,11,95,16,0.16842105263157894
120,16,94,12,0.1276595744680851
161,12,94,19,0.20212765957446807
179,12,94,18,0.19148936170212766
244,10,94,18,0.19148936170212766
