dimension,segment,n,proxy_positive_rate
channel,app,1228,0.4568403908794788
channel,email,719,0.4561891515994437
channel,phone,253,0.4308300395256917
channel,web,1397,0.4523979957050823
channel,whatsapp,1197,0.4218880534670008
asked_visit,false,3605,0.44133148404993067
asked_visit,true,1189,0.4575273338940286
first_inquiry_lag_bucket,<1d,840,0.5678571428571428
first_inquiry_lag_bucket,>=30d,413,0.2542372881355932
first_inquiry_lag_bucket,1-3d,1240,0.5112903225806451
first_inquiry_lag_bucket,3-7d,1370,0.4591240875912409
first_inquiry_lag_bucket,7-30d,931,0.31149301825993553
urgency_bucket,<=30d,709,0.4414668547249647
urgency_bucket,>180d,901,0.4339622641509434
urgency_bucket,31-90d,1296,0.46064814814814814
urgency_bucket,91-180d,398,0.4547738693467337
urgency_bucket,missing,1490,0.438255033557047
search_sector,Industrial,1195,0.45271966527196655
search_sector,Land,746,0.4571045576407507
search_sector,Office,1394,0.42754662840746055
search_sector,Retail,1459,0.45030843043180263
search_modality,both,970,0.4608247422680412
search_modality,rent,2388,0.440536013400335
search_modality,sale,1436,0.4428969359331476
user_type,broker,1736,0.4475806451612903
user_type,developer,234,0.4188034188034188
user_type,investor,961,0.4464099895941727
user_type,tenant_direct,1863,0.44605475040257647
