table,column,n,missing_rate,mean,std,min,p01,p05,p25,median,p75,p95,p99,max
leads,lead_id,5000,0,2500.5,1443.5200033252052,1,50.99,250.95000000000002,1250.75,2500.5,3750.25,4750.05,4950.01,5000
leads,target_area_sqm,5000,0,637.9529999999999,1082.2915109719497,31.1,74.393,118.69000000000001,244.275,393.4,643.75,1479.4600000000005,7664.551000000025,9961.5
leads,min_budget_mxn_rent_monthly,3392,0.3216,93519.74058372635,96927.6286627061,2476.59,5691.664500000001,10273.2535,32831.8425,67461.455,119904.5,273207.04449999996,435401.6649000007,2206712.28
leads,max_budget_mxn_rent_monthly,3510,0.298,134228.03132193725,167591.53552317584,2777.45,7055.6912,13604.697,42858.195,88575.73499999999,164342.95500000002,411910.1564999995,738119.0027999997,3141759.69
leads,min_budget_mxn_sale_total,2407,0.5186,17035750.93746161,16442653.72083344,449617.17,871792.412,1869287.9660000002,6031749.074999999,12108680.42,22394743.33,50208551.18599998,81715560.28300002,124540633.25
leads,max_budget_mxn_sale_total,2497,0.5006,24282927.79865835,28455528.654945757,512810.67,1169932.1636,2435538.3680000002,7997741.88,16166057.03,30337950.81,74329534.23599999,129545983.36159995,385519956.28
leads,prior_searches,5000,0,7.4322,13.496586039697272,0,0,0,0,2,7,44,57,60
leads,prior_inquiries,5000,0,11.84,27.889509944654474,0,0,0,0,1,7,78,145.01000000000022,199
leads,has_converted_before,5000,0,0.1312,0.3376527237745414,0,0,0,0,0,0,1,1,1
leads,lead_score_internal,5000,0,0.5462136800000003,0.2894549777110118,0,0.004899,0.08179499999999999,0.30565000000000003,0.556,0.7944249999999999,1,1,1
inquiries,inquiry_id,22576,0,11288.5,6517.2741745814765,1,226.75,1129.75,5644.75,11288.5,16932.25,21447.25,22350.25,22576
inquiries,lead_id,22576,0,2490.0471296952514,1436.6276830191637,1,50.75,264,1242.75,2482,3733,4744,4948,5000
inquiries,spot_id,22576,0,1503.6306254429483,864.9850725137157,1,27,155,753.75,1503,2251,2855,2972,3000
inquiries,message_length,22576,0,225.2656360737066,118.55570558106207,24,61,87,143,200,280,450,623,1450
inquiries,requested_area_sqm,22576,0,1219.4747253720723,2459.500323620587,35.5,89.35000000000001,100.7,246,484.3,1075.6999999999998,4898.3,12773.8,40920.9
inquiries,requested_budget_mxn_rent_monthly,15905,0.2954907866761162,121496.36666142772,156592.4648996015,2241.95,5979.018,11728.178,37877.53,79418.29,147231.3,371536.34,708649.6755999933,3141759.69
inquiries,requested_budget_mxn_sale_total,11311,0.4989812189936215,21500322.702343754,25607490.08546515,373190.77,1031434.2520000001,2183807.55,7164314.045,14454449.31,26509969.335,63853905.74,120797996.4,385519956.28
inquiries,urgency_days,15658,0.30643160878809356,117.37188657555244,104.33807806529586,1,2,7,36,75,189,330,357,364
inquiries,asked_visit,22576,0,0.2513731396172927,0.43381219470334276,0,0,0,0,0,1,1,1,1
inquiries,broker_response_hours,19178,0.15051381998582566,12.089628741266079,12.092921566054509,0.5,0.5,0.6,3.5,8.4,16.6,36.6,56.4,108.9
spots,spot_id,3000,0,1500.5,866.1697293256098,1,30.990000000000002,150.95000000000002,750.75,1500.5,2250.25,2850.0499999999997,2970.0099999999998,3000
spots,broker_id,3000,0,151.175,85.77881465343118,1,4,17,77,151,225,285,297,300
spots,lat,3000,0,22.464054156000014,3.8676664909578093,19.013025,19.02600326,19.2483603,19.43754875,20.711683999999998,25.656761499999998,29.0900798,32.521965609999995,32.534772
spots,lon,3000,0,-101.5193794653332,5.391263804514014,-117.062907,-117.04584507,-110.9763556,-103.37509275000001,-100.376022,-99.1907095,-89.62707350000001,-89.60665579,-89.594228
spots,area_sqm,3000,0,3451.743700000005,8292.957664867856,20,20,27.89,125.275,617.2,3075.025,15562.244999999983,42220.652999999926,136403
spots,price_sqm_mxn_rent,2239,0.25366666666666665,232.20088432335857,144.58159683192915,15,18.261799999999997,30.53,112.755,216.62,329.56,484.313,632.6999999999996,833
