corridor,leads,spots,latest_available_spots,leads_per_available_spot
paseo-montejo,394,179,120,3.283333333333333
<MISSING>,380,0,0,
centro-leon,379,172,91,4.164835164835165
angelopolis-lomas,364,132,82,4.439024390243903
metepec-toluca,326,152,90,3.6222222222222222
lomas-verdes-satelite,306,170,109,2.8073394495412844
americana-chapultepec,290,170,113,2.566371681415929
andares-puerta-hierro,285,176,102,2.7941176470588234
centro-chihuahua,227,177,100,2.27
centenario-colosio,224,164,92,2.4347826086956523
lomas-carranza,223,155,91,2.4505494505494507
del-valle-narvarte,221,168,99,2.2323232323232323
roma-condesa,207,180,106,1.9528301886792452
zona-rio-aguacaliente,205,148,92,2.2282608695652173
polanco,205,179,105,1.9523809523809523
juriquilla-juncos,200,168,110,1.8181818181818181
centro-queretaro,195,156,92,2.119565217391304
macroplaza,194,167,92,2.108695652173913
vasconcelos-calzada,175,187,121,1.4462809917355373
