lead_month,n,proxy_positive_rate
2025-01,293,0.20136518771331058
2025-02,261,0.21839080459770116
2025-03,237,0.3080168776371308
2025-04,270,0.3814814814814815
2025-05,302,0.36423841059602646
2025-06,297,0.367003367003367
2025-07,266,0.37218045112781956
2025-08,263,0.42585551330798477
2025-09,271,0.4317343173431734
2025-10,315,0.41904761904761906
2025-11,257,0.41245136186770426
2025-12,312,0.46153846153846156
2026-01,298,0.5201342281879194
2026-02,253,0.5335968379446641
2026-03,277,0.5342960288808665
2026-04,262,0.5267175572519084
2026-05,281,0.5765124555160143
2026-06,121,0.5454545454545454
