source,column,canonical_dtype,parquet_physical_type,row_count,non_null_count,missing_count,missing_rate,distinct_count,is_pk,fk
leads,lead_id,INT64,INT64,5000,5000,0,0,5000,true,
leads,user_type,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,4,false,
leads,company_size,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,4743,257,0.0514,4,false,
leads,industry,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,4849,151,0.0302,7,false,
leads,search_sector,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,4,false,
leads,search_modality,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,3,false,
leads,target_area_sqm,FLOAT64,FLOAT64,5000,5000,0,0,3869,false,
leads,min_budget_mxn_rent_monthly,FLOAT64,FLOAT64,5000,3392,1608,0.3216,3392,false,
leads,max_budget_mxn_rent_monthly,FLOAT64,FLOAT64,5000,3510,1490,0.298,3508,false,
leads,min_budget_mxn_sale_total,FLOAT64,FLOAT64,5000,2407,2593,0.5186,2407,false,
leads,max_budget_mxn_sale_total,FLOAT64,FLOAT64,5000,2497,2503,0.5006,2497,false,
leads,preferred_state,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,12,false,
leads,preferred_municipality,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,17,false,
leads,preferred_corridor,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,4620,380,0.076,18,false,
leads,source,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,5000,5000,0,0,6,false,
leads,prior_searches,INT64,INT64,5000,5000,0,0,61,false,
leads,prior_inquiries,INT64,INT64,5000,5000,0,0,160,false,
leads,has_converted_before,BOOLEAN,BOOLEAN,5000,5000,0,0,2,false,
leads,lead_score_internal,FLOAT64,FLOAT64,5000,5000,0,0,3683,false,
leads,created_at,DATETIME_UTC,STRING/BYTE_ARRAY,5000,5000,0,0,545,false,
inquiries,inquiry_id,INT64,INT64,22576,22576,0,0,22576,true,
inquiries,lead_id,INT64,INT64,22576,22576,0,0,5000,false,leads.lead_id
inquiries,spot_id,INT64,INT64,22576,22576,0,0,2998,false,spots.spot_id
inquiries,inquiry_at,DATETIME_UTC,STRING/BYTE_ARRAY,22576,22576,0,0,22442,false,
inquiries,channel,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,22576,22576,0,0,5,false,
inquiries,message_length,INT64,INT64,22576,22576,0,0,747,false,
inquiries,requested_area_sqm,FLOAT64,FLOAT64,22576,22576,0,0,7500,false,
inquiries,requested_budget_mxn_rent_monthly,FLOAT64,FLOAT64,22576,15905,6671,0.2954907866761162,14252,false,
inquiries,requested_budget_mxn_sale_total,FLOAT64,FLOAT64,22576,11311,11265,0.4989812189936215,10176,false,
inquiries,urgency_days,INT64,INT64,22576,15658,6918,0.30643160878809356,363,false,
inquiries,asked_visit,BOOLEAN,BOOLEAN,22576,22576,0,0,2,false,
inquiries,broker_response,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,22576,22576,0,0,4,false,
inquiries,broker_response_hours,FLOAT64,FLOAT64,22576,19178,3398,0.15051381998582566,676,false,
spots,spot_id,INT64,INT64,3000,3000,0,0,3000,true,
spots,broker_id,INT64,INT64,3000,3000,0,0,300,false,
spots,sector_name,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,4,false,
spots,type_name,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,2,false,
spots,state,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,12,false,
spots,municipality,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,17,false,
spots,settlement,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,15,false,
spots,corridor,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,18,false,
spots,region,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,9,false,
spots,lat,FLOAT64,FLOAT64,3000,3000,0,0,2990,false,
spots,lon,FLOAT64,FLOAT64,3000,3000,0,0,2983,false,
spots,title,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,1245,false,
spots,description,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,856,false,
spots,area_sqm,FLOAT64,FLOAT64,3000,3000,0,0,2610,false,
spots,price_sqm_mxn_rent,FLOAT64,FLOAT64,3000,2239,761,0.25366666666666665,2066,false,
spots,price_sqm_mxn_sale,FLOAT64,FLOAT64,3000,1808,1192,0.3973333333333333,1808,false,
spots,price_total_mxn_rent,FLOAT64,FLOAT64,3000,2239,761,0.25366666666666665,2239,false,
spots,price_total_mxn_sale,FLOAT64,FLOAT64,3000,1808,1192,0.3973333333333333,1808,false,
spots,maintenance_cost_mxn,FLOAT64,FLOAT64,3000,2239,761,0.25366666666666665,2236,false,
spots,modality,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,3,false,
spots,days_on_market,INT64,INT64,3000,3000,0,0,426,false,
spots,total_inquiries,INT64,INT64,3000,3000,0,0,36,false,
spots,total_views,INT64,INT64,3000,3000,0,0,393,false,
spots,is_active,BOOLEAN,BOOLEAN,3000,3000,0,0,2,false,
spots,created_at,DATETIME_UTC,STRING/BYTE_ARRAY,3000,3000,0,0,858,false,
spot_attributes,spot_id,INT64,INT64,3000,3000,0,0,3000,true,spots.spot_id
spot_attributes,natural_light,BOOLEAN,BOOLEAN,3000,3000,0,0,2,false,
spot_attributes,luminaires,INT64,INT64,3000,3000,0,0,41,false,
spot_attributes,charging_ports,INT64,INT64,3000,2394,606,0.202,21,false,
spot_attributes,security_type,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,4,false,
spot_attributes,floor_level,INT64,INT64,3000,3000,0,0,31,false,
spot_attributes,elevators,INT64,INT64,3000,3000,0,0,99,false,
spot_attributes,vertical_height_m,FLOAT64,FLOAT64,3000,2543,457,0.15233333333333332,107,false,
