prediction_key,lead_id,stage,score_time,candidate_spot_id,fallback_rank,fallback_tier,candidate_source,is_observed_current_spot
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2032,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2363,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,868,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,698,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1607,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1303,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1985,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2636,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,84,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,613,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2180,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1225,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,679,0,CORRIDOR,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,376,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1544,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1395,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2651,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,879,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1639,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,2915,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,153,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1610,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1592,2,STATE,POLICY_UNIVERSE,
L1:T0,1,T0,2025-05-09T00:00:00.000Z,1337,2,STATE,POLICY_UNIVERSE,
L1:T1:I3,1,T1,2025-05-12T16:10:27.000Z,2032,0,CORRIDOR,POLICY_UNIVERSE,false
