inventory_state_key,prediction_key,candidate_spot_id,score_time,snapshot_id,snapshot_time,snapshot_found,availability_known,is_available_asof,days_until_available_asof,competing_inquiries_30d_asof,snapshot_age_days,stale_gt_30d,stale_gt_60d,stale_gt_90d,coverage_status,competing_inquiries_30d_model_allowed
L1:T0:S2032,L1:T0,2032,2025-05-09T00:00:00.000Z,7168,2025-02-14T00:00:00.000Z,true,true,false,294,3,84,true,true,false,COVERED,false
L1:T0:S2363,L1:T0,2363,2025-05-09T00:00:00.000Z,6072,2025-05-07T00:00:00.000Z,true,true,false,19,6,2,false,false,false,COVERED,false
L1:T0:S868,L1:T0,868,2025-05-09T00:00:00.000Z,20489,2025-04-01T00:00:00.000Z,true,true,false,32,9,38,true,false,false,COVERED,false
L1:T0:S698,L1:T0,698,2025-05-09T00:00:00.000Z,10312,2025-02-14T00:00:00.000Z,true,true,true,0,8,84,true,true,false,COVERED,false
L1:T0:S1607,L1:T0,1607,2025-05-09T00:00:00.000Z,2627,2025-02-19T00:00:00.000Z,true,true,false,35,8,79,true,true,false,COVERED,false
L1:T0:S1303,L1:T0,1303,2025-05-09T00:00:00.000Z,14932,2025-04-26T00:00:00.000Z,true,true,true,0,7,13,false,false,false,COVERED,false
L1:T0:S1985,L1:T0,1985,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S2636,L1:T0,2636,2025-05-09T00:00:00.000Z,180,2025-02-05T00:00:00.000Z,true,false,,,5,93,true,true,true,STALE_GT_90D,false
L1:T0:S84,L1:T0,84,2025-05-09T00:00:00.000Z,28412,2025-03-01T00:00:00.000Z,true,true,false,2,3,69,true,true,false,COVERED,false
L1:T0:S613,L1:T0,613,2025-05-09T00:00:00.000Z,18821,2025-04-28T00:00:00.000Z,true,true,false,28,5,11,false,false,false,COVERED,false
L1:T0:S2180,L1:T0,2180,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S1225,L1:T0,1225,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S679,L1:T0,679,2025-05-09T00:00:00.000Z,28391,2025-04-28T00:00:00.000Z,true,true,true,0,4,11,false,false,false,COVERED,false
L1:T0:S376,L1:T0,376,2025-05-09T00:00:00.000Z,11446,2025-03-17T00:00:00.000Z,true,true,false,180,5,53,true,false,false,COVERED,false
L1:T0:S1544,L1:T0,1544,2025-05-09T00:00:00.000Z,17073,2025-04-26T00:00:00.000Z,true,true,false,29,7,13,false,false,false,COVERED,false
L1:T0:S1395,L1:T0,1395,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S2651,L1:T0,2651,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S879,L1:T0,879,2025-05-09T00:00:00.000Z,24948,2025-04-14T00:00:00.000Z,true,true,true,0,6,25,false,false,false,COVERED,false
L1:T0:S1639,L1:T0,1639,2025-05-09T00:00:00.000Z,21465,2025-04-29T00:00:00.000Z,true,true,false,160,8,10,false,false,false,COVERED,false
L1:T0:S2915,L1:T0,2915,2025-05-09T00:00:00.000Z,28299,2025-05-08T00:00:00.000Z,true,true,false,30,7,1,false,false,false,COVERED,false
L1:T0:S153,L1:T0,153,2025-05-09T00:00:00.000Z,11390,2025-04-02T00:00:00.000Z,true,true,true,0,2,37,true,false,false,COVERED,false
L1:T0:S1610,L1:T0,1610,2025-05-09T00:00:00.000Z,6557,2025-04-09T00:00:00.000Z,true,true,true,0,12,30,false,false,false,COVERED,false
L1:T0:S1592,L1:T0,1592,2025-05-09T00:00:00.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T0:S1337,L1:T0,1337,2025-05-09T00:00:00.000Z,3660,2025-04-18T00:00:00.000Z,true,true,true,0,9,21,false,false,false,COVERED,false
L1:T1:I3:S2032,L1:T1:I3,2032,2025-05-12T16:10:27.000Z,7168,2025-02-14T00:00:00.000Z,true,true,false,294,3,87.6739236111111,true,true,false,COVERED,false
L1:T1:I3:S2363,L1:T1:I3,2363,2025-05-12T16:10:27.000Z,6072,2025-05-07T00:00:00.000Z,true,true,false,19,6,5.673923611111111,false,false,false,COVERED,false
L1:T1:I3:S868,L1:T1:I3,868,2025-05-12T16:10:27.000Z,20489,2025-04-01T00:00:00.000Z,true,true,false,32,9,41.673923611111114,true,false,false,COVERED,false
L1:T1:I3:S698,L1:T1:I3,698,2025-05-12T16:10:27.000Z,10312,2025-02-14T00:00:00.000Z,true,true,true,0,8,87.6739236111111,true,true,false,COVERED,false
L1:T1:I3:S1607,L1:T1:I3,1607,2025-05-12T16:10:27.000Z,25057,2025-05-12T00:00:00.000Z,true,true,true,0,7,0.6739236111111111,false,false,false,COVERED,false
L1:T1:I3:S1303,L1:T1:I3,1303,2025-05-12T16:10:27.000Z,14932,2025-04-26T00:00:00.000Z,true,true,true,0,7,16.67392361111111,false,false,false,COVERED,false
L1:T1:I3:S1985,L1:T1:I3,1985,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S2636,L1:T1:I3,2636,2025-05-12T16:10:27.000Z,180,2025-02-05T00:00:00.000Z,true,false,,,5,96.6739236111111,true,true,true,STALE_GT_90D,false
L1:T1:I3:S84,L1:T1:I3,84,2025-05-12T16:10:27.000Z,28412,2025-03-01T00:00:00.000Z,true,true,false,2,3,72.6739236111111,true,true,false,COVERED,false
L1:T1:I3:S613,L1:T1:I3,613,2025-05-12T16:10:27.000Z,18821,2025-04-28T00:00:00.000Z,true,true,false,28,5,14.67392361111111,false,false,false,COVERED,false
L1:T1:I3:S2180,L1:T1:I3,2180,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S1225,L1:T1:I3,1225,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S679,L1:T1:I3,679,2025-05-12T16:10:27.000Z,28391,2025-04-28T00:00:00.000Z,true,true,true,0,4,14.67392361111111,false,false,false,COVERED,false
L1:T1:I3:S376,L1:T1:I3,376,2025-05-12T16:10:27.000Z,11446,2025-03-17T00:00:00.000Z,true,true,false,180,5,56.673923611111114,true,false,false,COVERED,false
L1:T1:I3:S1544,L1:T1:I3,1544,2025-05-12T16:10:27.000Z,24588,2025-05-11T00:00:00.000Z,true,true,true,0,6,1.673923611111111,false,false,false,COVERED,false
L1:T1:I3:S1395,L1:T1:I3,1395,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S2651,L1:T1:I3,2651,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S879,L1:T1:I3,879,2025-05-12T16:10:27.000Z,24948,2025-04-14T00:00:00.000Z,true,true,true,0,6,28.67392361111111,false,false,false,COVERED,false
L1:T1:I3:S1639,L1:T1:I3,1639,2025-05-12T16:10:27.000Z,21465,2025-04-29T00:00:00.000Z,true,true,false,160,8,13.67392361111111,false,false,false,COVERED,false
L1:T1:I3:S2915,L1:T1:I3,2915,2025-05-12T16:10:27.000Z,28299,2025-05-08T00:00:00.000Z,true,true,false,30,7,4.673923611111111,false,false,false,COVERED,false
L1:T1:I3:S153,L1:T1:I3,153,2025-05-12T16:10:27.000Z,11390,2025-04-02T00:00:00.000Z,true,true,true,0,2,40.673923611111114,true,false,false,COVERED,false
L1:T1:I3:S1610,L1:T1:I3,1610,2025-05-12T16:10:27.000Z,6557,2025-04-09T00:00:00.000Z,true,true,true,0,12,33.673923611111114,true,false,false,COVERED,false
L1:T1:I3:S1592,L1:T1:I3,1592,2025-05-12T16:10:27.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T1:I3:S1337,L1:T1:I3,1337,2025-05-12T16:10:27.000Z,850,2025-05-12T00:00:00.000Z,true,true,true,0,6,0.6739236111111111,false,false,false,COVERED,false
L1:T1:I3:S1274,L1:T1:I3,1274,2025-05-12T16:10:27.000Z,21867,2025-03-15T00:00:00.000Z,true,true,false,31,4,58.673923611111114,true,false,false,COVERED,false
L1:T2:I1:S2032,L1:T2:I1,2032,2025-05-16T20:03:15.000Z,7168,2025-02-14T00:00:00.000Z,true,false,,,3,91.83559027777778,true,true,true,STALE_GT_90D,false
L1:T2:I1:S2363,L1:T2:I1,2363,2025-05-16T20:03:15.000Z,6072,2025-05-07T00:00:00.000Z,true,true,false,19,6,9.835590277777778,false,false,false,COVERED,false
L1:T2:I1:S868,L1:T2:I1,868,2025-05-16T20:03:15.000Z,20489,2025-04-01T00:00:00.000Z,true,true,false,32,9,45.835590277777776,true,false,false,COVERED,false
L1:T2:I1:S698,L1:T2:I1,698,2025-05-16T20:03:15.000Z,10312,2025-02-14T00:00:00.000Z,true,false,,,8,91.83559027777778,true,true,true,STALE_GT_90D,false
L1:T2:I1:S1607,L1:T2:I1,1607,2025-05-16T20:03:15.000Z,19157,2025-05-13T00:00:00.000Z,true,true,true,0,10,3.835590277777778,false,false,false,COVERED,false
L1:T2:I1:S1303,L1:T2:I1,1303,2025-05-16T20:03:15.000Z,14932,2025-04-26T00:00:00.000Z,true,true,true,0,7,20.83559027777778,false,false,false,COVERED,false
L1:T2:I1:S1985,L1:T2:I1,1985,2025-05-16T20:03:15.000Z,24500,2025-05-15T00:00:00.000Z,true,true,false,28,7,1.8355902777777777,false,false,false,COVERED,false
L1:T2:I1:S2636,L1:T2:I1,2636,2025-05-16T20:03:15.000Z,180,2025-02-05T00:00:00.000Z,true,false,,,5,100.83559027777778,true,true,true,STALE_GT_90D,false
L1:T2:I1:S84,L1:T2:I1,84,2025-05-16T20:03:15.000Z,28412,2025-03-01T00:00:00.000Z,true,true,false,2,3,76.83559027777778,true,true,false,COVERED,false
L1:T2:I1:S613,L1:T2:I1,613,2025-05-16T20:03:15.000Z,13375,2025-05-16T00:00:00.000Z,true,true,true,0,4,0.8355902777777777,false,false,false,COVERED,false
L1:T2:I1:S2180,L1:T2:I1,2180,2025-05-16T20:03:15.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
