lead_id,first_inquiry_id,score_time,primary_partition,F1_role,F2_role,F3_role,F4_role
1,3,2025-05-12T16:10:27.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
2,5,2026-03-04T09:00:43.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
3,6,2026-02-18T14:30:33.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
4,10,2025-10-29T12:13:42.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
5,14,2025-10-21T15:45:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
6,15,2025-10-06T18:45:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
7,17,2025-06-21T07:49:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
8,27,2025-05-07T07:10:37.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
9,30,2026-02-03T07:57:46.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
10,35,2026-03-22T08:24:43.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
11,39,2026-06-28T16:19:29.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
12,46,2025-08-19T20:35:53.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
13,48,2025-07-19T13:48:56.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
14,57,2025-03-02T19:56:40.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
15,59,2025-07-29T11:12:20.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
16,69,2025-10-17T09:37:11.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
17,74,2026-04-14T15:06:47.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
18,79,2025-02-12T08:44:20.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
19,83,2025-08-29T10:18:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
20,89,2026-02-27T13:22:53.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
21,94,2026-04-29T19:08:22.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
22,96,2026-01-01T19:33:17.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
23,104,2025-04-04T07:42:07.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
24,106,2025-11-05T13:18:06.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
25,108,2026-05-14T20:48:46.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
26,114,2026-02-13T17:17:05.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
27,117,2025-08-21T14:05:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
28,123,2025-07-02T14:16:48.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
29,124,2026-02-06T08:59:16.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
30,125,2026-01-30T18:11:33.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
31,134,2025-06-28T09:54:26.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
32,144,2026-05-19T18:39:43.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
33,146,2026-03-20T14:22:36.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
34,154,2026-02-27T07:43:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
35,155,2025-04-04T10:30:43.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
36,165,2025-11-15T17:40:22.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
37,168,2025-12-24T17:40:04.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
38,171,2025-01-15T16:44:54.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
39,176,2025-10-09T12:46:34.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
40,178,2026-06-10T07:12:49.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
41,183,2025-06-09T07:42:23.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
42,186,2026-06-02T07:32:32.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
43,191,2025-10-01T07:13:54.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
44,195,2026-03-30T09:04:12.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
45,198,2026-06-13T08:44:32.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
46,202,2026-04-10T18:16:10.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
47,207,2026-02-21T14:54:51.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
48,214,2026-05-16T17:07:23.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
49,218,2025-02-11T19:47:46.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
50,226,2025-06-11T17:31:37.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
51,231,2026-06-18T17:31:26.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
52,234,2025-08-05T08:27:08.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
53,235,2026-02-11T18:45:21.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
54,238,2025-06-27T20:02:49.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
55,239,2025-05-22T07:32:53.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
56,240,2025-02-17T13:28:29.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
57,245,2026-06-09T13:50:31.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
58,251,2025-05-19T13:07:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
59,252,2025-10-09T07:48:30.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
60,254,2025-05-04T17:05:46.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
61,257,2025-10-25T15:06:53.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
62,261,2025-12-02T11:31:56.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
63,263,2025-05-18T14:46:07.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
64,266,2025-08-12T11:15:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
65,267,2026-06-29T11:04:39.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
66,273,2025-09-25T09:02:04.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
67,274,2025-12-26T15:05:00.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
68,281,2025-10-04T18:55:09.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
69,284,2025-12-20T13:49:59.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
70,286,2026-05-18T15:35:00.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
71,289,2025-11-17T17:28:07.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
72,294,2025-10-06T17:53:13.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
73,299,2026-01-27T14:42:52.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
74,303,2026-04-10T17:15:37.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
75,308,2025-02-13T11:32:07.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
76,317,2025-01-21T09:57:15.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
77,318,2025-09-30T17:05:05.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
78,323,2025-11-16T13:09:27.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
