fold,stage,variant,joint_lift_at_15,joint_recall_at_15,joint_positives_at_15,conversion_lift_at_15,conversion_recall_at_15,conversion_positives_at_15,confirmed_serviceable_rate_at_15
1,T1_first_inquiry,quality_only,1.0024906600249066,0.15151515151515152,25,0.9941798566257363,0.15025906735751296,29,0.8356164383561644
1,T1_first_inquiry,lead_opportunity_score,1.1628891656288918,0.17575757575757575,29,0.9941798566257363,0.15025906735751296,29,1.0
1,T2_engaged,quality_only,1.4496913580246915,0.21785714285714286,61,1.5705850778314545,0.2360248447204969,76,0.8395061728395061
1,T2_engaged,lead_opportunity_score,1.6635802469135803,0.25,70,1.4465915190552872,0.21739130434782608,70,1.0
2,T1_first_inquiry,quality_only,0.9533367518863086,0.1443850267379679,27,0.9476154236428208,0.14351851851851852,31,0.9178082191780822
2,T1_first_inquiry,lead_opportunity_score,1.0592630576514541,0.16042780748663102,30,0.9170471841704717,0.1388888888888889,30,1.0
2,T2_engaged,quality_only,1.3795060592115356,0.2073170731707317,68,1.3677847658979736,0.20555555555555555,74,0.9119496855345912
2,T2_engaged,lead_opportunity_score,1.5012271820831415,0.22560975609756098,74,1.3677847658979736,0.20555555555555555,74,1.0
3,T1_first_inquiry,quality_only,1.3037316957959377,0.19704433497536947,40,1.2388225007286504,0.18723404255319148,44,0.9178082191780822
3,T1_first_inquiry,lead_opportunity_score,1.4341048653755315,0.21674876847290642,44,1.2388225007286504,0.18723404255319148,44,1.0
3,T2_engaged,quality_only,1.4917218543046358,0.2251655629139073,68,1.4953571428571428,0.2257142857142857,79,0.881578947368421
3,T2_engaged,lead_opportunity_score,1.711092715231788,0.2582781456953642,78,1.4764285714285714,0.22285714285714286,78,1.0
4,T1_first_inquiry,quality_only,1.3869164103997764,0.20918367346938777,41,1.3085796683489546,0.19736842105263158,45,0.9452054794520548
4,T1_first_inquiry,lead_opportunity_score,1.3869164103997764,0.20918367346938777,41,1.1922614756068253,0.17982456140350878,41,1.0
4,T2_engaged,quality_only,1.2994099686416902,0.19578313253012047,65,1.3944731856601575,0.21010638297872342,79,0.863013698630137
4,T2_engaged,lead_opportunity_score,1.4593373493975905,0.21987951807228914,73,1.288563829787234,0.19414893617021275,73,1.0
