scope,metric,point_delta,bootstrap_mean_delta,ci95_low,ci95_high,probability_delta_gt_0,n_boot
MACRO,lift_top_10pct,-0.07156541405728604,-0.00825530249726756,-0.14378320140631923,0.12510695204798955,0.45,1000
MACRO,average_precision,0.0019115390879246297,0.001106152867522358,-0.01529671357344463,0.01666546607102332,0.576,1000
MACRO,roc_auc,0.005054084363159794,0.0047572906814723655,-0.008713881112781156,0.01878362135435566,0.759,1000
MACRO,recall_top_20pct,-0.012411052135536421,-0.0067532734620713375,-0.02399015005784804,0.009326794745539739,0.22,1000
T1_first_inquiry,lift_top_10pct,-0.06272159046434378,-0.04249228619176108,-0.24555928175138222,0.1480688250797001,0.335,1000
T1_first_inquiry,average_precision,0.0016060482060029496,0.0006948570398438193,-0.026302342366172526,0.027226057925992225,0.531,1000
T1_first_inquiry,roc_auc,0.012609226499578852,0.011721893891799017,-0.010304141375125964,0.03663874798760534,0.829,1000
T1_first_inquiry,recall_top_20pct,-0.012218839844410613,-0.007030670627801602,-0.031569316025180906,0.016431398925522527,0.298,1000
T2_engaged,lift_top_10pct,-0.08040923765022831,0.025981681197225964,-0.15620860414254845,0.20586574569515292,0.609,1000
T2_engaged,average_precision,0.0022170299698463097,0.0015174486952008967,-0.015576981147289224,0.01841642325983973,0.592,1000
T2_engaged,roc_auc,-0.002501057773259263,-0.002207312528854284,-0.013753477631143209,0.009190136672612707,0.363,1000
T2_engaged,recall_top_20pct,-0.01260326442666223,-0.006475876296341074,-0.028351147517853132,0.015287996488679798,0.275,1000
